,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,98,4,785,1,1271654,702435,1968129,5960,12897927030,7098892300,19935981770,60837560,10142.638665863513,10129.408067255754,10106.11985450611,10207.644295302014,-696475.0
1,2022-09-07,126,2,934,2,1055031,1613255,2613538,54748,10981086780,16830311910,27238742290,572656400,10408.307225095756,10422.171894956185,10432.518052012856,10459.859720903047,-1558507.0
2,2022-09-06,194,2,848,1,1035272,513041,1429313,119000,10887719290,5370189050,15016823330,1241085010,10516.771717963975,10506.322498990774,10467.368202541318,10429.285798319328,-394041.0
3,2022-09-05,142,2,999,4,5233448,561402,5376219,418631,54507236200,5644782910,55756438250,4395580860,10415.167247290887,10370.938804762232,10054.79658070331,10499.893366711973,-142771.0
4,2022-09-03,143,3,974,3,3212714,926300,4042772,96242,32001626450,9215158300,40257049750,959735000,9960.932236731935,9957.783854741252,9948.351829860736,9972.101577273956,-830058.0
5,2022-08-31,223,4,1117,4,2884037,974233,3783127,75143,29300948980,9843078950,38380604350,763423580,10159.699400527801,10145.20642579538,10103.413608448904,10159.610076786927,-899090.0
6,2022-08-30,114,6,797,1,1757089,2261203,4018244,48,17193825840,22240301720,39433655720,471840,9785.40406319771,9813.653854768401,9835.605967266098,9830.0,-2261155.0
7,2022-08-29,170,4,1036,2,2070361,1211952,3265789,16524,20210179220,11889187520,31938919180,160447560,9761.669206481381,9779.847742765991,9809.949172904537,9709.970951343501,-1195428.0
8,2022-08-28,190,4,884,1,2882223,274847,3157022,48,27286930330,2570693040,29857172650,450720,9467.320998409908,9457.385045146977,9353.178459288258,9390.0,-274799.0
9,2022-08-24,199,0,1078,4,3999378,0,3199242,800136,37783605670,0,30201577750,7582027920,9447.3704836102,9440.229201167027,,9475.923992921204,800136.0
