,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,691,6,852,2,531169,824535,849797,505907,36112382050,56183408550,57913343700,34382446900,67986.61452381445,68149.62126248975,68139.50717677236,67961.99084021371,-318628.0
1,2022-09-07,903,6,574,5,674614,121052,458591,337075,46160053550,8364031500,31504797400,23019287650,68424.39313444428,68699.11838653615,69094.53375408915,68291.2931840095,216023.0
2,2022-09-06,723,5,580,3,451121,434472,785153,100440,31027098750,29959203250,54083303500,6902998500,68777.77525320258,68882.50251861739,68955.42923364452,68727.58363201912,-334032.0
3,2022-09-05,447,4,567,1,365360,113877,465276,13961,25402053450,7920073900,32336480750,985646600,69526.0933052332,69499.56746103388,69549.37256864863,70600.0,-99916.0
4,2022-09-04,399,6,773,2,212416,615630,703350,124696,14753869750,42820443000,48882027100,8692285650,69457.43140818017,69498.86557190587,69555.48462550557,69707.81460511965,-490934.0
5,2022-09-03,629,5,637,2,380128,842272,653984,568416,26328986850,58470485600,45357572000,39441900450,69263.47664470915,69355.7824044625,69419.95649861328,69389.14536184767,-273856.0
6,2022-08-31,365,4,631,5,249056,175766,422920,1902,17446240200,12317695850,29630072150,133863900,70049.4675896184,70060.70214224912,70080.08289430266,70380.59936908518,-173864.0
7,2022-08-30,566,4,566,2,363643,56517,419176,984,25485534750,3965870500,29381654150,69751100,70083.94153056707,70093.83683703265,70171.28474618256,70885.26422764227,-55533.0
8,2022-08-29,466,5,681,2,442885,342447,785044,288,31193918150,24140625400,55314296850,20246700,70433.44920238889,70460.12306316588,70494.48644607779,70301.04166666667,-342159.0
9,2022-08-28,438,5,678,3,379334,488408,767511,100231,26894106900,34619441650,54419683750,7093864800,70898.22399257646,70904.10919192038,70882.21660988354,70775.15738643733,-388177.0
10,2022-08-27,497,3,851,1,559672,246000,781672,24000,39936023550,17544977150,55767150750,1713849950,71356.1220679255,71343.41610035923,71321.04532520325,71410.41458333333,-222000.0
11,2022-08-24,531,3,792,1,416106,215460,631395,171,29691387800,15440180600,45119470150,12098250,71355.34647421571,71459.97378819915,71661.47127076951,70750.0,-215289.0
12,2022-08-23,662,3,709,5,736714,260529,576657,420586,51441643200,18205713650,40299503050,29347853800,69825.79834236896,69884.70277825466,69879.79706673729,69778.48478075827,160057.0
