,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,32,1,24,0,106034,32100,138134,0,817394797,248856755,1066251552,0,7708.799036158213,7718.965294569041,7752.546884735202,,-32100.0
1,2022-09-07,11,1,34,0,31576,243312,274888,0,246882296,1904870729,2151753025,0,7818.66911578414,7827.744481388784,7828.922243867955,,-243312.0
2,2022-09-06,29,1,30,1,288245,125922,412201,1966,2247938630,986084614,3218688444,15334800,7798.708147582785,7808.541085538366,7830.916075030575,7800.0,-123956.0
3,2022-09-05,33,1,20,0,96917,30000,126917,0,768535885,236900000,1005435885,0,7929.835684142101,7921.995359171742,7896.666666666667,,-30000.0
4,2022-09-04,16,1,9,1,40307,10999,31306,20000,322185731,89536850,252022581,159700000,7993.294737886719,8050.29646074235,8140.453677607055,7985.0,9001.0
5,2022-09-03,31,1,16,0,168663,48474,217137,0,1351689507,390186800,1741876307,0,8014.143629604596,8022.01516554065,8049.403804101167,,-48474.0
6,2022-08-31,20,1,22,0,60323,25098,85421,0,493717236,204502620,698219856,0,8184.560383270063,8173.866566769296,8148.163997131245,,-25098.0
7,2022-08-30,13,1,25,0,91407,26791,118198,0,744527158,219285237,963812395,0,8145.18754581159,8154.219149224183,8185.033668022844,,-26791.0
8,2022-08-29,15,1,16,1,87602,1000,78602,10000,718810611,8197000,644907611,82100000,8205.413243989864,8204.722666089921,8197.0,8210.0,9000.0
9,2022-08-28,13,1,15,1,72771,26636,89407,10000,594726956,217804849,730831805,81700000,8172.581880144563,8174.2123659221315,8177.08548580868,8170.0,-16636.0
10,2022-08-27,38,1,58,0,364790,165877,530667,0,3004839715,1371003154,4375842869,0,8237.176772937855,8245.929875044048,8265.179343730595,,-165877.0
11,2022-08-24,39,1,87,1,481412,102007,552187,31232,3957633408,835007088,4533938096,258702400,8220.88649223534,8210.874388567641,8185.782230631231,8283.247950819672,-70775.0
12,2022-08-23,33,1,38,1,202987,65591,248578,20000,1644809149,531653958,2014563107,161900000,8103.027036214142,8104.34997063296,8105.5931149090575,8095.0,-45591.0
13,2022-08-22,20,1,37,1,162519,290142,442661,10000,1291583825,2316575243,3527759068,80400000,7947.2789335400785,7969.437262374594,7984.280948638942,8040.0,-280142.0
14,2022-08-21,38,1,26,0,125467,152893,278360,0,1000015511,1218815378,2218830889,0,7970.346872085887,7971.0838087368875,7971.688553432793,,-152893.0
15,2022-08-20,52,1,43,0,419571,144689,564260,0,3361292231,1162247503,4523539734,0,8011.259669996258,8016.764849537447,8032.7288390962685,,-144689.0
16,2022-08-17,68,1,70,2,762349,10000,582349,190000,6287890312,81800000,4807790312,1561900000,8248.046907649908,8255.857418833037,8180.0,8220.526315789473,180000.0
17,2022-08-16,58,1,68,1,904854,128650,977414,56090,7443708195,1040739100,8020754295,463693000,8226.419063185884,8206.097206506149,8089.693742712787,8266.945979675522,-72560.0
18,2022-08-15,67,1,67,2,921622,86877,818688,189811,7461308775,712286286,6622563744,1551031317,8095.844907131123,8089.24003283302,8198.790082530473,8171.451164579503,102934.0
19,2022-08-14,56,1,54,1,847342,10000,838028,19314,6725225238,79000000,6650636788,153588450,7936.848684474509,7936.055582868353,7900.0,7952.182354768562,9314.0
20,2022-08-13,69,0,83,2,1714902,0,1554902,160000,13746445717,0,12476345717,1270100000,8015.878293336878,8023.8791364343215,,7938.125,160000.0
21,2022-08-10,31,1,28,0,318336,52000,370336,0,2426115720,393670000,2819785720,0,7621.242083835947,7614.128035081656,7570.576923076923,,-52000.0
22,2022-08-09,24,1,21,0,131846,10000,141846,0,1019312948,76900000,1096212948,0,7731.087389833594,7728.1907702719855,7690.0,,-10000.0
23,2022-08-06,35,1,42,1,448076,3000,411076,40000,3491219892,23331000,3204950892,309600000,7791.579758790919,7796.492356644513,7777.0,7740.0,37000.0
