,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,18,1,20,1,197507,991213,538720,650000,1977717044,9923033343,5393466338,6507284049,10013.402279412881,10011.631901544402,10011.0,10011.20622923077,-341213.0
1,2022-09-07,31,2,22,0,791133,1290576,2081709,0,7912335958,12908935985,20821271943,0,10001.271540941914,10002.008898938324,10002.460905053247,,-1290576.0
2,2022-09-06,13,0,8,2,1235926,0,333945,901981,12539763823,0,3387276296,9152487527,10146.047435687897,10143.216086481307,,10147.095700463757,901981.0
3,2022-09-05,9,1,9,2,404666,9260,68440,345486,4106145956,93896400,694117884,3505924472,10147.000133443384,10141.991291642315,10140.0,10147.804750409568,336226.0
4,2022-09-04,6,0,6,1,152582,0,48808,103774,1548013084,0,495122080,1052891004,10145.450210378682,10144.281265366333,,10146.0,103774.0
5,2022-09-03,12,1,10,2,320966,172258,379224,114000,3253224438,1744973540,3843203978,1154994000,10135.729136419433,10134.390170453347,10130.0,10131.526315789473,-58258.0
6,2022-08-31,6,1,4,0,106572,67784,174356,0,1077995780,685567376,1763563156,0,10115.187666554068,10114.725940030741,10114.0,,-67784.0
7,2022-08-30,7,1,6,0,66534,548,67082,0,672821284,5540280,678361564,0,10112.44302161301,10112.423064309352,10110.0,,-548.0
8,2022-08-29,12,0,6,1,143824,0,80495,63329,1454372072,0,813672579,640699493,10112.16536878407,10108.361749176967,,10117.0,63329.0
9,2022-08-28,5,1,6,1,112209,8255,108014,12450,1134263743,83375500,1091744843,125894400,10108.491680702973,10107.438322810007,10100.0,10112.0,4195.0
10,2022-08-27,19,2,15,1,382881,513954,699604,197231,3867424022,5191543675,7065553980,1993413717,10100.851235762548,10099.361896158398,10101.183520315048,10107.0,-316723.0
11,2022-08-24,15,1,13,0,346192,3006,349198,0,3491998512,30303486,3522301998,0,10086.883902574295,10086.83325219503,10081.0,,-3006.0
12,2022-08-23,11,0,7,0,252829,0,252829,0,2548494767,0,2548494767,0,10079.914752658911,10079.914752658911,,,0.0
13,2022-08-22,13,0,7,0,252886,0,252886,0,2548959351,0,2548959351,0,10079.479888170954,10079.479888170954,,,0.0
14,2022-08-21,18,1,6,0,558346,1637610,2195956,0,5621169726,16484182260,22105351986,0,10067.53827554957,10066.391123501564,10066.0,,-1637610.0
15,2022-08-20,13,0,13,1,263077,0,140467,122610,2649461733,0,1414411203,1235050530,10071.050426301044,10069.348693999302,,10073.0,122610.0
16,2022-08-17,3,0,5,0,26923,0,26923,0,270659341,0,270659341,0,10053.08996025703,10053.08996025703,,,0.0
17,2022-08-16,16,1,9,1,126740,300824,426206,1358,1272703287,3020272960,4279325631,13650616,10041.84382988796,10040.510060862587,10040.0,10052.0,-299466.0
18,2022-08-15,5,2,15,1,83222,270935,231436,122721,835820819,2721256905,2324099837,1232977887,10043.267633558435,10042.084364575952,10043.94745972281,10047.0,-148214.0
19,2022-08-14,12,1,11,2,62234,4789010,400597,4450647,624338086,48038559310,4018450119,44644447277,10032.10601921779,10031.153800452825,10031.0,10031.001622236048,-338363.0
20,2022-08-13,19,1,17,1,431738,20124674,556412,20000000,4329672314,201790106198,5579733151,200540045361,10028.471698113208,10028.060413865984,10027.0,10027.00226805,-124674.0
21,2022-08-10,15,1,13,0,246844,150000,396844,0,2473178372,1503269302,3976447674,0,10019.195815980944,10020.178392516958,10021.795346666666,,-150000.0
22,2022-08-09,27,2,26,1,527872,622046,1144364,5554,5282904910,6227750750,11455015688,55639972,10007.92788782129,10009.940620292145,10011.720596226003,10018.0,-616492.0
23,2022-08-06,11,1,9,1,259227,180000,89227,350000,2630500161,1826100000,905579804,3551020357,10147.477542848546,10149.167897609468,10145.0,10145.772448571428,170000.0
24,2022-08-03,16,1,10,2,559770,29082,286282,302570,5672444306,294600660,2901356362,3065688604,10133.52681637101,10134.6097973327,10130.0,10132.163149023367,273488.0
25,2022-08-02,9,1,9,1,125915,200,80968,45147,1275883990,2025000,820298998,457609992,10132.89909859826,10131.15055330501,10125.0,10136.0,44947.0
26,2022-08-01,6,0,14,0,94161,0,94161,0,953346826,0,953346826,0,10124.646361019955,10124.646361019955,,,0.0
27,2022-07-31,14,0,18,1,148683,0,134522,14161,1504658959,0,1361250512,143408447,10119.912558934107,10119.166470911821,,10127.0,14161.0
28,2022-07-30,15,1,15,1,445213,37644,341980,140877,4505275367,380618484,3459936857,1425956994,10119.37065404649,10117.36609450845,10111.0,10122.0,103233.0
29,2022-07-27,12,1,7,1,317597,297001,176820,437778,3207948257,2999558524,1785511203,4421995578,10100.68815826346,10097.90296912114,10099.48964481601,10101.0,140777.0
30,2022-07-26,9,1,7,1,49780,1000,48193,2587,502576397,10091000,486530936,26136461,10095.950120530333,10095.4689685224,10091.0,10103.0,1587.0
