,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,363,6,370,6,25109775,33538530,29707578,28940727,253194228665,338144646547,299547020726,291791854486,10083.492530896832,10083.185533536258,10082.273926346801,10082.39545903598,-4597803.0
1,2022-09-07,351,3,283,6,22094620,16914604,27214384,11794840,222592595131,170399691537,274169328652,118822958016,10074.515657250498,10074.427135738219,10074.11651712331,10074.14750992807,-5119764.0
2,2022-09-06,345,3,326,5,27744000,4211261,15641155,16314106,279424874180,42409216053,157522481219,164311609014,10071.5424661188,10071.026162645918,10070.431648145293,10071.750729951124,12102845.0
3,2022-09-05,353,4,249,6,14601134,1874286,12169413,4306007,146941887881,18861345956,122465627634,43337606203,10063.731206151522,10063.396454208596,10063.216582741374,10064.45326331332,2431721.0
4,2022-09-04,438,4,261,4,24474427,7097068,17701180,13870315,246127013830,71366541981,178003655982,139489899829,10056.4974955287,10056.033325574905,10055.778242648936,10056.721842943005,6773247.0
5,2022-09-03,415,4,403,5,29767320,9282831,28395821,10654330,299184203820,93289306396,285375196085,107098314131,10050.760492378891,10049.901219091358,10049.66118590331,10052.092823387298,1371499.0
6,2022-08-31,402,8,208,6,24824299,20169805,15225508,29768596,249233322262,202508442950,152856273010,298885492202,10039.89366475162,10039.48590812208,10040.178521805243,10040.295222589604,9598791.0
7,2022-08-30,406,6,265,7,32035540,14886859,26169471,20752928,321375577320,149332240623,262521021501,208186796442,10031.84517320451,10031.575399479798,10031.144959658717,10031.683068625305,5866069.0
8,2022-08-29,429,3,271,7,22055843,18227513,23940511,16342845,221153981559,182736742889,240044515775,163846208673,10027.001985777646,10026.708108903775,10025.325061570386,10025.562175557561,-1884668.0
9,2022-08-28,515,7,304,6,31414770,19926746,22522441,28819075,314809702800,199681961295,225691755116,288799908979,10021.072979366076,10020.750198257818,10020.801253501199,10021.137353610413,8892329.0
10,2022-08-27,735,3,427,8,33219337,10015514,33073508,10161343,332680541615,100293795043,331216131759,101758204899,10014.665302170239,10014.544926985067,10013.844026677014,10014.247614611573,145829.0
11,2022-08-24,1028,7,405,8,37366412,21667683,41958404,17075691,373860744882,216794633253,419802816186,170852561949,10005.26207552387,10005.214120775423,10005.43681818679,10005.60164440783,-4591992.0
12,2022-08-23,1572,5,500,9,59243419,44463748,87066940,16640227,592447312358,444638185942,870683712253,166401786047,10000.2214989989,10000.16438217537,10000.01587679923,9999.970916682807,-27823521.0
13,2022-08-22,372,3,491,8,33493405,11896226,28521256,16868375,340079757639,120830018533,289625860650,171283915522,10153.633458258424,10154.737247546182,10157.004291360974,10154.144398734317,4972149.0
14,2022-08-21,284,3,292,8,25147248,12187101,19693674,17640675,255107277708,123640891601,199781260377,178966908932,10144.540575891247,10144.43827886051,10145.225808910585,10145.12817292989,5453574.0
15,2022-08-20,381,1,348,12,45020325,12103360,25927278,31196407,456517313221,122752954660,262947399278,316322868603,10140.249170147039,10141.727923694882,10142.055979496603,10139.721173755683,19093047.0
16,2022-08-17,349,3,321,9,33014840,18899505,19759449,32154896,334308295382,191390041063,200081682132,325616654313,10126.000773652091,10125.873557101719,10126.72242278303,10126.503108982222,13255391.0
17,2022-08-16,307,4,315,9,26238940,20675073,21584141,25329872,265428665462,209249556696,218401647272,256276574886,10115.830344594713,10118.616593173663,10120.861807646339,10117.562966208436,4654799.0
18,2022-08-15,280,6,333,5,20036251,15699928,21819173,13917006,202744031892,158865862382,220788785355,140821108919,10118.860653722097,10119.026296505372,10118.891142812885,10118.63535296313,-1782922.0
19,2022-08-14,301,6,309,7,30946162,22769100,17806915,35908347,313007037044,230296588601,180103431898,363200193747,10114.567261814243,10114.241119138267,10114.435291733094,10114.645314834459,13139247.0
