,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,1094,4,519,3,3468201,321642,2855358,934485,119591690450,11089558720,98462683910,32218565260,34482.34126280455,34483.48119920514,34477.955988334856,34477.348764292634,612843.0
1,2022-09-07,944,0,512,2,3038675,0,2326233,712442,108708306430,0,83391552630,25316753800,35774.90400585782,35848.3232891976,,35535.178723320634,712442.0
2,2022-09-06,1166,5,563,2,3354177,181233,2625364,910046,119735711820,6478757920,93854560530,32359909210,35697.4935490882,35749.16108013975,35748.22421965095,35558.54232643185,728813.0
3,2022-09-05,771,2,451,1,1811646,59917,1733714,137849,66343709540,2177430870,63480147290,5040993120,36620.68060758007,36615.1206542717,36340.78592052339,36568.94950271674,77932.0
4,2022-09-04,747,1,516,1,2453172,190000,2573172,70000,90896501410,7016118330,95338664030,2573955710,37052.64099296747,37051.026526792615,36926.93857894737,36770.79585714286,-120000.0
5,2022-09-03,1180,7,467,1,3111603,643949,2739411,1016141,116659922030,24045759090,102720490290,37985190830,37491.904343195456,37497.29058180755,37341.09236911619,37381.81101835277,372192.0
6,2022-08-31,583,2,460,1,1815407,306641,2121960,88,71288148470,12055306580,83339961450,3493600,39268.41114416767,39274.99172934457,39314.072743044795,39700.0,-306553.0
7,2022-08-30,657,4,645,4,2094352,349799,2354089,90062,82982072900,13824904720,93226422010,3580555610,39621.83668265888,39601.910552234855,39522.424935462936,39756.56336745797,-259737.0
8,2022-08-29,987,5,925,6,3029085,639291,3472183,196193,118956263980,25151598070,136396828490,7711033560,39271.352233430225,39282.730342841955,39342.9566034873,39303.30623416738,-443098.0
9,2022-08-28,1461,8,767,1,4124414,493140,4616950,604,158471587120,18771423890,177219455010,23556000,38422.812821409294,38384.52983246515,38065.10096524314,39000.0,-492536.0
10,2022-08-27,1709,3,1204,5,6656474,25225,6524565,157134,266284474540,1003584860,261019172720,6268886680,40003.8330413369,40005.60538825193,39785.32646184341,39895.163872872836,131909.0
11,2022-08-24,2367,4,1791,6,9150759,796819,9817552,130026,360774791390,31613042410,387216961680,5170872120,39425.66855820375,39441.29470157123,39674.056981572976,39767.985787457896,-666793.0
12,2022-08-23,503,4,598,7,3459184,840270,3468268,831186,137530287140,33407118550,137889950330,33047455360,39758.01435829953,39757.58226584566,39757.599997619815,39759.39844992577,-9084.0
13,2022-08-22,580,4,754,5,3726017,290243,3248260,768000,141109182550,10978573330,122896235880,29191520000,37871.320112066045,37834.482424436464,37825.45429174864,38009.791666666664,477757.0
14,2022-08-21,832,1,991,5,6217914,1476,5258666,960724,225296887190,51582880,190436752670,34911717400,36233.51612614777,36213.89011395666,34947.750677506774,36338.96665431487,959248.0
15,2022-08-20,875,5,521,0,2406691,142486,2549177,0,83344203930,4901428500,88245632430,0,34630.205510387495,34617.302929533726,34399.36906082001,,-142486.0
16,2022-08-17,708,3,466,1,1977158,157550,2090898,43810,70566735450,5585394420,74600802900,1551326970,35690.994574029995,35678.834118163584,35451.567248492545,35410.339420223696,-113740.0
17,2022-08-16,663,1,494,3,2309648,30000,2307696,31952,83961960120,1098254530,83908107610,1152107040,36352.70834343589,36360.12178813847,36608.484333333334,36057.43114672008,1952.0
18,2022-08-15,702,1,766,1,3061941,70000,3113677,18264,112204673100,2520602500,114039679760,685595840,36644.94942913661,36625.40454902676,36008.607142857145,37538.098992553656,-51736.0
19,2022-08-14,914,1,835,2,4550170,403403,4540806,412767,165839113310,14643222630,165501136380,14981199560,36446.795023043094,36447.5241576055,36299.24078402987,36294.567055990425,9364.0
20,2022-08-13,598,1,766,2,3498005,200000,3178055,519950,127226010040,7321884660,115523225200,19024669500,36371.02006429379,36350.29135744976,36609.4233,36589.421098182516,319950.0
21,2022-08-10,765,2,631,1,2260886,30000,2280886,10000,78815900580,1061600000,79523300580,354200000,34860.625692759386,34865.092152786245,35386.666666666664,35420.0,-20000.0
22,2022-08-09,1007,1,767,2,4069897,46881,4115891,887,144171634390,1650057840,145789638480,32053750,35423.902469767665,35421.161172635526,35196.728738721446,36137.26042841037,-45994.0
23,2022-08-06,1190,2,869,2,4981064,11630,4942694,50000,177888400530,407700900,176510401270,1785700160,35712.93212253446,35711.37547054299,35055.96732588134,35714.0032,38370.0
24,2022-08-03,1149,4,894,1,5494928,42779,5507707,30000,190188731880,1480929660,190631661540,1038000000,34611.687701822484,34611.80152466353,34618.14581921036,34600.0,-12779.0
25,2022-08-02,2025,2,831,1,6480807,300000,6775507,5300,223282780990,10539320780,233639940770,182161000,34452.9286229323,34483.01961314482,35131.069266666665,34370.0,-294700.0
26,2022-08-01,1162,2,961,1,4571412,22000,4583479,9933,165364868770,790486580,165788529660,366825690,36173.69617308613,36170.89325815609,35931.20818181818,36930.0,-12067.0
27,2022-07-31,1682,3,771,3,5788405,361356,5960184,189577,211583204300,13126609240,217763035530,6946778010,36552.93717353917,36536.294102665284,36325.97560300645,36643.56968408615,-171779.0
28,2022-07-30,2424,4,1124,3,8485195,328156,8609129,204222,324073242360,12487927860,328794425450,7766744770,38192.78665487358,38191.3693533922,38054.8515340265,38030.891725671085,-123934.0
29,2022-07-27,1156,2,611,0,3271596,29000,3300596,0,130685634780,1148960000,131834594780,0,39945.52957639024,39942.66331898845,39619.31034482759,,-29000.0
