,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,36,4,28,1,1856499,5536244,6745188,647555,3933746726,11804023998,14361219872,1376550852,2118.905922384014,2129.105945156755,2132.1357942316126,2125.766694720912,-4888689.0
1,2022-09-07,24,2,42,0,1124351,648241,1772592,0,2433478528,1405402074,3838880602,0,2164.3406089379564,2165.6876494985872,2168.0240435270216,,-648241.0
2,2022-09-06,33,3,34,1,1758937,549933,2218815,90055,3875376941,1196079543,4871084109,200372375,2203.2494290585732,2195.3538753794255,2174.955027248774,2225.0,-459878.0
3,2022-09-05,51,2,34,1,2622832,220305,2665731,177406,5768258515,479985208,5852009509,396234214,2199.248184786521,2195.273832581007,2178.73043280906,2233.4882360235842,-42899.0
4,2022-09-04,34,2,46,0,1988259,268683,2256942,0,4370976671,583107012,4954083683,0,2198.394007521153,2195.042532329143,2170.241556034435,,-268683.0
5,2022-09-03,36,0,53,1,1324259,0,1178386,145873,2891529069,0,2569295612,322233457,2183.5072059166673,2180.3514400205027,,2209.0,145873.0
6,2022-08-31,66,0,42,2,1839826,0,1600260,239566,4007620279,0,3488551483,519068796,2178.2604871330223,2179.9904284303802,,2166.7047744671613,239566.0
7,2022-08-30,115,1,62,2,4665070,705000,5166381,203689,10285278104,1574480000,11406074621,453683483,2204.74250204177,2207.749413177232,2233.304964539007,2227.3342350347834,-501311.0
8,2022-08-29,89,2,99,1,3099103,244612,3025350,318365,7007486802,547758416,6825143472,730101746,2261.133883578571,2255.9847528385144,2239.2949487351398,2293.2852103717432,73753.0
9,2022-08-28,123,1,112,2,4876446,688645,5410406,154685,11290547911,1589864425,12521152529,359259807,2315.3230674552738,2314.272261453207,2308.6850626955834,2322.5251769725573,-533960.0
10,2022-08-27,129,3,187,2,14409138,426539,13321057,1514620,33749788830,1003031601,31204875295,3547945136,2342.2489832493798,2342.5224661226207,2351.5589453719354,2342.4655266667546,1088081.0
11,2022-08-24,79,2,158,1,6156571,671065,5658567,1169069,13742459328,1471915201,12590116627,2624257902,2232.1612676926816,2224.9655481679374,2193.4018329073933,2244.7416722195185,498004.0
12,2022-08-23,117,1,115,1,6882354,5000,6578402,308952,14972010642,10800000,14302939058,679871584,2175.420015012305,2174.2269715350326,2160.0,2200.573500090629,303952.0
13,2022-08-22,273,1,102,3,19429722,1050000,4568494,15911228,42550263494,2293725000,10112853801,34731134693,2189.9574010374413,2213.607766804553,2184.5,2182.806675449563,14861228.0
14,2022-08-21,53,1,80,3,10078968,3461,5249981,4832448,21644652383,7205802,11335424783,10316433402,2147.506806550036,2159.1363441124836,2082.0,2134.8255381123604,4828987.0
15,2022-08-20,40,1,42,0,993905,546432,1540337,0,2075738584,1137067425,3212806009,0,2088.467795211816,2085.781234236404,2080.894649288475,,-546432.0
16,2022-08-17,32,1,42,0,792914,698916,1491830,0,1645713520,1457752811,3103466331,0,2075.5258703970417,2080.30829987331,2085.7339236760927,,-698916.0
17,2022-08-16,34,1,52,0,926543,755242,1681785,0,1941819761,1578679782,3520499543,0,2095.7686378290055,2093.31129900671,2090.296596322768,,-755242.0
18,2022-08-15,42,1,44,1,852198,504813,1347011,10000,1780470245,1057285603,2816675848,21080000,2089.2682745089755,2091.0563076322314,2094.4104113800554,2108.0,-494813.0
19,2022-08-14,49,2,46,0,1489346,1554105,3043451,0,3088548199,3221265453,6309813652,0,2073.7613684127127,2073.243055991373,2072.7463414634144,,-1554105.0
20,2022-08-13,30,1,50,1,1281409,669211,1694928,255692,2686898742,1401482389,3553723623,534657508,2096.8314893995594,2096.6811705275977,2094.2309510752216,2091.021651048918,-413519.0
21,2022-08-10,34,0,60,0,1772661,0,1772661,0,3633805082,0,3633805082,0,2049.9153995039096,2049.9153995039096,,,0.0
22,2022-08-09,43,0,62,1,2231688,0,1921902,309786,4524139291,0,3887671201,636468090,2027.227502679586,2022.824889614559,,2054.5411671282754,309786.0
23,2022-08-06,69,2,48,0,4580615,2956239,7536854,0,9254749929,5906960037,15161709966,0,2020.4164569604736,2011.6762200780327,1998.133451659355,,-2956239.0
24,2022-08-03,37,1,38,2,1844518,175000,927852,1091666,3773145570,359625000,1911037201,2221733369,2045.599755600108,2059.6358050637386,2055.0,2035.1768480469302,916666.0
25,2022-08-02,24,2,53,1,1012922,689912,1527834,175000,2063325120,1418504422,3122554542,359275000,2037.0029676520007,2043.7786709812715,2056.065733021023,2053.0,-514912.0
26,2022-08-01,22,2,51,0,1340167,126171,1466338,0,2717824700,256896986,2974721686,0,2027.9746479356677,2028.67393875082,2036.101687392507,,-126171.0
27,2022-07-31,37,1,59,0,1172092,1487724,2659816,0,2352436963,2981671830,5334108793,0,2007.0412245796406,2005.4427798765028,2004.1834574154884,,-1487724.0
28,2022-07-30,39,3,56,2,614068,2278709,2714155,178622,1230616553,4592407294,5459837091,363186756,2004.0395412234475,2011.6158034452712,2015.354875940719,2033.2700115327339,-2100087.0
29,2022-07-27,43,2,82,1,2792365,3279803,5372168,700000,5592577952,6592960077,10770488029,1415050000,2002.8105036411787,2004.8680586683067,2010.1695367069303,2021.5,-2579803.0
30,2022-07-26,44,4,89,1,1276031,2820087,3721118,375000,2468990908,5487650941,7241241849,715400000,1934.8988449340181,1945.985547623053,1945.9154774303063,1907.7333333333333,-2445087.0
31,2022-07-25,11,0,11,0,116973,0,116973,0,217489185,0,217489185,0,1859.3109948449642,1859.3109948449642,,,0.0
32,2022-07-17,82,2,101,0,4327063,2350000,6677063,0,9037153477,4907300000,13944453477,0,2088.5190432864047,2088.4112486283266,2088.2127659574467,,-2350000.0
33,2022-07-16,32,2,25,0,709887,1081944,1791831,0,1505265372,2293349950,3798615322,0,2120.42955005515,2119.962944049969,2119.656793697271,,-1081944.0
34,2022-07-09,56,2,87,1,2931346,129308,2710654,350000,6466753959,280818410,5970047369,777525000,2206.0698256023,2202.437997988677,2171.7017508584154,2221.5,220692.0
