,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2019-11-17,34,1,0,1,1920312,160000,0,2080312,27455655210,2275200000,0,29730855210,14297.497078599728,,14220.0,14291.536658924239,1920312.0
1,2019-11-16,8,1,0,1,90611,30000,0,120611,1404470500,465000000,0,1869470500,15500.0,,15500.0,15500.0,90611.0
2,2019-09-04,48,0,33,0,65005,0,65005,0,1166039708,0,1166039708,0,17937.692608260902,17937.692608260902,,,0.0
3,2019-09-03,46,0,33,0,292535,0,292535,0,5224016213,0,5224016213,0,17857.74766438204,17857.74766438204,,,0.0
4,2019-09-02,25,0,38,0,353958,0,353958,0,5765902689,0,5765902689,0,16289.793390741275,16289.793390741275,,,0.0
5,2019-09-01,36,0,42,1,426875,0,416875,10000,6459963555,0,6303463555,156500000,15133.150348462665,15120.752155922039,,15650.0,10000.0
6,2019-08-31,19,0,14,0,65377,0,65377,0,930692651,0,930692651,0,14235.780947427995,14235.780947427995,,,0.0
7,2019-08-28,16,0,44,0,272321,0,272321,0,4029355296,0,4029355296,0,14796.34437300098,14796.34437300098,,,0.0
8,2019-08-27,9,0,10,0,20880,0,20880,0,291343501,0,291343501,0,13953.23280651341,13953.23280651341,,,0.0
9,2019-08-26,23,0,15,0,48870,0,48870,0,683643468,0,683643468,0,13989.021240024555,13989.021240024555,,,0.0
10,2019-08-25,22,0,21,0,95368,0,95368,0,1370334042,0,1370334042,0,14368.9082501468,14368.9082501468,,,0.0
11,2019-08-24,48,0,27,1,135583,0,91369,44214,1978123602,0,1348209785,629913817,14589.761268005575,14755.658757346584,,14246.931220880264,44214.0
12,2019-08-21,24,1,23,0,46694,44214,90908,0,715025662,698050632,1413076294,0,15313.009423052212,15544.025762309147,15788.0,,-44214.0
13,2019-08-19,52,1,28,0,468199,5000,473199,0,6860024399,73275000,6933299399,0,14651.941586803901,14651.973903157023,14655.0,,-5000.0
14,2019-08-18,13,0,21,0,82083,0,82083,0,1093569344,0,1093569344,0,13322.726313609395,13322.726313609395,,,0.0
15,2019-08-17,2,0,11,0,57150,0,57150,0,696144150,0,696144150,0,12181.0,12181.0,,,0.0
16,2019-08-14,5,0,16,0,29255,0,29255,0,323980139,0,323980139,0,11074.351016920185,11074.351016920185,,,0.0
17,2019-07-17,17,0,37,0,212490,0,212490,0,2205792143,0,2205792143,0,10380.686822909314,10380.686822909314,,,0.0
18,2019-07-16,28,0,25,0,180095,0,180095,0,1704447599,0,1704447599,0,9464.158355312475,9464.158355312475,,,0.0
19,2019-07-15,41,1,24,0,190069,3000,193069,0,1778454560,27813000,1806267560,0,9356.889129737096,9355.554542676453,9271.0,,-3000.0
20,2019-07-14,27,1,19,0,203371,2000,205371,0,2095160293,20346000,2115506293,0,10302.158582098726,10300.90077469555,10173.0,,-2000.0
21,2019-07-13,16,0,27,0,67980,0,67980,0,751421402,0,751421402,0,11053.565784054133,11053.565784054133,,,0.0
22,2019-07-10,14,0,18,0,16766,0,16766,0,198945625,0,198945625,0,11866.016044375521,11866.016044375521,,,0.0
23,2019-07-09,30,0,50,0,213659,0,213659,0,2479255463,0,2479255463,0,11603.796062885252,11603.796062885252,,,0.0
24,2019-07-08,38,0,27,0,255538,0,255538,0,2844576986,0,2844576986,0,11131.718124114614,11131.718124114614,,,0.0
25,2018-11-19,10,1,0,1,4451854,200000,0,4651854,16026674400,720000000,0,16746674400,3600.0,,3600.0,3600.0,4451854.0
26,2018-09-01,14,0,18,1,501258,0,464431,36827,1381467048,0,1279971836,101495212,2756.0,2756.0,,2756.0,36827.0
27,2018-08-29,17,0,21,0,662746,0,662746,0,1660672002,0,1660672002,0,2505.7442851409137,2505.7442851409137,,,0.0
28,2018-08-28,9,0,14,0,418988,0,418988,0,954670061,0,954670061,0,2278.5140887089847,2278.5140887089847,,,0.0
29,2018-08-27,9,0,16,0,170486,0,170486,0,356701258,0,356701258,0,2092.261288316929,2092.261288316929,,,0.0
30,2018-08-26,9,0,20,0,313961,0,313961,0,643120115,0,643120115,0,2048.407652542832,2048.407652542832,,,0.0
31,2018-08-25,13,0,10,0,100009,0,100009,0,190527620,0,190527620,0,1905.1047405733484,1905.1047405733484,,,0.0
32,2018-08-21,8,0,8,0,26521,0,26521,0,49297452,0,49297452,0,1858.8081897364352,1858.8081897364352,,,0.0
33,2018-08-20,8,0,8,0,45726,0,45726,0,82748230,0,82748230,0,1809.653807461838,1809.653807461838,,,0.0
34,2018-08-19,16,0,11,0,153386,0,153386,0,268131129,0,268131129,0,1748.080848317317,1748.080848317317,,,0.0
35,2018-08-18,9,0,3,0,45363,0,45363,0,82861000,0,82861000,0,1826.6208143200406,1826.6208143200406,,,0.0
36,2018-08-15,5,0,5,0,22531,0,22531,0,43828650,0,43828650,0,1945.25986418712,1945.25986418712,,,0.0
37,2018-08-14,3,0,7,0,7709,0,7709,0,15405000,0,15405000,0,1998.3136593591905,1998.3136593591905,,,0.0
38,2018-08-13,6,0,7,0,52879,0,52879,0,108613890,0,108613890,0,2054.0080183059436,2054.0080183059436,,,0.0
39,2018-08-12,11,0,10,1,85093,0,83693,1400,183447270,0,180297270,3150000,2155.844429036466,2154.2694132125744,,2250.0,1400.0
40,2012-05-05,2,1,0,1,1411899,200000,0,1611899,2144186480,300000000,0,2444186480,1518.6542946768855,,1500.0,1516.3397210371122,1411899.0
41,2012-03-28,3,0,12,0,12242,0,12242,0,20075668,0,20075668,0,1639.900996569188,1639.900996569188,,,0.0
42,2012-03-27,4,0,3,0,4280,0,4280,0,6554440,0,6554440,0,1531.411214953271,1531.411214953271,,,0.0
43,2012-03-26,1,0,2,0,2000,0,2000,0,3297000,0,3297000,0,1648.5,1648.5,,,0.0
44,2012-03-24,1,0,1,0,422,0,422,0,670980,0,670980,0,1590.0,1590.0,,,0.0
45,2012-03-14,4,0,2,0,11354,0,11354,0,17575992,0,17575992,0,1548.0,1548.0,,,0.0
46,2012-03-13,2,0,2,0,13,0,13,0,18648,0,18648,0,1434.4615384615386,1434.4615384615386,,,0.0
47,2012-03-12,2,0,2,0,4750,0,4750,0,6532020,0,6532020,0,1375.1621052631579,1375.1621052631579,,,0.0
48,2012-03-11,1,0,3,0,1983,0,1983,0,2796030,0,2796030,0,1410.0,1410.0,,,0.0
49,2012-03-10,3,0,3,1,9340,0,9047,293,14285825,0,13839000,446825,1529.5315845824412,1529.6783464131756,,1525.0,293.0
50,2012-02-22,2,0,2,0,1365,0,1365,0,2261490,0,2261490,0,1656.7692307692307,1656.7692307692307,,,0.0
51,2012-02-19,1,0,2,0,3521,0,3521,0,6020910,0,6020910,0,1710.0,1710.0,,,0.0
52,2012-02-13,1,0,4,0,6260,0,6260,0,11612300,0,11612300,0,1855.0,1855.0,,,0.0
53,2012-02-12,2,0,2,0,267,0,267,0,537660,0,537660,0,2013.7078651685392,2013.7078651685392,,,0.0
54,2012-02-06,4,0,3,0,7991,0,7991,0,15510330,0,15510330,0,1940.9748467025404,1940.9748467025404,,,0.0
55,2012-02-05,2,0,4,0,6073,0,6073,0,12282378,0,12282378,0,2022.4564465667709,2022.4564465667709,,,0.0
56,2012-02-04,5,0,8,0,7412,0,7412,0,14911588,0,14911588,0,2011.8170534268754,2011.8170534268754,,,0.0
57,2009-05-19,2,1,0,1,24700,305595,0,330295,25441000,314762850,0,340203850,1030.0,,1030.0,1030.0,24700.0
58,2009-04-07,1,0,0,1,299,0,0,299,285246,0,0,285246,954.0,,,954.0,299.0
59,2009-04-06,1,0,1,0,2000,0,2000,0,1908000,0,1908000,0,954.0,954.0,,,0.0
60,2009-04-05,1,0,1,0,1363,0,1363,0,1226700,0,1226700,0,900.0,900.0,,,0.0
