,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-04-18,17,0,0,1,2201363,0,0,2201363,21540145080,0,0,21540145080,9784.912838091674,,,9784.912838091674,2201363.0
1,2022-04-17,13,0,0,1,38933,0,0,38933,394391290,0,0,394391290,10130.0,,,10130.0,38933.0
2,2022-04-16,56,4,0,1,22280000,5620000,0,27900000,205251833560,51714106220,0,256965939780,9212.380321364453,,9201.798259786478,9210.248737634409,22280000.0
3,2022-04-13,32,2,0,1,5634177,2200000,0,7834177,50907377610,19866000000,0,70773377610,9035.459413149427,,9030.0,9033.926296278472,5634177.0
4,2022-04-12,14,4,0,1,950300,1160000,0,2110300,8586577000,10460800000,0,19047377000,9035.648742502368,,9017.931034482759,9025.909586314741,950300.0
5,2022-04-11,10,0,0,1,264289,0,0,264289,2642890000,0,0,2642890000,10000.0,,,10000.0,264289.0
6,2022-02-05,58,1,146,2,4088444,957998,2546442,2500000,29194102320,6918741920,18359295930,17753548310,7140.638912994773,7209.783662851933,7222.083887440266,7101.419324,1542002.0
7,2022-02-02,43,0,41,1,895971,0,415971,480000,6922257730,0,3293712630,3628545100,7725.984133415032,7918.130422553495,,7559.468958333333,480000.0
8,2022-02-01,14,1,38,0,150950,156183,307133,0,1224431680,1280389900,2504821580,0,8111.505001656177,8155.494785646609,8198.010666973998,,-156183.0
9,2022-01-31,7,1,58,0,154442,726637,881079,0,1261328730,5933002650,7194331380,0,8167.005931029124,8165.364717579241,8165.015888263329,,-726637.0
10,2022-01-30,16,2,42,0,256164,703272,959436,0,2085080270,5753006710,7838086980,0,8139.630353991974,8169.47350318312,8180.3437503554815,,-703272.0
11,2022-01-29,16,2,34,1,250648,1479188,1724236,5600,2046619250,12164363610,14165461860,45521000,8165.312509974147,8215.500581126946,8223.67651035568,8128.75,-1473588.0
12,2022-01-26,15,2,29,1,119884,1062819,1180263,2440,950503770,8400314700,9331392590,19425880,7928.5289946948715,7906.197677975163,7903.805539795581,7961.426229508197,-1060379.0
13,2022-01-25,9,2,49,4,299392,2811697,2666645,444444,2282593640,21555620570,20418786290,3419427920,7624.096969858914,7657.107072744966,7666.409492203463,7693.720513720514,-2367253.0
14,2022-01-24,9,2,44,1,245996,2071532,2257528,60000,1837717370,16057385430,17440902800,454200000,7470.5172848339,7725.664000623691,7751.454203941817,7570.0,-2011532.0
15,2022-01-23,8,2,27,2,551872,880000,891872,540000,4225597710,6720020000,6878025220,4067592490,7656.843815232518,7711.897245344623,7636.386363636364,7532.578685185185,-340000.0
16,2022-01-22,16,3,43,2,1079062,2333355,2142417,1270000,8476156160,18535544090,17022868500,9988831750,7855.115053629912,7945.637333908385,7943.730846784994,7865.221850393701,-1063355.0
17,2022-01-19,14,3,61,4,1561940,1205031,1954301,812670,13013166790,10037052630,16258758720,6791460700,8331.412723920253,8319.47520878309,8329.289976772381,8356.972325790297,-392361.0
18,2022-01-18,7,1,11,1,768556,395430,1080986,83000,6048000060,3252742980,8647533040,653210000,7869.303030618458,7999.671633120133,8225.837645095213,7870.0,-312430.0
19,2022-01-15,10,2,54,0,1085547,247356,1332903,0,9322382630,2127526150,11449908780,0,8587.728242075193,8590.204073364679,8601.06951114992,,-247356.0
20,2022-01-12,6,1,24,0,66458,130000,196458,0,563028000,1104900000,1667928000,0,8471.937163321196,8489.997862138473,8499.23076923077,,-130000.0
21,2022-01-11,7,2,23,1,18718,490723,409441,100000,160105910,4198327480,3508868450,849564940,8553.579976493214,8569.90005886074,8555.391697556463,8495.6494,-390723.0
22,2022-01-10,1,2,31,0,630,338672,339302,0,5418000,2921668760,2927086760,0,8600.0,8626.788996233445,8626.838829309774,,-338672.0
23,2022-01-09,3,3,37,1,42842,336172,279014,100000,365624040,2879974450,2386598490,859000000,8534.243032538163,8553.687234332327,8566.967058529563,8590.0,-236172.0
24,2022-01-08,4,2,52,1,17464,482382,399846,100000,147828640,4240606160,3508434800,880000000,8464.764086120018,8774.4651690901,8790.970973212101,8800.0,-382382.0
25,2022-01-05,18,2,124,0,679692,704109,1383801,0,5863171260,6139414770,12002586030,0,8626.217845730125,8673.635898514309,8719.409594253162,,-704109.0
26,2022-01-04,10,3,43,0,493660,260590,754250,0,4293203530,2292630970,6585834500,0,8696.680974759956,8731.633410672854,8797.847077785027,,-260590.0
27,2022-01-03,10,4,44,1,483181,4304222,787403,4000000,4255633010,38081012320,6936645330,35400000000,8807.533843425135,8809.52362386224,8847.362501283624,8850.0,-304222.0
28,2022-01-02,11,4,80,0,147464,873772,1021236,0,1310094860,7795361740,9105456600,0,8884.167390007053,8916.11400303162,8921.505541491373,,-873772.0
29,2022-01-01,13,2,89,1,702782,555932,1218714,40000,6242825760,4957777860,10850494780,350108840,8883.018859333335,8903.233063704856,8917.957340106344,8752.721,-515932.0
30,2021-12-29,18,5,79,0,238996,538844,777840,0,2088281660,4771744200,6860025860,0,8737.726405462852,8819.32770235524,8855.520707291906,,-538844.0
31,2021-12-28,14,3,69,2,151770,349521,431559,69732,1328047630,3097560780,3804551840,621056570,8750.39619160572,8815.83245859778,8862.302350931704,8906.335254976195,-279789.0
32,2021-12-27,12,1,33,0,106709,43028,149737,0,939976280,382638500,1322614780,0,8808.78163978671,8832.91891783594,8892.77912057265,,-43028.0
33,2021-12-21,7,3,85,1,104192,1236015,1290207,50000,917077500,11043646710,11509224210,451500000,8801.803401412777,8920.447811862748,8934.880814553222,9030.0,-1186015.0
34,2021-12-20,7,3,51,0,46631,1247044,1293675,0,391777810,10667285510,11059063320,0,8401.660054470201,8548.563835584671,8554.057042093142,,-1247044.0
35,2021-12-19,9,1,47,1,37628,489305,509980,16953,318523030,4162654800,4336030410,145147420,8465.053417667694,8502.353837405388,8507.280326176924,8561.754261782575,-472352.0
36,2021-12-18,16,3,89,1,109359,1138050,1243809,3600,935699090,9826621090,10730496180,31824000,8556.214760559258,8627.125370535186,8634.61279381398,8840.0,-1134450.0
37,2021-12-15,18,3,53,1,216938,440988,577734,80192,1820733630,3646510420,4806900940,660343110,8392.875522038556,8320.266662512506,8268.95611671973,8234.526012569833,-360796.0
38,2021-12-14,13,2,74,1,89857,254404,338049,6212,753428930,2136520240,2837830490,52118680,8384.754999610492,8394.731207605997,8398.139337431801,8390.0,-248192.0
39,2021-12-13,38,4,70,1,314044,764747,503630,575161,2656736570,6432820040,4240690470,4848866140,8459.759046503037,8420.249925540575,8411.696992600168,8430.450152218249,-189586.0
40,2021-12-12,23,2,46,1,547027,1360035,1345209,561853,4752675600,11969977840,11842689500,4879963940,8688.191990523319,8803.60561072666,8801.227791931826,8685.4816829313,-798182.0
41,2021-12-11,17,3,168,2,383501,798622,1066314,115809,3441870130,7217739550,9613109120,1046500560,8974.866115081839,9015.2704738004,9037.74194800544,9036.435510193509,-682813.0
42,2021-12-08,18,3,121,1,745322,1277299,1772621,250000,6615830460,11413009540,15777490000,2251350000,8876.472799675845,8900.656147027481,8935.268515829104,9005.4,-1027299.0
43,2021-12-07,21,4,79,2,390616,2499788,890370,2000034,3327186830,21353268280,7652318430,17028136680,8517.794534786082,8594.537585498163,8542.03167628615,8513.923603298745,-499754.0
44,2021-12-06,26,4,125,0,613923,446282,1060205,0,5245370250,3744901060,8990271310,0,8544.019771209092,8479.74807702284,8391.333416987465,,-446282.0
45,2021-12-05,27,4,130,0,537670,212938,750608,0,4410440020,1735295280,6145735300,0,8202.875406848067,8187.676257114233,8149.2982933999565,,-212938.0
