,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,212,1,175,1,7350094,4396,7179616,174874,33370183995,19544616,32608374721,781353890,4540.1030238524845,4541.799271855208,4446.0,4468.096400837174,170478.0
1,2022-09-07,340,1,251,1,6547214,50000,6575787,21427,30643247744,229750000,30772397979,100599765,4680.349190357914,4679.6524855503985,4595.0,4695.0,-28573.0
2,2022-09-06,435,1,417,2,11572477,21427,11368778,225126,53178369513,99635550,52244171152,1033833911,4595.2452109431715,4595.407804779018,4650.0,4592.245724616437,203699.0
3,2022-09-05,433,1,513,1,14284624,100000,14334624,50000,67485514887,478784421,67723999308,240300000,4724.346604222835,4724.504759106343,4787.84421,4806.0,-50000.0
4,2022-09-04,133,0,213,4,7131331,0,5604335,1526996,32647852954,0,25638941314,7008911640,4578.0868892497065,4574.840960435092,,4590.0,1526996.0
5,2022-09-03,429,2,402,1,14337077,216644,14528721,25000,62675265257,959249088,63524514345,110000000,4371.551136748446,4372.340438294603,4427.76669559277,4400.0,-191644.0
6,2022-08-31,260,0,275,2,11187981,0,10645537,542444,47452201077,0,45134285157,2317915920,4241.355171858086,4239.73775648894,,4273.097167633894,542444.0
7,2022-08-30,199,0,182,2,5093993,0,4845585,248408,20772248762,0,19769382775,1002865987,4077.7929537790883,4079.875345288546,,4037.1726635213035,248408.0
8,2022-08-29,251,1,194,1,6915413,42444,6884621,73236,28829134861,173845960,28696524307,306456514,4168.8233025272675,4168.206834769844,4095.8901140326075,4184.5064449178,30792.0
9,2022-08-28,490,2,487,1,19339216,405000,19736476,7740,82103460123,1732048498,83802644581,32864040,4245.438911432604,4246.079420713201,4276.662958024692,4246.0,-397260.0
10,2022-08-27,28,0,74,1,4047188,0,3997188,50000,16982000848,0,16772200848,209800000,4196.0,4196.0,,4196.0,50000.0
11,2022-08-24,6,0,49,0,1157425,0,1157425,0,4788267225,0,4788267225,0,4137.0,4137.0,,,0.0
12,2022-08-23,15,0,71,0,1961286,0,1961286,0,7919672868,0,7919672868,0,4038.0,4038.0,,,0.0
13,2022-08-22,56,0,85,0,2337774,0,2337774,0,9169293614,0,9169293614,0,3922.2326940072053,3922.2326940072053,,,0.0
14,2022-07-19,417,1,254,0,11656878,867525,12524403,0,43706948047,3255899401,46962847448,0,3749.4557330873668,3749.707466934751,3753.0899985591195,,-867525.0
15,2022-07-17,258,1,157,0,4736314,100000,4836314,0,18455623346,385700000,18841323346,0,3896.6215808326897,3895.802329211875,3857.0,,-100000.0
16,2022-07-16,354,1,197,0,7220882,25000,7245882,0,29310044147,100475000,29410519147,0,4059.067042918026,4058.928802180328,4019.0,,-25000.0
17,2022-07-13,471,1,212,0,9647551,40000,9687551,0,40791510500,171100000,40962610500,0,4228.172569390927,4228.376242870876,4277.5,,-40000.0
18,2022-07-12,334,1,238,0,5914515,25000,5939515,0,26071983950,109750000,26181733950,0,4408.135569864985,4408.0592354762975,4390.0,,-25000.0
19,2022-07-11,315,2,164,2,4031384,90245,3858764,262865,18647825760,413574550,17824769930,1236630380,4625.663484302165,4619.295175864603,4582.79738489667,4704.431476233048,172620.0
20,2022-07-09,266,2,224,1,5215993,75000,5212446,78547,25134979920,360000000,25117654320,377325600,4818.829304410493,4818.78456294799,4800.0,4803.819369294817,3547.0
21,2022-07-06,387,0,293,2,5988072,0,5554137,433935,30224608503,0,28055715879,2168892624,5047.469119108789,5051.318661927136,,4998.197020291057,433935.0
22,2022-07-05,437,1,440,0,11578596,3935,11582531,0,58277054203,19926840,58296981043,0,5033.1710513951775,5033.181525091537,5064.0,,-3935.0
23,2022-07-04,182,0,196,0,3076721,0,3076721,0,14879851989,0,14879851989,0,4836.269518425623,4836.269518425623,,,0.0
24,2022-07-03,205,0,149,0,2540072,0,2540072,0,12011150718,0,12011150718,0,4728.665454365073,4728.665454365073,,,0.0
25,2022-07-02,366,1,200,0,5341332,1412,5342744,0,25588986357,6886324,25595872681,0,4790.750014603099,4790.772809065903,4877.0,,-1412.0
26,2022-06-29,151,0,101,0,2748621,0,2748621,0,12925250312,0,12925250312,0,4702.449087014907,4702.449087014907,,,0.0
27,2022-06-28,155,1,118,0,2347788,89474,2437262,0,11227258459,427095180,11654353639,0,4782.058030367308,4781.740181810573,4773.399870353399,,-89474.0
28,2022-06-27,141,0,103,0,2419535,0,2419535,0,11593490776,0,11593490776,0,4791.619371490803,4791.619371490803,,,0.0
29,2022-06-26,138,1,114,1,2790507,20556,2011063,800000,13356122758,97181220,9620605310,3832698668,4786.271010250109,4783.840839396877,4727.632807939288,4790.873335,779444.0
30,2022-06-25,227,0,139,0,3317491,0,3317491,0,15879184284,0,15879184284,0,4786.504103251524,4786.504103251524,,,0.0
31,2022-06-22,146,0,147,0,2288030,0,2288030,0,11150113520,0,11150113520,0,4873.237466291963,4873.237466291963,,,0.0
32,2022-06-21,250,0,240,0,5776137,0,5776137,0,28007530120,0,28007530120,0,4848.834111794786,4848.834111794786,,,0.0
33,2022-06-20,390,0,173,0,7185728,0,7185728,0,34364460370,0,34364460370,0,4782.321341692867,4782.321341692867,,,0.0
34,2022-06-19,201,0,146,0,4137135,0,4137135,0,20523142450,0,20523142450,0,4960.713742722923,4960.713742722923,,,0.0
35,2022-06-18,248,0,171,0,6039742,0,6039742,0,30414810050,0,30414810050,0,5035.779682310933,5035.779682310933,,,0.0
36,2022-06-15,236,0,143,0,3399782,0,3399782,0,17159304970,0,17159304970,0,5047.178016119857,5047.178016119857,,,0.0
37,2022-06-14,210,0,138,0,3120090,0,3120090,0,16028644480,0,16028644480,0,5137.2378617283475,5137.2378617283475,,,0.0
38,2022-06-13,203,0,199,0,4052158,0,4052158,0,21290109160,0,21290109160,0,5254.017528437934,5254.017528437934,,,0.0
39,2022-06-12,292,0,170,0,4220384,0,4220384,0,21857946310,0,21857946310,0,5179.1368534237645,5179.1368534237645,,,0.0
40,2022-06-11,155,0,256,1,4646846,0,4621846,25000,24097204700,0,23968704700,128500000,5185.711921591548,5185.959181677624,,5140.0,25000.0
41,2022-06-08,312,0,233,0,5099491,0,5099491,0,25532235070,0,25532235070,0,5006.82030226154,5006.82030226154,,,0.0
42,2022-06-07,394,2,223,0,5625214,35000,5660214,0,28743363210,177750000,28921113210,0,5109.736840233989,5109.54412854355,5078.571428571428,,-35000.0
43,2022-06-06,225,1,117,0,3403981,25000,3428981,0,18150767220,132750000,18283517220,0,5332.21754763026,5332.05556402908,5310.0,,-25000.0
