,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,16,2,46,2,197332,5653605,3240937,2610000,486757051,13946457410,7990514461,6442700000,2466.6909117629175,2465.4951518650314,2466.825575893611,2468.467432950192,-3043605.0
1,2022-09-07,16,1,41,2,273879,2125659,1389538,1010000,672741913,5265678062,3433619975,2504800000,2456.3471934686486,2471.0515113656484,2477.1979240320297,2480.0,-1115659.0
2,2022-09-06,22,1,18,1,686978,2422186,1109164,2000000,1687235086,5979709268,2724944354,4942000000,2456.0249178285185,2456.755136300854,2468.724230096285,2471.0,-422186.0
3,2022-09-05,8,2,42,1,83917,4233931,1917848,2400000,204927325,10469248239,4730175564,5944000000,2442.023964155058,2466.397526811301,2472.701666371039,2476.6666666666665,-1833931.0
4,2022-09-04,11,1,39,1,183772,1663742,1047514,800000,452451041,4099755527,2576206568,1976000000,2462.0238175565373,2459.3528754746953,2464.177454797679,2470.0,-863742.0
5,2022-09-03,7,1,34,1,144640,2712738,2057378,800000,350444680,6626578290,5017022970,1960000000,2422.8752765486724,2438.551870390371,2442.7638386014423,2450.0,-1912738.0
6,2022-08-31,6,2,41,1,28543,2980893,3000436,9000,70094641,7279182090,7327136731,22140000,2455.755912132572,2442.02400284492,2441.9467890997767,2460.0,-2971893.0
7,2022-08-30,25,2,34,1,664258,2100349,2364607,400000,1611435011,5117361995,5748797006,980000000,2425.9173559068918,2431.1849732323385,2436.4341330893103,2450.0,-1700349.0
8,2022-08-29,28,1,49,1,1111841,4904427,4016268,2000000,2718312014,12016613296,9834925310,4900000000,2444.8747743607223,2448.7721710802166,2450.1564190883055,2450.0,-2904427.0
9,2022-08-28,8,2,39,2,195369,7516061,1311430,6400000,473929540,18315188840,3197118380,15592000000,2425.8175043123524,2437.8871765934896,2436.8068380498776,2436.25,-1116061.0
10,2022-08-27,22,1,36,0,809022,710000,1519022,0,1969922036,1725300000,3695222036,0,2434.942481168621,2432.632335805538,2430.0,,-710000.0
11,2022-08-24,37,1,30,1,851540,2014497,2466037,400000,2057207266,4869509320,5966700610,960015976,2415.866860041807,2419.5503189935916,2417.233344105253,2400.03994,-1614497.0
12,2022-08-23,22,1,31,0,353014,602100,955114,0,863508965,1469124000,2332632965,0,2446.104021370257,2442.2560710030425,2440.0,,-602100.0
13,2022-08-22,22,1,44,3,1047515,6822582,1684576,6185521,2536257232,16537903910,4072213251,15001947891,2421.2132828646845,2417.3520523858824,2423.9948907906128,2425.3329494799227,-637061.0
14,2022-08-21,21,2,38,1,540616,4530918,1471534,3600000,1300730830,10986773065,3547503895,8740000000,2406.016155644672,2410.7522456157994,2424.844825044285,2427.777777777778,-930918.0
15,2022-08-20,17,1,62,0,191025,3400282,3591307,0,462980739,8234322898,8697303637,0,2423.665692972124,2421.7655680786966,2421.6588206507577,,-3400282.0
16,2022-08-17,19,2,48,1,237502,5163430,5100932,300000,574823027,12472740155,12324063182,723500000,2420.287100740204,2416.041457129795,2415.591991176408,2411.6666666666665,-4863430.0
17,2022-08-16,18,1,23,0,120080,1215834,1335914,0,289791260,2917991200,3207782460,0,2413.318287808128,2401.1893430265723,2399.991446200715,,-1215834.0
18,2022-08-15,12,1,44,0,95024,1506775,1601799,0,227697208,3608740768,3836437976,0,2396.2073581411014,2395.0807660636574,2395.009718106552,,-1506775.0
19,2022-08-14,15,1,57,0,315665,4302244,4617909,0,756289949,10297836938,11054126887,0,2395.862540984905,2393.7515630992298,2393.596676060214,,-4302244.0
20,2022-08-13,33,1,47,0,2266827,50000,2316827,0,5474276471,117000000,5591276471,0,2414.9511502201094,2413.333611443582,2340.0,,-50000.0
21,2022-08-10,46,2,48,0,629674,5504417,6134091,0,1437299424,13074754879,14512054303,0,2282.608816625746,2365.803556386757,2375.320561469089,,-5504417.0
22,2022-08-09,24,0,18,0,246564,0,246564,0,573977093,0,573977093,0,2327.9030718190816,2327.9030718190816,,,0.0
23,2022-08-06,42,1,43,0,806236,22000,828236,0,1898597170,49687000,1948284170,0,2354.8900942155897,2352.3297345201127,2258.5,,-22000.0
24,2022-08-03,28,0,27,0,321277,0,321277,0,756273013,0,756273013,0,2353.9593964087067,2353.9593964087067,,,0.0
25,2022-08-02,16,1,29,0,196798,1041730,1238528,0,472563115,2494443272,2967006387,0,2401.259743493328,2395.590884501602,2394.5199543067783,,-1041730.0
26,2022-08-01,15,1,41,3,139119,2998071,2102358,1034832,332986215,7180545135,5037616592,2475914758,2393.535138981735,2396.1744821766797,2395.0550654070566,2392.576532229386,-1963239.0
27,2022-07-31,24,1,67,2,264518,10094909,4676750,5682677,634828448,24196426204,11208515914,13622738738,2399.9442306383685,2396.646370663388,2396.8939397076288,2397.239670317352,-4412232.0
28,2022-07-30,27,2,53,1,493083,3034998,3328081,200000,1169916646,7246276578,7939193224,477000000,2372.6566237327183,2385.516826062827,2387.5721097674527,2385.0,-2834998.0
29,2022-07-27,26,1,52,0,440620,1891339,2331959,0,1047590804,4508698822,5556289626,0,2377.538023693886,2382.6703754225523,2383.8660451669425,,-1891339.0
30,2022-07-26,17,1,50,1,440251,3734860,3975111,200000,1046182576,8884978068,9454160644,477000000,2376.332083288851,2378.338779470561,2378.9320263677887,2385.0,-3534860.0
31,2022-07-25,29,1,72,1,413852,8208422,8222274,400000,979144323,19424765555,19458509878,945400000,2365.928696732165,2366.560622766889,2366.4433377085147,2363.5,-7808422.0
32,2022-07-24,43,1,63,2,967240,11216211,7423221,4760230,2273152351,26429974136,17487524607,11215601880,2350.143036888466,2355.786606245456,2356.4084284791006,2356.1050369414925,-6455981.0
