,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,1007,7,487,0,20980915,12701703,33682618,0,114915849790,68677506300,183593356090,0,5477.161019431231,5450.685457110252,5406.952618873233,,-12701703.0
1,2022-09-07,713,5,459,1,15684494,515188,16189182,10500,90738241940,2993901630,93671348570,60795000,5785.219589487554,5786.045803302477,5811.279824064225,5790.0,-504688.0
2,2022-09-06,690,5,484,4,13682979,1149483,14608287,224175,81644928130,6793875480,87083261360,1355542250,5966.897130369052,5961.223335768253,5910.374907675886,6046.803836288614,-925308.0
3,2022-09-05,668,6,486,3,17874040,1379800,18761509,492331,107887507370,8323088750,113190225970,3020370150,6035.988918565697,6033.108849080317,6032.097948978113,6134.836421025692,-887469.0
4,2022-09-04,568,2,464,1,13359038,243437,13287475,315000,81355173980,1462742240,80887466220,1930450000,6089.897639336006,6087.497152017219,6008.7096045383405,6128.412698412699,71563.0
5,2022-09-03,1164,8,599,1,24822841,9842605,34365446,300000,150090739640,59046144110,207336839750,1800044000,6046.477099055664,6033.294017193899,5999.036241929855,6000.1466666666665,-9542605.0
6,2022-08-31,712,4,611,2,17019287,3912719,20757831,174175,109104638950,25244342140,133205509590,1143471500,6410.646870811921,6417.120824906995,6451.866883361673,6565.072484570116,-3738544.0
7,2022-08-30,985,3,786,7,33032705,597769,30620834,3009640,215189537050,3867303530,199247163520,19809677060,6514.4388583980635,6506.914982132753,6469.561870889926,6582.075284751665,2411871.0
8,2022-08-29,1146,5,1062,10,43066175,1376298,41150408,3292065,278404588810,8854216440,265913202970,21345602280,6464.5766383942855,6461.982174514527,6433.357049127442,6483.955292498781,1915767.0
9,2022-08-28,1913,8,1248,4,50820789,8381907,57631164,1571532,317771804160,51877102400,359794946410,9853960150,6252.791631393208,6243.062285016488,6189.17656805307,6270.289214600784,-6810375.0
