,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-07,2,1,2,1,10850,400,900,10350,121861000,4444000,10079000,116226000,11231.42857142857,11198.888888888889,11110.0,11229.565217391304,9950.0
1,2022-09-06,1,1,2,1,1508,56647,17147,41008,16864200,629548170,190573170,455839200,11183.15649867374,11114.082346766198,11113.530637103466,11115.860319937574,-15639.0
2,2022-09-05,1,1,0,1,1000,60000,0,61000,11200000,670200000,0,681400000,11200.0,,11170.0,11170.491803278688,1000.0
3,2022-09-04,0,1,1,1,0,60100,100,60000,0,667714000,1114000,666600000,,11140.0,11110.049916805325,11110.0,-100.0
4,2022-09-03,0,1,3,0,0,4579,4579,0,0,51553030,51553030,0,,11258.578292203538,11258.578292203538,,-4579.0
5,2022-08-31,2,1,2,2,7787,63465,23465,47787,88746500,714415900,264215900,538946500,11396.75099524849,11260.0,11256.848656739936,11278.098646075292,-15678.0
6,2022-08-30,3,1,1,2,3865,20000,500,23365,43766150,225800000,5645000,263921150,11323.712807244501,11290.0,11290.0,11295.576717312219,3365.0
7,2022-08-29,3,1,1,2,19766,65061,60,84767,225541500,736239400,678000,961102900,11410.578771628048,11300.0,11316.140237623154,11338.172873877806,19706.0
8,2022-08-28,0,1,1,1,0,1,1,0,0,11380,11380,0,,11380.0,11380.0,,-1.0
9,2022-08-27,0,1,1,1,0,105000,2000,103000,0,1208150000,23060000,1185090000,,11530.0,11506.190476190477,11505.728155339806,-2000.0
10,2022-08-24,1,1,2,1,2599,121000,1450,122149,29628600,1373400000,16412000,1386616600,11400.0,11318.620689655172,11350.413223140496,11351.845696649174,1149.0
11,2022-08-23,1,1,2,2,1000,92000,12000,81000,11390000,1033620000,134020000,910990000,11390.0,11168.333333333334,11235.0,11246.79012345679,-11000.0
12,2022-08-22,0,1,0,1,0,40000,0,40000,0,441000000,0,441000000,,,11025.0,11025.0,0.0
13,2022-08-21,0,1,3,1,0,20653,653,20000,0,229451810,7251810,222200000,,11105.375191424197,11109.853774270081,11110.0,-653.0
14,2022-08-17,1,1,0,2,453,20000,0,20453,5118900,223400000,0,228518900,11300.0,,11170.0,11172.879284212586,453.0
15,2022-08-16,1,1,0,2,460,20000,0,20460,5147400,222600000,0,227747400,11190.0,,11130.0,11131.348973607039,460.0
16,2022-08-15,1,1,1,1,459,60000,459,60000,5117850,658800000,5117850,658800000,11150.0,11150.0,10980.0,10980.0,0.0
17,2022-08-14,0,1,0,1,0,0,0,0,0,0,0,0,,,,,0.0
18,2022-08-13,0,1,1,1,0,40000,464,39536,0,436786080,5052960,431733120,,10890.0,10919.652,10920.0,-464.0
19,2022-08-10,0,1,1,1,0,20000,1288,18712,0,213200000,13730080,199469920,,10660.0,10660.0,10660.0,-1288.0
20,2022-08-09,0,1,1,0,0,47000,47000,0,0,502510000,502510000,0,,10691.702127659575,10691.702127659575,,-47000.0
21,2022-08-06,0,1,1,0,0,87000,87000,0,0,928070000,928070000,0,,10667.471264367816,10667.471264367816,,-87000.0
22,2022-08-03,0,1,1,0,0,500,500,0,0,5295000,5295000,0,,10590.0,10590.0,,-500.0
23,2022-07-31,0,1,1,0,0,450,450,0,0,4725000,4725000,0,,10500.0,10500.0,,-450.0
24,2022-07-27,0,1,1,0,0,2000,2000,0,0,21360000,21360000,0,,10680.0,10680.0,,-2000.0
25,2022-07-25,1,2,1,1,464,240499,499,240464,5006560,2561289400,5289400,2561006560,10790.0,10600.0,10649.896257364895,10650.270144387518,-35.0
26,2022-07-24,1,1,1,1,459,1,1,459,5076540,10850,10850,5076540,11060.0,10850.0,10850.0,11060.0,458.0
27,2022-07-23,1,0,0,1,445,0,0,445,4997350,0,0,4997350,11230.0,,,11230.0,445.0
28,2022-07-20,0,1,3,0,0,3407,3407,0,0,37717050,37717050,0,,11070.457880833577,11070.457880833577,,-3407.0
