,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,110,1,87,0,1332057,74061,1406118,0,9484961180,520147210,10005108390,0,7120.537019061497,7115.4116439729805,7023.226934553949,,-74061.0
1,2022-09-07,118,0,108,0,2621600,0,2621600,0,19312145940,0,19312145940,0,7366.5494125724745,7366.5494125724745,,,0.0
2,2022-09-06,85,1,59,0,942357,46950,989307,0,6787778880,340013500,7127792380,0,7202.980271807818,7204.833666394759,7242.034078807242,,-46950.0
3,2022-09-05,108,1,69,0,1339457,4800,1344257,0,9771323920,35304000,9806627920,0,7294.988879822196,7295.203164275878,7355.0,,-4800.0
4,2022-09-04,86,1,126,0,1331292,17092,1348384,0,9807725020,124896800,9932621820,0,7367.072753385433,7366.315396800911,7307.325064357594,,-17092.0
5,2022-09-03,91,0,66,0,729879,0,729879,0,5285508020,0,5285508020,0,7241.622268896625,7241.622268896625,,,0.0
6,2022-08-31,91,1,57,0,923255,39295,962550,0,6791554220,291237700,7082791920,0,7356.09795776898,7358.362599345489,7411.571446748951,,-39295.0
7,2022-08-30,71,1,94,0,668507,13000,681507,0,4911557240,96720000,5008277240,0,7347.054316559139,7348.827290108539,7440.0,,-13000.0
8,2022-08-29,147,0,117,1,1910705,0,1860405,50300,14169291140,0,13802993780,366297360,7415.739813314981,7419.348894461153,,7282.2536779324055,50300.0
9,2022-08-28,86,1,85,1,819946,17918,814464,23400,6058152010,132238120,6019640450,170749680,7388.4768143267975,7390.922680437687,7380.183056144659,7296.994871794872,5482.0
10,2022-08-27,153,2,135,0,2160285,70300,2230585,0,16465201250,524505000,16989706250,0,7621.772705916118,7616.704250230321,7460.953058321479,,-70300.0
11,2022-08-24,97,0,129,1,1258004,0,1192135,65869,9779118730,0,9266540530,512578200,7773.51958340355,7773.063059133404,,7781.782021891937,65869.0
12,2022-08-23,132,0,139,1,2214486,0,2172629,41857,17001848390,0,16676638070,325210320,7677.559663958137,7675.78729272232,,7769.5563466086915,41857.0
