,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,611,0,1164,3,7772501,0,5302501,2470000,119073080020,0,80757470090,38315609930,15319.789604401467,15230.071637893137,,15512.392684210527,2470000.0
1,2022-09-07,84,0,253,6,2812642,0,1536739,1275903,40811435420,0,22298082890,18513352530,14510.0,14510.0,,14510.0,1275903.0
2,2022-08-29,191,0,590,2,781726,0,771676,10050,15599484650,0,15399989650,199495000,19955.18205867529,19956.548668093863,,19850.248756218905,10050.0
3,2022-08-28,125,2,448,2,613174,12000,615124,10050,12267114150,239900000,12305114300,201899850,20005.926784240688,20004.282551160417,19991.666666666668,20089.537313432837,-1950.0
4,2022-08-27,216,1,536,1,1029042,10000,1019042,20000,20755875600,200000000,20551875600,404000000,20170.09568122584,20167.83959836788,20000.0,20200.0,10000.0
5,2022-08-24,116,1,517,3,400399,8394,388693,20100,8120020700,170308800,7879304500,411025000,20279.82262692964,20271.279647433836,20289.349535382415,20449.00497512438,11706.0
6,2022-08-23,193,2,466,0,725481,22000,747481,0,14749303600,446000000,15195303600,0,20330.37887966742,20328.682066835143,20272.727272727272,,-22000.0
7,2022-08-22,115,2,603,3,1092701,804263,1867903,29061,22846376850,17082666400,39320321950,608721300,20908.168703057836,21050.51597968417,21240.149553069085,20946.330133168165,-775202.0
8,2022-08-21,94,5,669,2,291109,1242432,1398630,134911,5839856150,25334363300,28426326150,2747893300,20060.720039572807,20324.407563115336,20390.945580925152,20368.193105084094,-1107521.0
9,2022-08-20,151,3,555,2,536399,70000,591399,15000,10617134250,1386430750,11702670000,300895000,19793.3520569576,19788.112594035498,19806.15357142857,20059.666666666668,-55000.0
10,2022-08-17,208,3,579,4,1147566,93137,958583,282120,23004045100,1876134500,19247727800,5632451800,20045.945156967005,20079.35442210012,20143.815025177963,19964.73770026939,188983.0
11,2022-08-16,159,2,528,2,650441,85000,640040,95401,13102736050,1730622800,12914258750,1919100100,20144.38826888219,20177.2682176114,20360.26823529412,20116.142388444565,10401.0
12,2022-08-15,118,3,654,2,547131,280000,662279,164852,11088588400,5736611450,13480914000,3344285850,20266.788758085357,20355.339668025106,20487.898035714286,20286.595552374252,-115148.0
13,2022-08-14,195,3,528,4,1734246,283540,1421783,596003,35603167700,5832586900,29281680350,12154074250,20529.479497141696,20595.04182424463,20570.596388516613,20392.63938268767,312463.0
14,2022-08-13,166,4,624,3,773975,307102,1065679,15398,16352888750,6452501450,22473977400,331412800,21128.445686230174,21088.880798063958,21010.93919935396,21523.10689699961,-291704.0
15,2022-08-10,119,3,578,2,434552,69063,434800,68815,9173545750,1465887200,9175567950,1463865000,21110.35215578343,21102.962166513338,21225.362350317824,21272.46966504396,-248.0
16,2022-08-09,188,2,633,3,2415080,120000,2345642,189438,51484127550,2549000000,50022651750,4010475800,21317.77313794988,21325.78277077235,21241.666666666668,21170.387145134555,69438.0
17,2022-08-06,97,1,472,3,532893,50000,555045,27848,10909358650,1030000000,11366927350,572431300,20471.949622156793,20479.289697231758,20600.0,20555.562338408505,-22152.0
18,2022-08-03,89,2,485,2,473021,25268,472289,26000,9580254700,513645750,9563650450,530250000,20253.33906951277,20249.572719246054,20327.914753838846,20394.23076923077,732.0
19,2022-08-02,62,1,444,3,292235,25000,284235,33000,5941182000,510927350,5776659350,675450000,20330.15210361524,20323.532816155646,20437.094,20468.18181818182,8000.0
20,2022-08-01,81,1,496,1,324281,80680,374961,30000,6646561550,1677616200,7700677750,623500000,20496.30274360817,20537.276543427182,20793.458106098165,20783.333333333332,-50680.0
21,2022-07-31,104,2,551,3,857059,225000,1021096,60963,17551669900,4713298450,21012744350,1252224000,20478.95174077864,20578.617828294304,20947.99311111111,20540.7214211899,-164037.0
22,2022-07-30,119,1,666,1,641750,49219,641750,49219,13516889650,1036959550,13513757650,1040091550,21062.54717569147,21057.66677054928,21068.27749446352,21131.911456957678,0.0
23,2022-07-27,104,0,644,1,1722732,0,1697732,25000,36460544200,0,35931794200,528750000,21164.373913063668,21164.58557652209,,21150.0,25000.0
24,2022-07-26,57,1,547,0,256121,267265,523386,0,5264627100,5655563700,10920190800,0,20555.234049531275,20864.50688402059,21160.884141208164,,-267265.0
25,2022-07-25,68,2,648,2,430992,756120,1152432,34680,8771281000,15905604000,23966945000,709940000,20351.377751791217,20796.84094159135,21035.81971115696,20471.164936562862,-721440.0
26,2022-07-24,87,2,565,0,431510,405699,837209,0,8896325200,8498632200,17394957400,0,20616.730087367618,20777.31773069807,20948.12212995349,,-405699.0
27,2022-07-23,133,3,732,2,533374,368748,864694,37428,10890829700,7660175400,17778733300,772271800,20418.74875790721,20560.722405845303,20773.469686615248,20633.531046275515,-331320.0
28,2022-07-20,75,1,672,0,259224,200000,459224,0,5206492790,4058646500,9265139290,0,20084.918024565628,20175.64258401129,20293.2325,,-200000.0
29,2022-07-19,68,1,559,1,277639,250000,527608,31,5576156430,5083176650,10658711530,621550,20084.19721292758,20201.952074267258,20332.7066,20050.0,-249969.0
30,2022-07-17,61,2,732,1,290753,375000,640753,25000,5880085790,7657633340,13028469130,509250000,20223.64615326411,20333.059899836597,20420.355573333334,20370.0,-350000.0
31,2022-07-16,121,3,825,2,706309,1400879,2034144,73044,14266054870,28321126980,41107899710,1479282140,20198.03636935109,20208.94278379505,20216.683225317818,20251.932260007667,-1327835.0
32,2022-07-13,255,4,716,2,1301694,565216,1635948,230962,25317829250,11233182700,32046116900,4504895050,19449.9085422534,19588.713638819816,19874.141390194192,19504.91877451702,-334254.0
