,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,25,0,7,0,127175,0,127175,0,1651414140,0,1651414140,0,12985.367721643404,12985.367721643404,,,0.0
1,2022-09-07,46,0,51,0,302099,0,302099,0,4014494150,0,4014494150,0,13288.670766867815,13288.670766867815,,,0.0
2,2022-09-06,52,0,44,0,482265,0,482265,0,6537810640,0,6537810640,0,13556.469244087793,13556.469244087793,,,0.0
3,2022-09-05,15,0,42,1,284184,0,276479,7705,3807172480,0,3703694330,103478150,13396.857247417167,13395.933615211281,,13430.0,7705.0
4,2022-09-04,43,1,83,0,799652,7705,807357,0,10427770640,100165000,10527935640,0,13040.385867852516,13040.000445899397,13000.0,,-7705.0
5,2022-09-03,40,0,25,0,662509,0,662509,0,8574562720,0,8574562720,0,12942.560357670613,12942.560357670613,,,0.0
6,2022-08-31,104,0,100,0,2300941,0,2300941,0,30436413190,0,30436413190,0,13227.81122592887,13227.81122592887,,,0.0
7,2022-08-30,60,0,68,0,519087,0,519087,0,7042986860,0,7042986860,0,13568.027825778723,13568.027825778723,,,0.0
8,2022-08-29,83,0,74,0,755990,0,755990,0,10000857750,0,10000857750,0,13228.822801888913,13228.822801888913,,,0.0
9,2022-08-28,23,0,43,0,1393674,0,1393674,0,17936584380,0,17936584380,0,12870.0,12870.0,,,0.0
10,2022-08-27,16,0,55,0,713852,0,713852,0,8924209510,0,8924209510,0,12501.48421521548,12501.48421521548,,,0.0
11,2022-08-24,59,0,41,1,375706,0,306008,69698,4528285290,0,3691337310,836947980,12052.736155398105,12062.87845415806,,12008.206548251026,69698.0
12,2022-08-23,37,0,64,0,460676,0,460676,0,5686314910,0,5686314910,0,12343.414699268033,12343.414699268033,,,0.0
13,2022-08-22,56,2,53,0,382589,6000,388589,0,4712557090,73930000,4786487090,0,12317.544649741629,12317.608295654278,12321.666666666666,,-6000.0
14,2022-08-21,59,1,66,0,567614,64698,632312,0,6778892000,798046580,7576938580,0,11942.78506167924,11982.911252672731,12334.949766607931,,-64698.0
15,2022-08-20,41,0,46,0,206231,0,206231,0,2483384360,0,2483384360,0,12041.760744020055,12041.760744020055,,,0.0
16,2022-08-17,69,0,58,0,717807,0,717807,0,8718394010,0,8718394010,0,12145.874880016494,12145.874880016494,,,0.0
17,2022-08-16,66,0,59,0,987527,0,987527,0,11996168630,0,11996168630,0,12147.686726540134,12147.686726540134,,,0.0
18,2022-08-15,35,0,13,0,252044,0,252044,0,3091944500,0,3091944500,0,12267.479090952373,12267.479090952373,,,0.0
19,2022-08-14,57,0,60,0,672831,0,672831,0,8492585350,0,8492585350,0,12622.167156388454,12622.167156388454,,,0.0
20,2022-08-13,58,0,47,0,1016661,0,1016661,0,13199684020,0,13199684020,0,12983.368123691182,12983.368123691182,,,0.0
21,2022-07-26,5,0,1,0,8633,0,8633,0,112142670,0,112142670,0,12990.0,12990.0,,,0.0
22,2022-07-25,2,0,1,0,1000,0,1000,0,12990000,0,12990000,0,12990.0,12990.0,,,0.0
23,2022-07-24,1,0,1,0,400,0,400,0,5196000,0,5196000,0,12990.0,12990.0,,,0.0
24,2022-07-23,2,0,1,0,2389,0,2389,0,31033110,0,31033110,0,12990.0,12990.0,,,0.0
25,2022-07-20,9,0,1,0,52260,0,52260,0,680425200,0,680425200,0,13020.0,13020.0,,,0.0
26,2022-07-19,12,0,21,0,291071,0,291071,0,3842967310,0,3842967310,0,13202.851915855581,13202.851915855581,,,0.0
27,2022-07-12,144,0,221,0,3268369,0,3268369,0,44456468100,0,44456468100,0,13602.034562192946,13602.034562192946,,,0.0
28,2022-07-11,17,0,39,0,649975,0,649975,0,8677166250,0,8677166250,0,13350.0,13350.0,,,0.0
29,2022-07-09,17,0,33,0,445590,0,445590,0,5828317200,0,5828317200,0,13080.0,13080.0,,,0.0
30,2022-07-06,4,0,31,0,103406,0,103406,0,1345312060,0,1345312060,0,13010.0,13010.0,,,0.0
31,2022-07-05,33,0,49,0,241416,0,241416,0,3103937460,0,3103937460,0,12857.21518043543,12857.21518043543,,,0.0
32,2022-07-04,30,0,42,0,519404,0,519404,0,6523573550,0,6523573550,0,12559.729131851122,12559.729131851122,,,0.0
