,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,455,0,713,0,66983879,0,66983879,0,100744607090,0,100744607090,0,1504.0127355120774,1504.0127355120774,,,0.0
1,2022-09-07,85,1,456,1,22338540,3050474,25319014,70000,33591072575,4592791712,38078444287,105420000,1503.7273060370105,1503.9465710236584,1505.5993632464988,1506.0,-2980474.0
2,2022-09-06,312,1,529,1,53284402,3449526,56725090,8838,77973804105,5050106064,83011006689,12903480,1463.35139699982,1463.3913615474212,1464.0,1460.0,-3440688.0
3,2022-09-05,274,0,539,1,42550558,0,42500558,50000,60495333563,0,60423333563,72000000,1421.7283252313637,1421.7068294256278,,1440.0,50000.0
4,2022-09-04,445,0,503,4,49740547,0,48339599,1400948,69582942807,0,67635022814,1947919993,1398.9179251888806,1399.163919708974,,1390.4299038936492,1400948.0
5,2022-09-03,158,0,98,0,10524177,0,10524177,0,15048317132,0,15048317132,0,1429.8806578414635,1429.8806578414635,,,0.0
6,2022-08-31,581,4,756,3,102727382,1445000,103090194,1082188,151148666660,2134945000,151692815443,1590796217,1471.357136892674,1471.4572701551033,1477.4705882352941,1469.9813867830728,-362812.0
7,2022-08-30,204,0,421,1,46654828,0,46604828,50000,66945367644,0,66873867644,71500000,1434.907607932881,1434.9128730611344,,1430.0,50000.0
8,2022-08-29,387,0,703,2,60033957,0,57963957,2070000,83743421338,0,80913786362,2829634976,1394.934225941495,1395.9327580413462,,1366.9734183574878,2070000.0
9,2022-08-28,340,0,463,0,37875816,0,37875816,0,52268860618,0,52268860618,0,1380.0061922890322,1380.0061922890322,,,0.0
10,2022-08-27,711,0,1030,2,110914104,0,110294223,619881,151354668605,0,150510079631,844588974,1364.6115610779311,1364.623418499444,,1362.5017930860922,619881.0
11,2022-08-24,54,0,171,0,9662529,0,9662529,0,13025089092,0,13025089092,0,1348.0,1348.0,,,0.0
12,2022-08-23,9,0,160,1,6083629,0,6053629,30000,8030390280,0,7990790280,39600000,1320.0,1320.0,,1320.0,30000.0
13,2022-08-22,351,0,557,0,73958970,0,73958970,0,94800042527,0,94800042527,0,1281.792357668042,1281.792357668042,,,0.0
14,2022-08-21,492,0,373,2,38862987,0,38414358,448629,48404169792,0,47846972574,557197218,1245.508220765429,1245.5491921536213,,1242.0,448629.0
15,2022-08-20,45,1,84,0,3333764,7784170,11117934,0,4267217920,9963737600,14230955520,0,1280.0,1280.0,1280.0,,-7784170.0
16,2022-08-06,368,0,367,0,23353593,0,23353593,0,28781009056,0,28781009056,0,1232.4017574511981,1232.4017574511981,,,0.0
17,2022-08-03,456,0,283,2,22833194,0,22747701,85493,27545679364,0,27442575370,103103994,1206.3874797367378,1206.3889608009179,,1205.9934029686642,85493.0
18,2022-08-02,372,1,396,0,26879156,285133,27164289,0,32541614793,350400956,32892015749,0,1210.6635637294564,1210.8550217898212,1228.9035502730305,,-285133.0
19,2022-08-01,721,1,506,1,48916865,50000,48766865,200000,60187048030,61350000,60002548582,245849448,1230.3946303590797,1230.3958555055774,1227.0,1229.24724,150000.0
20,2022-07-31,190,1,57,1,6474616,7400,6082016,400000,8136570017,9531200,7645563186,500538031,1256.6876579244235,1257.077124756002,1288.0,1251.3450775,392600.0
21,2022-07-30,490,0,359,1,30697330,0,30297330,400000,39577785375,0,39062196131,515589244,1289.2908072135265,1289.295001605752,,1288.97311,400000.0
22,2022-07-27,131,0,35,0,5548890,0,5548890,0,7274594790,0,7274594790,0,1311.0,1311.0,,,0.0
23,2022-07-26,86,0,19,0,2579729,0,2579729,0,3412981467,0,3412981467,0,1323.0,1323.0,,,0.0
24,2022-07-25,87,0,38,1,3647044,0,3447044,200000,4887038960,0,4619038960,268000000,1340.0,1340.0,,1340.0,200000.0
25,2022-07-24,347,1,235,1,21856344,1021401,22677745,200000,30140514795,1460603430,31328318225,272800000,1379.02820320727,1381.4564995329122,1430.0,1364.0,-821401.0
26,2022-07-23,486,2,517,1,46722299,1200000,46398722,1523577,65704913019,1688100000,65247816603,2145196416,1406.2859582102328,1406.2416762901357,1406.75,1408.0,323577.0
27,2022-07-20,278,1,409,2,35586375,200000,35396731,389644,48636730807,273400000,48377487459,532643348,1366.7233823900299,1366.721900364189,1367.0,1367.0,189644.0
28,2022-07-19,399,0,465,0,35480851,0,35480851,0,47117631158,0,47117631158,0,1327.9735358658675,1327.9735358658675,,,0.0
29,2022-07-17,562,1,740,0,61888931,10216393,72105324,0,80760648046,13236134639,93996782685,0,1304.9287932603004,1303.6039153641416,1295.578061552644,,-10216393.0
30,2022-07-16,490,1,443,0,33895099,5261086,39156185,0,43070153561,6710323702,49780477263,0,1270.689711247045,1271.331138694947,1275.4636023817136,,-5261086.0
31,2022-07-13,308,2,391,1,22654361,2261198,24715559,200000,29388434681,2915945420,32044180101,260200000,1297.2528636318632,1296.5185250715956,1289.5577565520578,1301.0,-2061198.0
32,2022-07-12,686,0,391,1,40481699,0,40476699,5000,52068605229,0,52062185229,6420000,1286.2257888187944,1286.2260637657237,,1284.0,5000.0
33,2022-07-11,402,2,175,1,21656912,300000,21951912,5000,28656076870,396300000,29045741870,6635000,1323.1838809706574,1323.1531663392236,1321.0,1327.0,-295000.0
34,2022-07-09,601,1,395,0,34711393,500000,35211393,0,47244801173,679000000,47923801173,0,1361.0747679587505,1361.0311064092239,1358.0,,-500000.0
35,2022-07-06,481,0,460,0,31225378,0,31225378,0,43708189363,0,43708189363,0,1399.7649400112946,1399.7649400112946,,,0.0
36,2022-07-05,83,0,177,1,10652368,0,10647313,5055,14951509648,0,14944412428,7097220,1403.5855359108884,1403.585339136738,,1404.0,5055.0
37,2022-07-03,539,0,492,2,40911919,0,32139834,8772085,55789093772,0,43883177177,11905916595,1363.6391334271073,1365.3828198677068,,1357.2504820689721,8772085.0
38,2022-07-02,672,2,333,0,38255762,2145732,40401494,0,52314740507,3079069912,55393810419,0,1367.4996333101403,1371.0832183334605,1434.974130972554,,-2145732.0
39,2022-06-29,463,2,427,1,30996004,2469666,33275670,190000,43602121879,3457652471,46793264350,266510000,1406.7013889596865,1406.2305687608996,1400.0486183151893,1402.6842105263158,-2279666.0
40,2022-06-28,1016,1,497,0,55324680,800000,56124680,0,77286752258,1126710680,78413462938,0,1396.9670002248545,1397.1297999026453,1408.38835,,-800000.0
41,2022-06-27,749,2,617,2,54673955,831580,48220535,7285000,78008959622,1184511500,68862221122,10331250000,1426.8029379253796,1428.0683763048253,1424.410760239544,1418.1537405628003,6453420.0
42,2022-06-26,399,3,254,0,18336303,6722845,25059148,0,26836368079,9781839475,36618207554,0,1463.5648243269104,1461.271051753236,1455.014874655001,,-6722845.0
43,2022-06-25,430,2,465,0,24440027,20724885,45164912,0,36682258523,31030581495,67712840018,0,1500.9090834064955,1499.235513134621,1497.2619387272837,,-20724885.0
44,2022-06-22,413,1,430,0,25109014,39272736,64381750,0,37658321128,58816376640,96474697768,0,1499.7929081564096,1498.4789597673255,1497.6388871913584,,-39272736.0
45,2022-06-21,367,2,440,0,24586383,34000000,58586383,0,37061990151,50877995760,87939985911,0,1507.419377262609,1501.0311510611605,1496.41164,,-34000000.0
46,2022-06-20,449,0,682,2,42125828,0,41463643,662185,64004077169,0,62998267229,1005809940,1519.3547571100562,1519.3616062389888,,1518.9258892907571,662185.0
47,2022-06-19,580,2,560,2,40584915,6278123,46752038,111000,60126080121,9222433902,69185083023,163431000,1481.488383577987,1479.8303129159845,1468.979486703271,1472.3513513513512,-6167123.0
48,2022-06-18,748,1,558,1,47890249,4771942,47045572,5616619,69798435231,6933880984,68585645660,8146670555,1457.4665341790142,1457.8554950931407,1453.0522340799616,1450.4581056681964,844677.0
49,2022-06-15,455,1,418,2,27972161,2710000,30619074,63087,41627943492,4040843493,45575220529,93566456,1488.1919023703604,1488.4584860077741,1491.0861597785977,1483.1337042496868,-2646913.0
50,2022-06-14,634,2,642,0,40089102,10053990,50143092,0,60130847955,15128901364,75259749319,0,1499.9300297372588,1500.8996517207195,1504.7659052774072,,-10053990.0
51,2022-06-13,824,0,736,2,54275537,0,47569505,6706032,82522766553,0,72417434034,10105332519,1520.4412727044967,1522.3499600006348,,1506.901923372868,6706032.0
52,2022-06-12,930,1,720,0,62130795,50000,62180795,0,94766113321,75000000,94841113321,0,1525.267998276861,1525.2476801076602,1500.0,,-50000.0
53,2022-06-11,1031,1,1013,0,77783758,22028054,99811812,0,118176569203,33582026413,151758595616,0,1519.2962160943678,1520.4472554410695,1524.5117164230667,,-22028054.0
