,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2021-03-17,27,1,0,1,239908,7710225,0,7950133,9368870000,300742708000,0,310111578000,39051.92823915835,,39005.698017891824,39007.09308888292,239908.0
1,2021-03-16,26,2,0,1,73034,1300000,0,1373034,2943786950,52143000000,0,55086786950,40307.07547169811,,40110.0,40120.482777556856,73034.0
2,2021-03-15,10,1,0,1,9710,300000,0,309710,410969600,12528000000,0,12938969600,42324.3666323378,,41760.0,41777.69397178005,9710.0
3,2021-03-14,2,1,0,1,235,50000,0,50235,10222500,2175000000,0,2185222500,43500.0,,43500.0,43500.0,235.0
4,2020-09-01,516,1,539,0,3033310,360000,3393310,0,149169022960,17485200000,166654222960,0,49176.97926028002,49112.58416118775,48570.0,,-360000.0
5,2020-08-31,704,1,852,0,5852571,3112535,8965106,0,306295224580,177571446860,483866671440,0,52335.15741714197,53972.21978635836,57050.42573336525,,-3112535.0
6,2020-08-26,261,1,390,1,1715527,386996,2101423,1100,91716875360,20830185020,112487660380,59400000,53462.79910488147,53529.28010210224,53825.323827636465,54000.0,-385896.0
7,2020-08-25,343,0,242,0,2720002,0,2720002,0,133717331520,0,133717331520,0,49160.747499450365,49160.747499450365,,,0.0
8,2020-08-24,262,1,503,0,2817377,500,2817877,0,126005825230,21740000,126027565230,0,44724.516892840395,44724.296067571435,43480.0,,-500.0
9,2020-08-23,253,1,211,0,1106755,600,1107355,0,46115620500,24897300,46140517800,0,41667.41555267426,41667.32240338464,41495.5,,-600.0
10,2020-08-22,330,0,265,0,2515290,0,2515290,0,109201093090,0,109201093090,0,43414.911636431585,43414.911636431585,,,0.0
11,2020-08-19,350,0,397,0,2673146,0,2673146,0,114423081910,0,114423081910,0,42804.65111520283,42804.65111520283,,,0.0
12,2020-08-18,373,0,258,0,2110686,0,2110686,0,87009915310,0,87009915310,0,41223.524157548774,41223.524157548774,,,0.0
13,2020-08-17,150,0,272,0,964633,0,964633,0,36471524240,0,36471524240,0,37808.704699092814,37808.704699092814,,,0.0
