,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2014-05-14,0,1,0,1,0,9629153,0,9629153,0,10640214065,0,10640214065,,,1105.0,1105.0,0.0
1,2014-03-11,1,1,0,1,7100,550000,0,557100,8520000,607200000,0,615720000,1200.0,,1104.0,1105.223478729133,7100.0
2,2013-09-22,14,0,46,0,744876,0,744876,0,895493883,0,895493883,0,1202.2053106825833,1202.2053106825833,,,0.0
3,2013-09-21,22,0,28,0,391956,0,391956,0,460426515,0,460426515,0,1174.689289103879,1174.689289103879,,,0.0
4,2013-09-18,17,0,25,0,216039,0,216039,0,254130060,0,254130060,0,1176.3156652271118,1176.3156652271118,,,0.0
5,2013-09-17,16,0,11,0,98625,0,98625,0,114423967,0,114423967,0,1160.1923143219265,1160.1923143219265,,,0.0
6,2013-09-16,12,1,21,0,489853,305377,795230,0,537094768,340284400,877379168,0,1096.4407036396633,1103.302400563359,1114.3091981386942,,-305377.0
7,2013-09-15,18,1,22,0,387966,120000,507966,0,424964006,127920000,552884006,0,1095.3640422098845,1088.4271900087801,1066.0,,-120000.0
8,2013-09-14,24,0,12,0,472575,0,472575,0,539533430,0,539533430,0,1141.6884727291965,1141.6884727291965,,,0.0
9,2013-09-11,3,0,12,0,69570,0,69570,0,73674630,0,73674630,0,1059.0,1059.0,,,0.0
10,2013-09-10,1,0,3,0,1651,0,1651,0,1619631,0,1619631,0,981.0,981.0,,,0.0
11,2013-09-09,17,1,6,0,827328,180990,1008318,0,753582560,162891000,916473560,0,910.8631159588458,908.9132198373926,900.0,,-180990.0
12,2013-09-08,13,0,7,0,97476,0,97476,0,95346488,0,95346488,0,978.1534736755714,978.1534736755714,,,0.0
13,2013-09-07,2,0,1,0,1001,0,1001,0,1058057,0,1058057,0,1057.0,1057.0,,,0.0
14,2013-09-04,4,0,2,0,55000,0,55000,0,63148200,0,63148200,0,1148.149090909091,1148.149090909091,,,0.0
15,2013-09-03,8,0,5,0,46344,0,46344,0,57810827,0,57810827,0,1247.4285128603487,1247.4285128603487,,,0.0
16,2013-09-01,3,0,2,0,2513,0,2513,0,3404050,0,3404050,0,1354.576203740549,1354.576203740549,,,0.0
17,2013-08-31,3,0,3,0,50200,0,50200,0,65270000,0,65270000,0,1300.199203187251,1300.199203187251,,,0.0
18,2013-08-28,2,0,4,0,33808,0,33808,0,43751564,0,43751564,0,1294.1186701372455,1294.1186701372455,,,0.0
19,2013-08-27,9,0,13,0,143496,0,143496,0,194002487,0,194002487,0,1351.9713929308134,1351.9713929308134,,,0.0
20,2013-08-26,22,0,8,0,323648,0,323648,0,456351703,0,456351703,0,1410.0247892772395,1410.0247892772395,,,0.0
21,2013-08-25,14,0,33,0,274088,0,274088,0,412669075,0,412669075,0,1505.607961676542,1505.607961676542,,,0.0
22,2013-08-24,10,0,15,0,133752,0,133752,0,191052789,0,191052789,0,1428.4107078772654,1428.4107078772654,,,0.0
23,2013-08-21,12,1,18,0,131932,2700,134632,0,185347099,3512700,188859799,0,1404.8684094836733,1402.785363063759,1301.0,,-2700.0
24,2013-08-20,10,0,8,0,47264,0,47264,0,64471776,0,64471776,0,1364.0778605280975,1364.0778605280975,,,0.0
25,2013-08-19,4,0,1,0,2949,0,2949,0,3998750,0,3998750,0,1355.9681247880637,1355.9681247880637,,,0.0
26,2013-08-18,8,0,6,0,53351,0,53351,0,73128856,0,73128856,0,1370.7120016494537,1370.7120016494537,,,0.0
