,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2021-12-07,179,17,0,1,28420390,35666328,0,64086718,455202519320,571273717980,0,1026476237300,16016.758366792292,,16017.17221856985,16016.988688670248,28420390.0
1,2021-12-06,77,8,0,1,1051033,9400000,0,10451033,17589183600,158746393000,0,176335576600,16735.13923920562,,16887.914148936172,16872.549976638675,1051033.0
2,2021-12-05,51,7,0,1,597106,3412394,0,4009500,10377893400,59391895000,0,69769788400,17380.320077172226,,17404.75894635848,17401.11944132685,597106.0
3,2021-12-04,18,6,0,1,373472,4000000,0,4373472,6778618500,72660000000,0,79438618500,18150.27230957073,,18165.0,18163.742331035846,373472.0
4,2021-12-01,11,1,0,1,23662,25000,0,48662,457457000,475000000,0,932457000,19332.981151212916,,19000.0,19161.912786157576,23662.0
5,2021-11-30,3,1,0,1,1477,100000,0,101477,29420000,2000000000,0,2029420000,19918.75423155044,,20000.0,19998.817466026783,1477.0
6,2021-09-15,69,6,804,6,1012153,3361821,3285932,1088042,19364425590,64056502110,62731556330,20689371370,19131.91542187792,19090.947813284023,19054.10850547962,19015.232288827086,-2273779.0
7,2021-09-14,44,5,277,3,483253,1124612,1251685,356180,8977181890,20972061150,23340442440,6608800600,18576.567326017634,18647.217502806216,18648.26371228477,18554.665056993654,-768432.0
8,2021-09-13,37,6,258,5,531083,5796258,1342180,4985161,9835707140,107218637260,24833536190,92220808210,18520.094109583624,18502.38879285938,18497.90628022424,18499.06316165115,-811097.0
9,2021-09-12,37,6,204,4,416492,4323351,2463809,2276034,7642706110,79660299890,45422657270,41880348730,18350.187062416564,18435.949081280247,18425.591604752888,18400.581331386085,-2047317.0
10,2021-09-11,47,4,266,2,344147,943865,1097488,190524,6339414590,17423192960,20233139850,3529467700,18420.659165995927,18435.864310133686,18459.412055749497,18525.055636035355,-753341.0
11,2021-09-08,46,6,352,0,254417,295407,549824,0,4674447110,5424772730,10099219840,0,18373.171250348838,18368.09568152718,18363.72438703213,,-295407.0
