,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,150,6,204,1,8658731,3151130,11614923,194938,19100303462,6954248720,25630172156,424380026,2205.901010436749,2206.658809188834,2206.9063224938354,2177.0,-2956192.0
1,2022-09-07,88,6,191,2,6264295,4066423,8406802,1923916,14369153554,9300086800,19252409717,4416830637,2293.818147772415,2290.0991027265777,2287.0436253188614,2295.750249491142,-2142507.0
2,2022-09-06,139,5,183,0,7039679,2674021,9713700,0,16227377296,6152842456,22380219752,0,2305.130290173742,2303.9850676879046,2300.970132994468,,-2674021.0
3,2022-09-05,147,3,238,1,12652454,1638794,12691248,1600000,29513344873,3799873200,29586018073,3727200000,2332.618231451385,2331.2142409477774,2318.7009471599235,2329.5,-38794.0
4,2022-09-04,127,2,210,1,9353547,664402,9842949,175000,21737317894,1542463527,22871681421,408100000,2323.9652181145825,2323.6614779777888,2321.581703546949,2332.0,-489402.0
5,2022-09-03,176,4,247,2,13476153,2515595,15796524,195224,31145302869,5778844148,36463541733,460605284,2311.141975681042,2308.326928949685,2297.207677706467,2359.368130967504,-2320371.0
6,2022-08-31,191,2,418,4,19472446,1122448,19702259,892635,45970245958,2614493064,46480710451,2104028571,2360.784359499572,2359.156401862345,2329.2776716605135,2357.0984456132687,-229813.0
7,2022-08-30,170,4,224,1,10236286,1895778,11957064,175000,23640174711,4347047040,27581046751,406175000,2309.448437743924,2306.673841588537,2293.01481502581,2321.0,-1720778.0
8,2022-08-29,151,3,286,2,10661533,7642979,16129512,2175000,24458778792,17600084601,37057633393,5001230000,2294.1146261048953,2297.5049333792617,2302.7780922857437,2299.416091954023,-5467979.0
9,2022-08-28,229,5,230,1,13414158,4643834,17893203,164789,30222250584,10400764037,40253716978,369297643,2253.011376785632,2249.665248753954,2239.6933303386813,2241.033339603978,-4479045.0
10,2022-08-27,275,3,325,3,19247577,3968364,22981674,234267,44369384821,9138280346,52964709820,542955347,2305.1932625597497,2304.6497752948717,2302.782795630643,2317.677466309809,-3734097.0
11,2022-08-24,172,5,338,5,45740729,9008150,40846730,13902149,104606169133,20621949921,93378553685,31849565369,2286.9370781781813,2286.0717047606995,2289.254721668711,2290.9814424374244,4893999.0
12,2022-08-23,272,7,231,1,23637258,3519412,26806670,350000,51658618304,7640008127,58533351431,765275000,2185.474233263435,2183.536837324442,2170.819479788101,2186.5,-3169412.0
13,2022-08-22,171,5,182,1,10328012,5064470,15217482,175000,22194270144,10887530630,32702400774,379400000,2148.939228962941,2149.0020999531985,2149.786775319036,2168.0,-4889470.0
14,2022-08-21,162,8,208,0,6657620,4329368,10986988,0,14332350628,9259440311,23591790939,0,2152.7739083936904,2147.248266676909,2138.7510396436614,,-4329368.0
15,2022-08-20,149,4,222,1,9217892,4324000,13536892,5000,20340078476,9394038216,29722726692,11390000,2206.5867636548574,2195.6832256621387,2172.534277520814,2278.0,-4319000.0
16,2022-08-17,98,5,208,1,8784738,5763003,14037741,510000,19717975370,12922118682,31495475754,1144618298,2244.5718210378045,2243.6284979185752,2242.2543736312473,2244.349603921569,-5253003.0
17,2022-08-16,170,4,170,3,13470664,1339155,14760926,48893,30687220088,3027448333,33601138259,113530162,2278.0777612744255,2276.357069942631,2260.715401129817,2322.0125989405437,-1290262.0
18,2022-08-15,160,4,244,1,9149730,1371704,10516434,5000,20878647639,3114915621,23981923260,11640000,2281.88674846143,2280.423502871791,2270.8365806325564,2328.0,-1366704.0
19,2022-08-14,115,4,195,0,8045104,1981464,10026568,0,18449734084,4547576625,22997310709,0,2293.287207225662,2293.637335227767,2295.058918557188,,-1981464.0
20,2022-08-13,128,5,263,3,13013277,1984029,14393184,604122,30564336130,4658118776,33801197240,1421257666,2348.7040297382437,2348.4169479109,2347.807807244753,2352.600411837344,-1379907.0
21,2022-08-10,99,6,206,2,5120585,3959434,9017019,63000,11669383122,9004224615,20529349737,144258000,2278.9160070577873,2276.733556511304,2274.1191329366775,2289.809523809524,-3896434.0
22,2022-08-09,174,7,300,2,9306520,3569417,12665921,210016,21264652360,8175504943,28958251503,481905800,2284.919858335876,2286.312341834439,2290.43144664801,2294.61469602316,-3359401.0
23,2022-08-06,70,3,279,1,14585259,648923,15159182,75000,32520116057,1429396099,33782142156,167370000,2229.6563987653562,2228.4937377227875,2202.720660232416,2231.6,-573923.0
24,2022-08-03,102,4,199,1,4083725,2905334,6984059,5000,8717910750,6225320691,14932571441,10660000,2134.7937850859203,2138.0935414491773,2142.7211780125795,2132.0,-2900334.0
25,2022-08-02,144,6,181,2,6294175,2905445,9094620,105000,13223022401,6094820523,19096998924,220844000,2100.8348832055035,2099.8127380803157,2097.723592427322,2103.2761904761905,-2800445.0
26,2022-08-01,149,3,182,3,5639392,362183,5754868,246707,11926248323,759353146,12160401864,525199605,2114.8110156201237,2113.063560102508,2096.600740509632,2128.8394938124984,-115476.0
27,2022-07-31,175,7,304,3,24209832,3215878,26180710,1245000,50642957863,6654594409,54725680805,2571871467,2091.834336686021,2090.305450272357,2069.293178721332,2065.7602144578314,-1970878.0
28,2022-07-30,105,8,196,5,8418624,4375534,9847038,2947120,17739294701,9150285787,20742671200,6146909288,2107.148947500209,2106.488387675563,2091.2386435575636,2085.7343060343655,-1428414.0
29,2022-07-27,124,5,186,1,7315441,2176160,9486601,5000,15446502193,4583748402,20019550595,10700000,2111.4929630353113,2110.297523317361,2106.347144511433,2140.0,-2171160.0
30,2022-07-26,315,10,279,2,17727587,5828944,22323178,1233353,37066942085,12174733990,46643196201,2598479874,2090.9186391244334,2089.451430302621,2088.6688892533534,2106.8419779252167,-4595591.0
31,2022-07-25,182,6,121,1,6826427,13554570,20306626,74371,14888934951,29549357600,44276163771,162128780,2181.072902559421,2180.38012671332,2180.02914146299,2180.0,-13480199.0
