,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,34,1,49,0,267473,14000,281473,0,3450366700,180600000,3630966700,0,12899.869145670778,12899.875654148,12900.0,,-14000.0
1,2022-09-07,11,1,40,1,308971,1000,279971,30000,3942469960,12760000,3572429960,382800000,12760.0,12760.0,12760.0,12760.0,29000.0
2,2022-09-06,35,0,49,1,425184,0,415574,9610,5332819810,0,5212502610,120317200,12542.381204372696,12542.898761712715,,12520.0,9610.0
3,2022-09-05,67,1,45,0,485821,31800,517621,0,5995031140,392412000,6387443140,0,12340.0,12340.0,12340.0,,-31800.0
4,2022-09-04,27,1,47,1,243069,57000,295069,5000,2965255130,695828710,3600183840,60900000,12199.232028765495,12201.159186495363,12207.521228070176,12180.0,-52000.0
5,2022-09-03,31,1,37,0,99496,2000,101496,0,1183459940,23290000,1206749940,0,11894.547921524483,11889.630527311421,11645.0,,-2000.0
6,2022-08-31,72,0,68,1,394204,0,393373,831,4742907050,0,4732893500,10013550,12031.605589999086,12031.566731829587,,12050.0,831.0
7,2022-08-30,37,1,38,1,88621,85748,173604,765,1028457510,1001398550,2020905560,8950500,11605.121923697543,11640.892836570585,11678.389583430517,11700.0,-84983.0
8,2022-08-29,46,0,27,0,120962,0,120962,0,1386823040,0,1386823040,0,11464.94800019841,11464.94800019841,,,0.0
9,2022-08-28,40,0,33,0,144061,0,144061,0,1665919310,0,1665919310,0,11563.985464490737,11563.985464490737,,,0.0
10,2022-08-27,30,1,31,0,114780,128252,243032,0,1342662490,1514985000,2857647490,0,11697.704216762502,11758.317793541592,11812.564326482237,,-128252.0
11,2022-08-24,44,2,31,1,175105,102771,277465,411,2053467790,1205389670,3253867920,4989540,11727.065417892121,11727.12925954625,11728.889180800032,12140.0,-102360.0
12,2022-08-23,32,3,36,1,91706,90012,179212,2506,1083185800,1060214380,2113578780,29821400,11811.504154580944,11793.734682945338,11778.58929920455,11900.0,-87506.0
13,2022-08-22,35,1,36,0,84522,74000,158522,0,990769870,871001810,1861771680,0,11722.035328080263,11744.563404448594,11770.29472972973,,-74000.0
14,2022-08-21,22,1,27,0,75922,45280,121202,0,904500870,541644400,1446145270,0,11913.554305734833,11931.69477401363,11962.111307420495,,-45280.0
15,2022-08-20,27,1,39,0,93615,31720,125335,0,1125685520,380660000,1506345520,0,12024.627677188484,12018.554434116568,12000.63051702396,,-31720.0
16,2022-08-17,16,1,42,0,150241,115200,265441,0,1818887330,1389211000,3208098330,0,12106.464480401488,12085.918641053944,12059.123263888889,,-115200.0
17,2022-08-16,68,2,52,0,274129,238471,512600,0,3217205870,2815696820,6032902690,0,11736.101871746514,11769.22101053453,11807.292375173502,,-238471.0
18,2022-08-15,37,1,25,0,251206,6129,257335,0,3009457850,74160900,3083618750,0,11980.03968854247,11982.896807663163,12100.0,,-6129.0
19,2022-08-14,32,2,46,0,139058,256524,395582,0,1656672840,3084855760,4741528600,0,11913.538523493795,11986.20918039749,12025.602906550654,,-256524.0
20,2022-08-13,30,1,53,0,145473,297985,443458,0,1754053140,3609451780,5363504920,0,12057.585531335711,12094.730323954016,12112.864003221639,,-297985.0
21,2022-08-10,45,1,28,0,365944,216050,581994,0,4442230960,2641796000,7084026960,0,12139.10040880572,12171.993113331066,12227.706549409859,,-216050.0
22,2022-08-09,42,1,49,1,337489,46096,373585,10000,4163686380,571382980,4611369360,123700000,12337.250636317036,12343.561331423905,12395.500260326276,12370.0,-36096.0
23,2022-08-06,21,2,59,0,123445,276841,400286,0,1500803370,3387989490,4888792860,0,12157.668354327838,12213.249676481315,12238.033708879826,,-276841.0
