,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2019-07-16,46,2,0,1,4494715,33804822,0,38299537,1708607390,12781622716,0,14490230106,380.13698087642933,,378.10057736733535,378.339563373834,4494715.0
1,2019-07-15,30,3,0,1,7046482,2300000,0,9346482,2959942440,966000000,0,3925942440,420.0596042110091,,420.0,420.0449366938277,7046482.0
2,2019-07-14,43,2,0,1,4293500,16500000,0,20793500,1807380800,6930000000,0,8737380800,420.95744730406426,,420.0,420.1976963955082,4293500.0
3,2019-07-13,27,1,0,1,2360500,1000000,0,3360500,1076128000,450000000,0,1526128000,455.88985384452445,,450.0,454.1371819669692,2360500.0
4,2019-07-10,22,2,0,1,1654134,502100,0,2156234,827067000,251050000,0,1078117000,500.0,,500.0,500.0,1654134.0
5,2019-07-09,1,0,0,1,5000,0,0,5000,2775000,0,0,2775000,555.0,,,555.0,5000.0
6,2019-07-08,46,4,0,1,6788696,6200000,0,12988696,3463005054,3100000000,0,6563005054,510.11343769112653,,500.0,505.28590814659145,6788696.0
7,2019-07-07,22,1,0,1,1554300,3000000,0,4554300,778102998,1500000000,0,2278102998,500.6131364601428,,500.0,500.20925235491734,1554300.0
8,2019-07-06,4,0,0,1,108200,0,0,108200,54100000,0,0,54100000,500.0,,,500.0,108200.0
9,2019-05-11,59,0,88,0,8240408,0,8240408,0,2524794202,0,2524794202,0,306.39189248881854,306.39189248881854,,,0.0
10,2019-05-08,43,0,57,0,3415740,0,3415740,0,1086783371,0,1086783371,0,318.16923155743706,318.16923155743706,,,0.0
11,2019-05-07,55,0,40,0,5208742,0,5208742,0,1551757754,0,1551757754,0,297.9141132350191,297.9141132350191,,,0.0
12,2019-05-06,55,0,34,0,4373915,0,4373915,0,1421368071,0,1421368071,0,324.9647217652835,324.9647217652835,,,0.0
13,2019-05-05,47,0,64,0,4443083,0,4443083,0,1586867312,0,1586867312,0,357.15455056770264,357.15455056770264,,,0.0
14,2019-05-04,43,0,77,1,8079772,0,6079772,2000000,2826575807,0,2122575807,704000000,349.83361003256033,349.12095502923466,,352.0,2000000.0
15,2019-05-01,33,0,47,0,2812538,0,2812538,0,899511720,0,899511720,0,319.82206818183437,319.82206818183437,,,0.0
16,2019-04-30,69,1,44,0,4409485,200000,4609485,0,1413096943,67500000,1480596943,0,320.46757002234955,321.20658663603416,337.5,,-200000.0
17,2019-04-29,75,0,61,0,6566817,0,6566817,0,2270681122,0,2270681122,0,345.78108724516,345.78108724516,,,0.0
18,2019-04-28,31,0,46,0,1866909,0,1866909,0,688729729,0,688729729,0,368.9144618189746,368.9144618189746,,,0.0
