,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,1138,3,1013,5,40099727,1633488,38633400,3099815,369633830950,15069033830,356065541710,28637323070,9217.864025607954,9216.520982103568,9225.065522366862,9238.397475333206,1466327.0
1,2022-09-07,639,1,803,4,27376225,200000,25692029,1884196,245713457220,1796823340,230552516560,16957764000,8975.43241334406,8973.698284397857,8984.1167,9000.0,1684196.0
2,2022-09-06,11,0,126,1,1445446,0,1245446,200000,12633198040,0,10885198040,1748000000,8740.0,8740.0,,8740.0,200000.0
3,2022-09-05,309,0,344,6,13392236,0,5730039,7662197,113707175460,0,48434169600,65273005860,8490.52954711969,8452.677128375566,,8518.83681142628,7662197.0
4,2022-09-04,371,2,221,3,4335144,1951212,3623267,2663089,35918849350,16234009570,30028546220,22124312700,8285.503168983545,8287.698979953726,8319.961936478456,8307.763165256587,711877.0
5,2022-09-03,476,1,252,4,5466022,1000000,4677861,1788161,45462953260,8320000000,38902190710,14880762550,8317.374730654212,8316.23485819694,8320.0,8321.824796536777,788161.0
6,2022-08-31,693,0,271,1,11777504,0,11377504,400000,98325856530,0,94959020870,3366835660,8348.61584678723,8346.20852429496,,8417.08915,400000.0
7,2022-08-30,340,0,226,6,7311796,0,4572777,2739019,62645095990,0,39466908110,23178187880,8567.675573826184,8630.8403208816,,8462.222379618397,2739019.0
8,2022-08-23,420,0,430,5,11165759,0,10584342,581417,97586268800,0,92518781710,5067487090,8739.77924832517,8741.099041395299,,8715.753220150082,581417.0
9,2022-08-22,257,0,248,1,5512907,0,5231099,281808,46980993910,0,44579310270,2401683640,8522.000082714982,8521.977938096756,,8522.411145176859,281808.0
10,2022-08-21,329,1,185,0,4134236,1000,4135236,0,35365485040,8570000,35374055040,0,8554.297587268844,8554.301384491719,8570.0,,-1000.0
11,2022-08-20,378,0,327,0,5160907,0,5160907,0,45083032630,0,45083032630,0,8735.486345714038,8735.486345714038,,,0.0
12,2022-08-17,327,1,271,3,9790662,1200000,9530662,1460000,84651532440,10380000000,82402532440,12629000000,8646.150019273467,8646.04499036898,8650.0,8650.0,260000.0
13,2022-08-16,326,0,328,4,7531543,0,5965919,1565624,63276763550,0,50089862380,13186901170,8401.567056046815,8396.001082146775,,8422.776586204605,1565624.0
14,2022-08-15,410,2,220,0,8048487,400000,8448487,0,66541755630,3320220000,69861975630,0,8267.610499961049,8269.170045476782,8300.55,,-400000.0
15,2022-08-14,275,2,168,1,4208166,201000,4289166,120000,35392230590,1687302280,36071979490,1007553380,8410.369407955865,8410.021782789474,8394.538706467662,8396.278166666667,-81000.0
16,2022-08-13,366,2,288,1,5849745,17862,5752278,115329,49605562750,152370100,48784054380,973878470,8479.953015045954,8480.823489407154,8530.405329750309,8444.350250153908,97467.0
17,2022-08-10,311,5,294,2,4573319,1376187,5289506,660000,38566374250,11636697190,44605671440,5597400000,8432.90709657472,8432.861488388518,8455.752880967484,8480.90909090909,-716187.0
18,2022-08-09,461,2,184,2,6509961,3983,6177698,336246,53778733040,32949070,51037697710,2773984400,8260.991585049434,8261.60451838209,8272.425307557118,8249.865872010374,332263.0
19,2022-08-06,330,1,273,0,4244833,4000,4248833,0,36019543410,33850000,36053393410,0,8485.503059837689,8485.481403952568,8462.5,,-4000.0
20,2022-08-03,366,0,318,3,6972697,0,6644034,328663,59682194410,0,56861345870,2820848540,8559.413152471705,8558.256304829265,,8582.799219869592,328663.0
21,2022-08-02,382,1,257,4,9882890,50000,8132890,1800000,82555425290,418000000,67939027210,15034398080,8353.368831384341,8353.614423655059,8360.0,8352.443377777778,1750000.0
22,2022-08-01,299,1,202,0,5090295,100000,5190295,0,41323572030,810000000,42133572030,0,8118.109467133045,8117.760556962562,8100.0,,-100000.0
23,2022-07-31,407,0,243,0,8830476,0,8830476,0,71292955030,0,71292955030,0,8073.512122109839,8073.512122109839,,,0.0
24,2022-07-30,368,1,180,0,4781440,25516,4806956,0,39588672010,209231200,39797903210,0,8279.65466679494,8279.231848596077,8200.0,,-25516.0
25,2022-07-27,615,0,170,0,4069079,0,4069079,0,34381608250,0,34381608250,0,8449.481627169194,8449.481627169194,,,0.0
26,2022-07-26,273,1,207,0,4667017,1000,4668017,0,39097264850,8380000,39105644850,0,8377.356424885531,8377.356991202047,8380.0,,-1000.0
27,2022-07-25,235,3,126,0,3613818,161150,3774968,0,30128521320,1348894500,31477415820,0,8337.03338685014,8338.458980314535,8370.428172510085,,-161150.0
28,2022-07-24,394,1,234,4,7434247,1000,6991697,443550,63682736500,8590000,59896880480,3794446020,8566.131378201451,8566.858729718979,8590.0,8554.71991883666,442550.0
29,2022-07-23,503,1,373,2,8231275,850,8002125,230000,72520608490,7403500,70532943370,1995068620,8810.373665076188,8814.276629020416,8710.0,8674.211391304349,229150.0
30,2022-07-20,64,0,127,1,1727218,0,1499222,227996,15285683550,0,13267918950,2017764600,8849.88666746178,8849.869432278876,,8850.0,227996.0
31,2022-07-19,651,2,453,4,10447016,4411373,14536925,321464,89239534090,38597291120,125112125690,2724699520,8542.107534821427,8606.505549832582,8749.496159132315,8475.908717616903,-4089909.0
32,2022-07-17,521,2,380,0,10103359,210000,10313359,0,87906490200,1859371800,89765862000,0,8700.719255843527,8703.843432580985,8854.15142857143,,-210000.0
33,2022-07-16,478,1,279,0,7101591,20000,7121591,0,63463892130,177600000,63641492130,0,8936.57380860148,8936.41492891125,8880.0,,-20000.0
34,2022-07-13,793,1,555,5,16824684,5000,16290465,539219,153922371260,44900000,149042580790,4924690470,9148.603995177562,9149.068537331501,8980.0,9133.006199707355,534219.0
35,2022-07-12,186,0,43,0,2176739,0,2176739,0,20138979930,0,20138979930,0,9251.903847911944,9251.903847911944,,,0.0
36,2022-07-11,1047,4,1457,3,36007669,745000,36064065,688604,343024601550,7125272070,343563427300,6586446320,9526.431759578772,9526.475379300697,9564.123583892617,9564.926024246157,-56396.0
37,2022-07-09,99,0,303,2,5997492,0,5941492,56000,55883742810,0,55362142810,521600000,9317.851997134803,9317.88561021373,,9314.285714285714,56000.0
38,2022-07-06,843,2,757,2,23456892,114964,23517857,53999,212739788230,1052668800,213296366160,496090870,9069.39368736489,9069.549413452085,9156.508124282384,9187.038093298024,-60965.0
39,2022-07-05,25,0,147,0,2326300,0,2326300,0,20797122000,0,20797122000,0,8940.0,8940.0,,,0.0
40,2022-07-04,839,1,699,7,23106801,1200000,21184801,3122000,200757354800,10294139240,183823668910,27227825130,8688.236627822258,8677.148721387564,8578.449366666666,8721.276467008329,1922000.0
41,2022-07-03,140,1,8,0,918527,1000,919527,0,7807479500,8500000,7815979500,0,8500.0,8500.0,8500.0,,-1000.0
42,2022-07-02,419,2,115,1,11489540,201000,4755150,6935390,100585923330,1786630000,41517521540,60855031790,8754.564876400622,8731.064538447788,8888.706467661692,8774.565206859312,6734390.0
43,2022-06-29,16,0,159,2,2049732,0,1997532,52200,18222117480,0,17758059480,464058000,8890.0,8890.0,,8890.0,52200.0
44,2022-06-28,17,0,110,1,1615876,0,1570876,45000,13961168640,0,13572368640,388800000,8640.0,8640.0,,8640.0,45000.0
45,2022-06-27,24,0,122,1,1719916,0,1684916,35000,14430095240,0,14136445240,293650000,8390.0,8390.0,,8390.0,35000.0
46,2022-06-26,159,0,172,3,5208778,0,5034778,174000,42451229840,0,41033129840,1418100000,8149.940319975241,8149.938257456436,,8150.0,174000.0
47,2022-06-25,235,0,192,0,5129697,0,5129697,0,40625336340,0,40625336340,0,7919.63664520536,7919.63664520536,,,0.0
48,2022-06-22,373,3,168,0,4975936,11000,4986936,0,38370201090,84610000,38454811090,0,7711.152452523505,7711.109805700334,7691.818181818182,,-11000.0
49,2022-06-21,417,3,262,2,5604468,35045,5286206,353307,44157936190,276011350,41647367510,2786580030,7879.059384405442,7878.49877776235,7875.912398344985,7887.135069500463,318262.0
50,2022-06-20,602,1,276,5,7301477,3662,5250720,2054419,59198051810,29964990,42597413470,16630603330,8107.681748501022,8112.680445729347,8182.684325505188,8095.039682752155,2050757.0
51,2022-06-19,654,1,410,3,9664280,100000,9074280,690000,80072387980,841914730,75211955190,5702347520,8285.396116420468,8288.476351842792,8419.1473,8264.271768115943,590000.0
52,2022-06-18,949,1,613,2,14170341,3519,14070066,103794,120277015900,29958420,119431414610,875559710,8487.940826547505,8488.333644632512,8513.333333333334,8435.552247721449,100275.0
53,2022-06-15,644,2,484,3,12628180,500000,12608180,520000,105519884090,4200000000,105377690200,4342193890,8355.90592547778,8357.882755480965,8400.0,8350.372865384616,20000.0
54,2022-06-14,1458,1,523,5,17257197,5585,16662782,600000,140745176130,45589450,135895301290,4895464290,8155.737929514277,8155.618989073973,8162.837958818263,8159.10715,594415.0
55,2022-06-13,504,1,259,3,10343556,1500,9615056,730000,82107692280,11745000,76334937280,5784500000,7938.052665833684,7939.104803965781,7830.0,7923.972602739726,728500.0
56,2022-06-12,161,5,254,2,5152376,1603472,4668519,2087329,39810488770,12442858560,36056584450,16196762880,7726.627243430992,7723.345337140108,7759.947513894848,7759.563959490813,483857.0
57,2022-06-11,158,0,162,4,2332163,0,1995558,336605,17589621340,0,15043871590,2545749750,7542.192093777322,7538.679201506546,,7563.018226110723,336605.0
58,2022-06-08,285,2,141,1,2869123,47000,2914123,2000,21654614850,352380000,21991894850,15100000,7547.468285605044,7546.659784092847,7497.446808510638,7550.0,-45000.0
59,2022-06-07,216,1,197,1,4178199,5000,3997005,186194,32227927920,37700000,30818900540,1446727380,7713.353988165714,7710.498370655028,7540.0,7770.0,181194.0
60,2022-06-06,262,3,233,0,4768096,370599,5138695,0,37025234580,2862055660,39887290240,0,7765.2032551358025,7762.1439373226085,7722.783008049131,,-370599.0
61,2022-06-01,30,1,136,0,2343839,100000,2443839,0,18391266440,785000000,19176266440,0,7846.642384566517,7846.779775590781,7850.0,,-100000.0
62,2022-05-31,158,2,213,1,3675265,205868,3711133,170000,28049530120,1551395100,28293625220,1307300000,7631.974869839318,7623.985780083872,7535.8729865739215,7690.0,-35868.0
63,2022-05-30,490,4,239,2,8481940,434869,8216809,700000,63350008460,3237234960,61379243420,5208000000,7468.811198853093,7469.961078564684,7444.161253158997,7440.0,265131.0
64,2022-05-29,365,3,263,0,7150060,179868,7329928,0,54842825860,1377788880,56220614740,0,7670.260929278915,7670.009137879662,7660.0,,-179868.0
65,2022-05-28,246,2,130,0,4609810,18662,4628472,0,36387356510,146593180,36533949690,0,7893.461229421603,7893.306838628386,7855.169863894545,,-18662.0
66,2022-05-25,304,1,286,2,6240396,8000,6018396,230000,50433171130,63550000,48612664280,1884056850,8081.726084370287,8077.345571810163,7943.75,8191.55152173913,222000.0
67,2022-05-24,240,3,326,3,6526133,337404,6358537,505000,52914750730,2726266490,51532117220,4108900000,8108.132446887001,8104.39842058008,8080.124983699067,8136.435643564357,167596.0
68,2022-05-23,411,2,209,1,5441195,635024,6025769,50450,43093868060,4997638880,47694465440,397041500,7919.927159383187,7915.083608415789,7870.0,7870.0,-584574.0
69,2022-05-22,591,0,308,0,12557912,0,12557912,0,101871916460,0,101871916460,0,8112.169957871977,8112.169957871977,,,0.0
70,2022-05-21,516,1,208,1,11364522,8000,11272522,100000,94924468240,66480000,94154948240,836000000,8352.702228919086,8352.607184088885,8310.0,8360.0,92000.0
71,2022-05-18,454,1,366,1,8618789,4453,8533242,90000,73766525640,38264860,73036190500,768600000,8558.80398510742,8559.020182481641,8593.051875140354,8540.0,85547.0
72,2022-05-17,435,2,463,3,12859158,400000,12704901,554257,113161663250,3516000000,111811252100,4866411150,8800.0834308125,8800.639383179767,8790.0,8780.062588293878,154257.0
73,2022-05-16,587,1,585,2,12036226,131595,11933254,234567,103084889160,1131046850,102175136810,2040799200,8564.552473507893,8562.21922453004,8594.907481287282,8700.282648454386,102972.0
74,2022-05-15,623,1,370,2,13477693,229120,11926176,1780637,115809960770,1994278710,102578144290,15226095190,8592.71395853875,8601.092612585962,8704.079565293296,8550.925983229597,1551517.0
75,2022-05-14,427,0,465,2,8520431,0,7620431,900000,74866856610,0,66914144290,7952712320,8786.74524915465,8780.887103367251,,8836.347022222222,900000.0
76,2022-05-11,583,1,521,2,11910434,1326836,12689541,547729,104539783980,11741674870,111445822600,4835636250,8777.159923811341,8782.494386518787,8849.379177230645,8828.519669398553,-779107.0
77,2022-05-10,389,1,343,1,9158438,78759,9137197,100000,80836590180,694650870,80648241050,883000000,8826.460383309905,8826.365574694297,8819.955433664723,8830.0,21241.0
