,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,27,1,99,3,2625355,3000000,4025355,1600000,14491959600,16560000000,22219959600,8832000000,5520.0,5520.0,5520.0,5520.0,-1400000.0
1,2022-09-07,60,4,134,3,5754885,1017984,6263869,509000,30895805050,5425625360,33583010410,2738420000,5368.622492021996,5361.3845388529035,5329.774691940148,5380.0,-508984.0
2,2022-09-06,89,6,90,1,3409705,208370,3418075,200000,17841916680,1086190520,17872107200,1056000000,5232.686311572409,5228.705397043657,5212.797043720305,5280.0,-8370.0
3,2022-09-05,84,3,116,2,8358197,1722772,8961637,1119332,43522184220,8992364920,46660442780,5854106360,5207.125917228321,5206.68743668149,5219.706914205711,5230.0,-603440.0
4,2022-09-04,110,4,85,0,2441514,211855,2653369,0,12391481200,1069690940,13461172140,0,5075.326703021158,5073.237887380157,5049.165419744637,,-211855.0
5,2022-09-03,161,4,146,0,4389385,1299098,5688483,0,22530171020,6631381760,29161552780,0,5132.876478139876,5126.419957658307,5104.604702647529,,-1299098.0
6,2022-08-31,111,0,86,3,6003009,0,3703009,2300000,31479251920,0,19404251920,12075000000,5243.912164716062,5240.130909754743,,5250.0,2300000.0
7,2022-08-28,143,6,128,0,4820568,1845620,6666188,0,24569883580,9399815120,33969698700,0,5096.885591075575,5095.820684925177,5093.0392605195,,-1845620.0
8,2022-08-27,231,4,210,2,9544935,370377,8410312,1505000,50071156230,1918586360,44058392590,7931350000,5245.835223602885,5238.615712472973,5180.090448380974,5270.0,1134623.0
9,2022-08-24,40,0,84,1,3781785,0,3281785,500000,19351861710,0,16791861710,2560000000,5117.1237153883685,5116.685495850581,,5120.0,500000.0
10,2022-08-23,75,2,101,0,3643077,58478,3701555,0,18160340210,285794400,18446134610,0,4984.89057738829,4983.347433713669,4887.212284961866,,-58478.0
11,2022-08-22,140,2,102,0,4410861,731402,5142263,0,21479078010,3547369800,25026447810,0,4869.5885021087715,4866.815993269889,4850.095843325558,,-731402.0
12,2022-08-21,160,3,177,0,5498578,1165483,6664061,0,26936423050,5713517440,32649940490,0,4898.798025598619,4899.406006337577,4902.274370368336,,-1165483.0
13,2022-08-20,437,5,337,1,22703950,1656453,24359403,1000,114238631710,8244103800,122477545510,5190000,5031.663288106254,5027.937076700936,4976.962099135925,5190.0,-1655453.0
14,2022-08-17,13,0,43,3,1650039,0,750039,900000,8436649407,0,3834949407,4601700000,5113.0,5113.0,,5113.0,900000.0
15,2022-08-16,12,0,32,1,1288591,0,788591,500000,6504807368,0,3980807368,2524000000,5048.0,5048.0,,5048.0,500000.0
16,2022-08-15,9,0,34,1,1424436,0,924436,500000,7087993536,0,4599993536,2488000000,4976.0,4976.0,,4976.0,500000.0
17,2022-08-14,16,0,39,1,1810569,0,1010569,800000,8850061272,0,4939661272,3910400000,4888.0,4888.0,,4888.0,800000.0
18,2022-08-13,8,0,36,1,1138200,0,1138100,100,5500920600,0,5500437300,483300,4833.0,4833.0,,4833.0,100.0
19,2022-08-10,14,1,41,1,1498565,200000,1198565,500000,7121180880,950400000,5695580880,2376000000,4752.0,4752.0,4752.0,4752.0,300000.0
20,2022-08-09,8,0,26,1,1301169,0,801169,500000,6103783779,0,3758283779,2345500000,4691.0,4691.0,,4691.0,500000.0
21,2022-08-06,5,0,36,1,1177044,0,721648,455396,5457953028,0,3346281776,2111671252,4637.0,4637.0,,4637.0,455396.0
22,2022-08-03,31,0,51,1,1330492,0,830492,500000,6082153730,0,3792153730,2290000000,4571.356858966457,4566.153232060032,,4580.0,500000.0
23,2022-08-02,87,2,101,0,3759085,55513,3814598,0,16720076317,244257200,16964333517,0,4447.911211637938,4447.213970384298,4400.0,,-55513.0
24,2022-08-01,57,2,62,0,871711,143957,1015668,0,3851825457,633294800,4485120257,0,4418.69548164472,4415.9314431487455,4399.1942038247535,,-143957.0
25,2022-07-31,39,3,77,0,1475449,1029539,2504988,0,6360747800,4462704819,10823452619,0,4311.059074220797,4320.760266715849,4334.663202656723,,-1029539.0
26,2022-07-30,57,2,58,0,1638678,292038,1930716,0,7133505014,1267503890,8401008904,0,4353.207289046414,4351.240111958466,4340.201925776782,,-292038.0
27,2022-07-27,51,0,44,0,862891,0,862891,0,3739893563,0,3739893563,0,4334.143667044853,4334.143667044853,,,0.0
28,2022-07-26,95,3,81,0,2441621,914896,3356517,0,10602483087,3964407688,14566890775,0,4342.3951084136315,4339.882912852818,4333.178512093178,,-914896.0
29,2022-07-25,170,3,137,0,3271177,372933,3644110,0,14570959824,1660937494,16231897318,0,4454.347723770374,4454.283026033791,4453.7155306717295,,-372933.0
30,2022-07-24,66,1,81,1,2995795,38530,2434325,600000,13549980785,172807050,11008987835,2713800000,4523.0,4522.398543744159,4485.0,4523.0,561470.0
31,2022-07-23,120,2,180,1,6627495,1238340,7783896,81939,29022536488,5525174986,34184467314,363244160,4379.111034863096,4391.691167764831,4461.75927935785,4433.10462661248,-1156401.0
32,2022-07-20,99,2,28,0,2865347,25000,2890347,0,12467867046,108750000,12576617046,0,4351.2590433200585,4351.248153249419,4350.0,,-25000.0
33,2022-07-19,81,2,42,0,2672252,451482,3123734,0,11980700393,2025895660,14006596053,0,4483.372224251306,4483.92726557383,4487.212469157132,,-451482.0
34,2022-07-17,87,1,44,0,2233078,300000,2533078,0,10270809408,1383470000,11654279408,0,4599.395725541159,4600.837166482833,4611.566666666667,,-300000.0
35,2022-07-16,124,3,98,1,4432334,444868,3228163,1649039,20955699338,2102644456,15273694342,7784649452,4727.915210812182,4731.388824542008,4726.4457232257655,4720.7188259343775,1204171.0
36,2022-07-13,109,4,81,1,3955197,599980,4355177,200000,19168062227,2900169822,21094213669,974018380,4846.297726004545,4843.480223421459,4833.777495916531,4870.0919,-399980.0
37,2022-07-12,90,4,94,1,2522738,1927062,4249800,200000,12354481579,9413724489,20783457455,984748613,4897.2511529140165,4890.455422608123,4885.013813255619,4923.743065,-1727062.0
38,2022-07-11,146,3,158,1,4237411,3090088,4727499,2600000,21086725907,15390168538,23512723207,12964171238,4976.323020589695,4973.607230165464,4980.495227967618,4986.219706923077,-490088.0
39,2022-07-09,71,3,121,0,3047330,1465498,4512828,0,14893558136,7087089452,21980647588,0,4887.412303885697,4870.703600491754,4835.959825260765,,-1465498.0
40,2022-07-06,153,4,97,1,5225848,1891683,7116031,1500,25257518688,9205063738,34455229426,7353000,4833.19045789315,4841.9167125606955,4866.070973836526,4902.0,-1890183.0
41,2022-07-05,92,1,77,0,3049308,15000,3064308,0,15054194613,73515000,15127709613,0,4936.921627136387,4936.745788282379,4901.0,,-15000.0
42,2022-07-04,103,5,100,0,2813411,1585400,4398811,0,13870143702,7800920200,21671063902,0,4930.00976465934,4926.57309031918,4920.474454396367,,-1585400.0
43,2022-07-03,162,5,117,2,4309853,2199654,6381386,128121,21501956766,10956019411,31822445237,635530940,4989.02323721946,4986.760750250807,4980.792165949736,4960.396344080986,-2071533.0
44,2022-07-02,151,2,166,0,5807024,32500,5839524,0,29472148088,165360000,29637508088,0,5075.2585296702755,5075.3294426052535,5088.0,,-32500.0
45,2022-06-29,110,4,114,0,4135021,406400,4541421,0,20437343560,1996003530,22433347090,0,4942.500548364809,4939.719768328019,4911.426008858268,,-406400.0
46,2022-06-28,169,3,133,0,5898329,242250,6140579,0,29642589590,1215132500,30857722090,0,5025.591076726985,5025.213760787053,5016.026831785346,,-242250.0
47,2022-06-27,404,3,185,3,30103848,777191,29854484,1026555,151506444850,3912642640,150245843590,5173243900,5032.793311007948,5032.605607586452,5034.338586010389,5039.422047527897,249364.0
