,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,37,1,35,2,1638655,69046,1197582,510119,2989011459,126105996,2182373785,932743670,1824.0639176641819,1822.3167891634978,1826.4055267502824,1828.4825109435249,441073.0
1,2022-09-07,44,3,43,1,1629358,459586,1986610,102334,3031819754,850736520,3691246034,191310240,1860.7450014054616,1858.0627470917796,1851.0932012724495,1869.4689936873376,-357252.0
2,2022-09-06,31,2,38,2,876619,536758,1193031,220346,1648187584,1007802199,2240918471,415071312,1880.164112345272,1878.3405217467107,1877.572759045976,1883.725195828379,-316412.0
3,2022-09-05,46,2,30,1,2175148,532000,2497148,210000,4091567027,995028500,4693345527,393250000,1881.0522442610802,1879.4823242354878,1870.3543233082708,1872.6190476190477,-322000.0
4,2022-09-04,37,2,36,2,1036596,678056,1114652,600000,1926512234,1269617281,2079505837,1116623678,1858.4986185553485,1865.6099275827792,1872.4372043017097,1861.0394633333333,-78056.0
5,2022-09-03,92,3,57,1,3471785,1264924,4689879,46830,6528272513,2376237602,8815752919,88757196,1880.3792611005579,1879.7399504336893,1878.5615594296573,1895.3063420884048,-1218094.0
6,2022-08-31,43,2,40,1,2272492,1267526,3056253,483765,4388670500,2450817634,5905153866,934334268,1931.2149393705236,1932.1547875781225,1933.5442697033434,1931.380459520635,-783761.0
7,2022-08-30,46,2,66,1,1903380,1025115,2828495,100000,3683362606,1979879771,5469237730,194004647,1935.1693335014554,1933.6211412783123,1931.3733298215323,1940.04647,-925115.0
8,2022-08-29,96,2,109,0,4918845,502359,5421204,0,9555625076,968673806,10524298882,0,1942.6562691038241,1941.3213157077284,1928.250127896584,,-502359.0
9,2022-08-28,148,3,138,2,19489288,3345243,19834531,3000000,37649169143,6462944907,38316114050,5796000000,1931.787818159391,1931.788256046992,1931.9806982631756,1932.0,-345243.0
10,2022-08-27,38,0,45,2,7204561,0,2204561,5000000,13517674336,0,4132674336,9385000000,1876.266206365662,1874.601943879076,,1877.0,5000000.0
11,2022-08-24,110,1,52,2,4759234,200000,3242717,1716517,8689444847,363427524,5920257979,3132614392,1825.807440230928,1825.7091133762212,1817.13762,1824.9830278406796,1516517.0
12,2022-08-23,118,1,32,2,8274093,202750,2847559,5629284,14915223251,369535250,5139974934,10144783567,1802.6414799785305,1805.0459828927162,1822.6152897657214,1802.144565276863,5426534.0
13,2022-08-22,67,0,30,1,2400565,0,1713569,686996,4308022443,0,3076560290,1231462153,1794.586875589705,1795.4108004988418,,1792.5317658326978,686996.0
14,2022-08-21,44,1,27,2,1540969,100000,1147661,493308,2770730964,179200000,2061855619,888075345,1798.044583635362,1796.5720007911743,1792.0,1800.2451713736652,393308.0
15,2022-08-20,56,0,44,1,2375763,0,1752997,622766,4317425975,0,3191141483,1126284492,1817.2797433919125,1820.3918677556208,,1808.519559513525,622766.0
16,2022-08-17,80,1,58,2,1901567,3935,1051239,854263,3499717672,7201050,1933629273,1573289449,1840.43879179645,1839.3812187333233,1830.0,1841.692135794246,850328.0
17,2022-08-16,103,0,40,1,5312923,0,3683841,1629082,9766334918,0,6734565992,3031768926,1838.222559973107,1828.1369885399506,,1861.0290494892215,1629082.0
18,2022-08-15,56,0,36,1,2263773,0,2069203,194570,4122897215,0,3766505605,356391610,1821.2502821616831,1820.2687725660555,,1831.6883897825976,194570.0
19,2022-08-14,81,0,39,1,1961318,0,1891318,70000,3604291049,0,3474091049,130200000,1837.688253001298,1836.8624678663239,,1860.0,70000.0
20,2022-08-13,93,0,52,3,7742877,0,4960223,2782654,14443527794,0,9269192108,5174335686,1865.3954846499564,1868.7047150904305,,1859.496612227032,2782654.0
21,2022-08-10,47,0,37,1,1732886,0,831059,901827,3146426932,0,1512809511,1633617421,1815.7149010379217,1820.3394837189658,,1811.4532177457538,901827.0
22,2022-08-09,59,0,44,2,4144733,0,1598031,2546702,7610897544,0,2974364408,4636533136,1836.2817445659346,1861.268278274952,,1820.6029350901676,2546702.0
23,2022-08-06,43,0,45,1,1467369,0,1415286,52083,2724577350,0,2627309151,97268199,1856.7772319028138,1856.3803718824322,,1867.5613731927883,52083.0
24,2022-08-03,34,0,32,0,988691,0,988691,0,1790053529,0,1790053529,0,1810.5287991900402,1810.5287991900402,,,0.0
25,2022-08-02,59,0,53,0,2740177,0,2740177,0,4911387679,0,4911387679,0,1792.3614711750372,1792.3614711750372,,,0.0
26,2022-08-01,50,0,27,0,2865331,0,2865331,0,5218191551,0,5218191551,0,1821.1479061232367,1821.1479061232367,,,0.0
27,2022-07-31,64,0,52,1,6258847,0,6218847,40000,11750414259,0,11672214259,78200000,1877.4087717753764,1876.909700302966,,1955.0,40000.0
28,2022-07-30,118,0,69,0,6338238,0,6338238,0,12178787964,0,12178787964,0,1921.4784872388825,1921.4784872388825,,,0.0
29,2022-07-27,84,0,41,1,5277320,0,2277320,3000000,10404124138,0,4492342366,5911781772,1971.4787312499527,1972.6443213953244,,1970.593924,3000000.0
30,2022-07-26,68,1,42,2,4484195,9953396,5550715,8886876,9001788452,20295874444,11176432732,18121230164,2007.4480373846366,2013.5122649964915,2039.090421399892,2039.1001476784418,-1066520.0
31,2022-07-25,30,2,49,1,1971762,8200000,10134638,37124,4014112821,17029123047,20967688528,75547340,2035.7998688482687,2068.913416345014,2076.722322804878,2035.0,-8162876.0
32,2022-07-24,28,1,7,0,437438,20000,457438,0,892424606,40800000,933224606,0,2040.116784550039,2040.1116785225538,2040.0,,-20000.0
33,2022-07-23,47,2,20,0,826486,60296,886782,0,1697402685,126240192,1823642877,0,2053.758545214317,2056.472590783304,2093.6744062624384,,-60296.0
34,2022-07-13,110,1,54,2,6250633,760000,4010633,3000000,13255609448,1611200000,8506714708,6360094740,2120.6827289332136,2121.0404213000793,2120.0,2120.03158,2240000.0
35,2022-07-12,49,0,19,1,1341587,0,1045902,295685,2869790586,0,2237320371,632470215,2139.1013672613108,2139.1300246103365,,2139.0,295685.0
36,2022-07-11,74,2,38,1,2965503,1460000,3262557,1162946,6523918472,3234040000,7197408319,2560550153,2199.9365611837184,2206.0636240225076,2215.095890410959,2201.7790619684833,-297054.0
37,2022-07-09,163,2,97,1,6163405,500000,6563405,100000,13905073556,1127300000,14800173556,232200000,2256.0700710078277,2254.9535730310713,2254.6,2322.0,-400000.0
38,2022-07-06,52,0,32,1,1733449,0,1183449,550000,3958658864,0,2706430837,1252228027,2283.6892599666908,2286.901114454446,,2276.778230909091,550000.0
39,2022-07-05,61,0,54,0,2268171,0,2268171,0,5232689740,0,5232689740,0,2307.00848392824,2307.00848392824,,,0.0
