,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,29,2,27,1,35378,21215,56091,502,1330665150,802472200,2113986050,19151300,37612.78619481033,37688.507068870225,37825.69879802027,38150.0,-20713.0
1,2022-09-07,31,1,65,2,181878,3683,154561,31000,6972377300,140114050,5921441350,1191050000,38335.46278274448,38311.35506369654,38043.456421395604,38420.967741935485,27317.0
2,2022-09-06,39,2,30,1,163621,13000,111621,65000,6150285700,490550000,4202068200,2438767500,37588.6084304582,37645.85696239955,37734.61538461538,37519.5,52000.0
3,2022-09-05,29,2,24,1,83777,21064,84841,20000,3199622700,801226500,3233849200,767000000,38192.1374601621,38116.58514161785,38037.71838207368,38350.0,-1064.0
4,2022-09-04,32,2,26,0,65994,27856,93850,0,2509507700,1052070400,3561578100,0,38026.300875837194,37949.68673415024,37768.1792073521,,-27856.0
5,2022-09-03,25,2,32,0,61921,15246,77167,0,2350056550,579459200,2929515750,0,37952.49672970398,37963.32305260021,38007.29371638463,,-15246.0
6,2022-08-31,32,3,26,0,75330,88392,163722,0,2878368200,3387091600,6265459800,0,38210.118146820656,38268.89361234287,38318.98361842701,,-88392.0
7,2022-08-30,46,2,52,1,173545,119731,271276,22000,6693013750,4690526500,10518390250,865150000,38566.44530237114,38773.75901296097,39175.539334007066,39325.0,-97731.0
8,2022-08-29,34,2,36,1,125797,7363,125239,7921,4842681150,283371850,4818322150,307730850,38495.998712210945,38473.0167918939,38485.922857530895,38850.0,558.0
9,2022-08-28,31,3,40,1,114233,69149,137527,45855,4357489900,2654655500,5268640750,1743504650,38145.63129743594,38309.86460840417,38390.36717812261,38022.12735797623,-23294.0
10,2022-08-27,60,1,67,1,240210,100399,329368,11241,9339265350,3889705500,12784389300,444581550,38879.58598726115,38814.91007019504,38742.472534586996,39550.0,-89158.0
