,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,45,1,41,2,1281761,1133422,1310492,1104691,18365028118,16238536994,18775487280,15828077832,14327.966070117596,14327.052191085486,14327.0,14328.059006545722,-28731.0
1,2022-09-07,33,1,42,2,1208400,342945,732002,819343,17290700612,4906857060,10473553416,11724004256,14308.755885468388,14308.093988814238,14308.0,14309.03084056372,476398.0
2,2022-09-06,42,1,38,2,2661543,579424,599681,2641286,38052094531,8283445504,8573055563,37762484472,14297.005357794333,14296.026659173795,14296.0,14297.007015521984,2061862.0
3,2022-09-05,33,3,29,3,975588,12011645,846075,12141158,13940467194,171633802748,12088947330,173485322612,14289.297525184811,14288.269160535414,14288.950659797221,14289.026023053155,129513.0
4,2022-09-04,52,1,32,2,1881411,1203831,868085,2217157,26869485411,17191712381,12396884896,31664312896,14281.560706831202,14280.72699793223,14280.835417097582,14281.493325010362,1013326.0
5,2022-09-03,67,2,53,5,1098559,2812306,904609,3006256,15680251127,40139575032,12910977250,42908848909,14273.472000138363,14272.439529122526,14272.833408597784,14273.185287280923,193950.0
6,2022-08-31,49,1,28,4,1977555,8896651,668666,10205540,28182659142,126785641848,9528572116,145439728874,14251.264385567027,14250.122057948214,14250.94025246129,14251.056668632918,1308889.0
7,2022-08-30,45,1,34,2,664585,1759051,2006577,417059,9463841942,25047191025,28572101564,5938931403,14240.228025008088,14239.22509029058,14239.03629002229,14240.02695781652,-1341992.0
8,2022-08-29,40,1,39,1,1188318,342019,526182,1004155,16911228429,4866930370,7487700310,14290458489,14231.231395131606,14230.247918020761,14230.0,14231.32732396891,662136.0
9,2022-08-28,36,2,35,1,433600,1166069,1444962,154707,6166547455,16582767249,20549060405,2200254299,14221.742285516606,14221.177030953064,14221.085758218425,14222.073332169844,-1011362.0
10,2022-08-27,40,2,45,2,1702123,5375190,5836316,1240997,24194159906,76397596296,82952200919,17639555283,14214.107855895256,14213.109934246193,14213.003874467693,14214.019278854019,-4134193.0
11,2022-08-24,54,1,53,2,3607592,1313661,1830899,3090354,51197672581,18640849590,25980975128,43857547043,14191.647110039052,14190.283094807524,14190.0,14191.755068513186,1776693.0
12,2022-08-23,38,3,45,3,734060,15485152,1377902,14841310,10408209803,219555488631,19536222933,210427475501,14178.963304089584,14178.238316658224,14178.452276800383,14178.497417074368,-643842.0
13,2022-08-22,41,1,33,2,6667833,38152938,1232980,43587791,94494495769,540627131460,17471496870,617650130359,14171.695027304973,14170.138096319486,14170.0,14170.255390070122,5434853.0
14,2022-08-21,35,1,42,2,1034637,8800000,1123802,8710835,14653727467,124619600000,15915558169,123357769298,14163.158157885326,14162.244033201578,14161.318181818182,14161.417280662532,-89165.0
15,2022-08-20,51,2,44,1,2777084,1388199,1708847,2456436,39308155024,19647180707,24185549061,34769786670,14154.471029324284,14153.138965044853,14153.000187293032,14154.56648168322,1068237.0
16,2022-08-17,30,1,28,2,3305841,57291,1129059,2234073,46744424458,810037449,15964548079,31589913828,14139.9493980503,14139.69338980514,14139.0,14140.054433315294,2176782.0
17,2022-08-16,27,1,35,2,2856722,510787,818642,2548867,40366678298,7216909523,11566881746,36016706075,14130.418814991448,14129.35293571549,14129.0,14130.476825585643,2038080.0
18,2022-08-15,26,2,41,1,5349586,5855106,2013382,9191310,75543602863,82679951826,28431213708,129792340981,14121.392358773184,14121.12242386194,14121.0,14121.201545916741,3336204.0
