,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,70,3,108,0,1017043,1339852,2356895,0,5762428190,7522515860,13284944050,0,5665.864855271606,5636.629569836586,5614.437908067458,,-1339852.0
1,2022-09-07,62,1,75,0,1081000,54656,1135656,0,6254159880,316709170,6570869050,0,5785.531803885291,5785.96780186958,5794.591078747073,,-54656.0
2,2022-09-06,42,0,71,1,790329,0,789329,1000,4636212280,0,4630382280,5830000,5866.18013510829,5866.225971679743,,5830.0,1000.0
3,2022-09-05,63,0,94,1,1555660,0,1552439,3221,9156109710,0,9137331280,18778430,5885.675346798143,5885.790861992001,,5830.0,3221.0
4,2022-09-04,50,1,78,0,910914,2388,913302,0,5395095610,13993680,5409089290,0,5922.727732804634,5922.563719339277,5860.0,,-2388.0
5,2022-09-03,104,1,122,0,2001892,109734,2111626,0,11625370510,640804540,12266175050,0,5807.191651697494,5808.876690285117,5839.617074015347,,-109734.0
6,2022-08-31,112,2,234,0,4282545,94075,4376620,0,25432189990,542035900,25974225890,0,5938.569236283565,5934.768357773807,5761.742226946585,,-94075.0
7,2022-08-30,81,1,93,0,738171,179698,917869,0,4184077330,1024614450,5208691780,0,5668.168120936748,5674.765985124239,5701.86896904807,,-179698.0
8,2022-08-29,117,0,141,0,2396058,0,2396058,0,13879636130,0,13879636130,0,5792.696224381881,5792.696224381881,,,0.0
9,2022-08-28,144,0,191,1,3421040,0,3211624,209416,19999623420,0,18776133980,1223489440,5846.065354395155,5846.305165237276,,5842.387592161057,209416.0
10,2022-08-27,97,0,250,3,4612166,0,4124783,487383,26175644820,0,23383040430,2792604390,5675.347509174648,5668.9140810559,,5729.794412197389,487383.0
11,2022-08-24,75,1,145,1,2162582,453533,2615115,1000,11859916330,2520700950,14375147280,5470000,5484.146418494189,5496.946512868459,5557.921805028521,5470.0,-452533.0
12,2022-08-23,61,0,93,1,1554854,0,1479854,75000,8382639110,0,7976639110,406000000,5391.270891028997,5390.152751555221,,5413.333333333333,75000.0
13,2022-08-22,55,2,93,1,759014,90000,845364,3650,4037258800,475505380,4492981180,19783000,5319.083442466147,5314.848018131835,5283.3931111111115,5420.0,-86350.0
14,2022-08-21,71,2,80,0,1097352,148705,1246057,0,5796991400,784425310,6581416710,0,5282.709103368837,5281.794259813155,5275.043273595374,,-148705.0
15,2022-08-20,64,3,98,1,1084237,581863,1636100,30000,5707348910,3084481630,8631330540,160500000,5263.9311423609415,5275.551946702524,5301.044455481789,5350.0,-551863.0
16,2022-08-17,105,1,163,2,2624516,60000,2571516,113000,14133100458,322500000,13843022821,612577637,5385.031166889438,5383.214734421252,5375.0,5421.04103539823,53000.0
17,2022-08-16,165,2,149,1,3832541,649894,4432435,50000,20305115947,3372668044,23414616231,263167760,5298.081859267781,5282.56279697277,5189.566366207412,5263.3552,-599894.0
18,2022-08-15,203,2,287,3,8253595,914090,6710602,2457083,44363621891,5023594687,36650098417,12737118161,5375.066488118208,5461.521696116086,5495.733119277095,5183.837160161052,1542993.0
19,2022-08-14,178,2,234,3,5245412,1679100,6772500,152012,27450357170,8855471792,35501510398,804318564,5233.212790530086,5242.009656404577,5273.9394866297425,5291.151777491251,-1527088.0
20,2022-08-13,103,0,194,2,5556873,0,4643171,913702,28081682991,0,23434819089,4646863902,5053.5045503109395,5047.158308190674,,5085.754329091979,913702.0
21,2022-08-10,92,2,75,0,1366954,212745,1579699,0,6431621623,1001648814,7433270437,0,4705.075388784114,4705.497969549895,4708.213184798703,,-212745.0
22,2022-08-09,134,1,102,1,1880956,200000,2025956,55000,9080972934,959825000,9772197934,268600000,4827.849739175185,4823.499589329679,4799.125,4883.636363636364,-145000.0
23,2022-08-06,151,1,111,2,3994869,80000,3662150,412719,19562975400,388390000,17924507878,2026857522,4897.025509472275,4894.53132121841,4854.875,4910.986705240127,332719.0
24,2022-08-03,153,2,99,2,3313109,226405,1877243,1662271,15991540650,1089754738,9098425628,7982869760,4826.747520229488,4846.6957277241145,4813.2980190366825,4802.387673249428,1435866.0
25,2022-08-02,72,2,110,0,927344,861095,1788439,0,4326655087,4166688660,8493343747,0,4665.641969970151,4749.026244115678,4838.825750933404,,-861095.0
26,2022-08-01,76,3,65,1,1448675,425000,1693675,180000,6862855850,2005810000,8018460065,850205785,4737.332976685592,4734.355803208999,4719.552941176471,4723.365472222222,-245000.0
27,2022-07-31,57,3,94,0,858811,150000,1008811,0,4003857994,699205610,4703063604,0,4662.094446857341,4661.98683797064,4661.370733333333,,-150000.0
28,2022-07-30,118,2,107,1,2359020,104457,2459977,3500,11171789620,499111993,11654647613,16254000,4735.775711948182,4737.705926925333,4778.157452348813,4644.0,-100957.0
29,2022-07-27,211,4,179,1,4079035,200000,4229035,50000,19969537040,976045640,20698082680,247500000,4895.65229030886,4894.280297987602,4880.2282,4950.0,-150000.0
30,2022-07-26,163,1,123,1,3329489,60000,3239489,150000,16115257080,288800000,15687057080,717000000,4840.1592796972745,4842.448015720998,4813.333333333333,4780.0,90000.0
31,2022-07-25,6,0,4,1,0,0,0,0,0,0,0,0,,,,,0.0
32,2022-07-19,214,2,261,1,5421827,675000,5996827,100000,28090401930,3504012770,31085339800,509074900,5180.984551886292,5183.63124365602,5191.1300296296295,5090.749,-575000.0
33,2022-07-17,254,2,238,1,4543241,4369620,8887861,25000,21910431880,21940676340,43723608220,127500000,4822.643544553326,4919.474800517245,5021.186359454598,5100.0,-4344620.0
34,2022-07-16,157,1,134,0,3544371,25000,3569371,0,17706819280,125000000,17831819280,0,4995.757859434015,4995.787571535713,5000.0,,-25000.0
35,2022-07-13,299,2,128,0,7662088,120000,7782088,0,39690267080,639000000,40329267080,0,5180.084995108383,5182.319588264743,5325.0,,-120000.0
36,2022-07-12,148,0,169,1,2875445,0,2825445,50000,15411450190,0,15134291090,277159100,5359.674829461179,5356.427426476183,,5543.182,50000.0
37,2022-07-11,182,5,127,0,5380917,4180181,9561098,0,29587831880,22830140470,52417972350,0,5498.659778621376,5482.421825401225,5461.519601663182,,-4180181.0
38,2022-07-09,101,3,97,0,2241880,701321,2943201,0,12893052120,4049702130,16942754250,0,5751.000107053009,5756.573964877017,5774.391655176446,,-701321.0
39,2022-07-06,83,4,91,1,1015984,591374,1606358,1000,5863738160,3411835360,9269713520,5860000,5771.486716326242,5770.639869817313,5769.336088498987,5860.0,-590374.0
