,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,85,4,145,1,2223134,2625501,4825056,23579,15625539440,18417663680,33874849060,168354060,7028.6089097643235,7020.612622941579,7014.913984035808,7140.0,-2601922.0
1,2022-09-07,93,4,182,2,4075641,1690695,5276336,490000,29559839580,12197761180,38193432850,3564167910,7252.807492122098,7238.627875480258,7214.643197028441,7273.81206122449,-1200695.0
2,2022-09-06,139,4,249,4,4057777,1192573,4728645,521705,29400119060,8579997810,34169497360,3810619510,7245.375746375417,7226.065259709705,7194.526297341966,7304.165208307377,-670868.0
3,2022-09-05,220,3,306,3,6825622,815720,7230342,411000,49324155010,5819964530,52200513120,2943606420,7226.323844185922,7219.646473154382,7134.757674201932,7162.059416058394,-404720.0
4,2022-09-04,163,0,297,3,6777732,0,5537732,1240000,48180606280,0,39301206280,8879400000,7108.6620539142,7096.985964651232,,7160.806451612903,1240000.0
5,2022-09-03,155,2,263,4,10097166,1010000,10314166,793000,68836500540,6995009960,70399820500,5431690000,6817.408027163266,6825.546583213805,6925.752435643564,6849.546027742749,-217000.0
6,2022-08-31,155,2,192,2,4529740,6027823,10207563,350000,30348917820,39369655080,67381372870,2337200030,6699.924900766931,6601.122409922917,6531.3223497106665,6677.714371428571,-5677823.0
7,2022-08-30,129,3,142,1,2278873,210382,2459255,30000,15021407200,1382950480,16204257680,200100000,6591.594704926514,6589.092094963718,6573.520928596553,6670.0,-180382.0
8,2022-08-29,180,2,114,1,3161524,194122,3325646,30000,21124973200,1286825940,22206899140,204900000,6681.895566821571,6677.46932174982,6628.954677986008,6830.0,-164122.0
9,2022-08-28,205,4,158,2,4142469,879296,2691765,2330000,27994210370,5883705570,18338079910,15539836030,6757.856333988257,6812.66006133522,6691.382162548221,6669.4575236051505,1450704.0
10,2022-08-27,234,2,196,2,4042789,397000,4201897,237892,28155248950,2758655940,29243865770,1670039120,6964.313237717823,6959.6817270865995,6948.755516372796,7020.156709767458,-159108.0
