,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-06-01,16,0,0,1,8329692,0,0,8329692,16659384000,0,0,16659384000,2000.0,,,2000.0,8329692.0
1,2022-05-31,74,1,0,1,26836685,100000,0,26936685,52840030050,190000000,0,53030030050,1968.9477314355331,,1900.0,1968.6917692358952,26836685.0
2,2022-05-30,23,3,0,1,4200000,20800000,0,25000000,7980000000,39520000000,0,47500000000,1900.0,,1900.0,1900.0,4200000.0
3,2022-05-29,12,0,0,1,555598,0,0,555598,1055636200,0,0,1055636200,1900.0,,,1900.0,555598.0
4,2022-05-28,26,0,0,1,1506736,0,0,1506736,2936597390,0,0,2936597390,1948.9793766127577,,,1948.9793766127577,1506736.0
5,2022-05-25,29,0,0,1,4544290,0,0,4544290,9090580000,0,0,9090580000,2000.4401127568883,,,2000.4401127568883,4544290.0
6,2022-05-24,34,0,0,1,2442965,0,0,2442965,4886830000,0,0,4886830000,2000.3684047868062,,,2000.3684047868062,2442965.0
7,2022-05-23,28,1,0,1,3643063,200000,0,3843063,7665317300,420000000,0,8085317300,2104.085847540929,,2100.0,2103.8732125911024,3643063.0
8,2022-05-22,37,0,0,1,5010357,0,0,5010357,10521749700,0,0,10521749700,2100.0,,,2100.0,5010357.0
9,2022-05-21,5,0,0,1,89745,0,0,89745,173395500,0,0,173395500,1932.0909242854755,,,1932.0909242854755,89745.0
10,2022-05-18,48,0,0,1,2148871,0,0,2148871,4086310900,0,0,4086310900,1901.608286397834,,,1901.608286397834,2148871.0
11,2022-05-17,99,1,0,1,52656051,1500000,0,54156051,93075856921,2815500000,0,95891356921,1767.6193932773272,,1877.0,1770.6489884389835,52656051.0
12,2022-05-16,76,0,0,1,18949431,0,0,18949431,32354082100,0,0,32354082100,1707.3906915727443,,,1707.3906915727443,18949431.0
13,2022-02-28,126,1,950,4,9907168,22337492,31202721,1041939,13241364086,29593843659,41439388067,1395819678,1336.5438121166412,1328.069691966928,1324.8507781894225,1339.636656272584,-21295553.0
