,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,519,7,688,1,11092408,1906747,12899155,100000,139487602030,23983115860,162208949150,1261768740,12575.051515414867,12575.160865188456,12578.027320876865,12617.6874,-1806747.0
1,2022-09-07,845,4,798,3,17485375,4890484,22114283,261576,223573671750,62539371020,282762682740,3350360030,12786.324099425949,12786.427791486616,12787.971705867967,12808.361738079946,-4628908.0
2,2022-09-06,947,8,1114,6,33580135,3471768,27337343,9714560,427801589260,44427712580,347820194390,124409107450,12739.722138103376,12723.262622486758,12796.85525645723,12806.458290442388,6242792.0
3,2022-09-05,764,5,611,3,15143602,979327,15402032,720897,184937125990,11939471360,188075725260,8800872090,12212.228371427089,12211.098201847652,12191.506371212066,12208.224045876179,-258430.0
4,2022-09-04,823,3,724,2,17180237,1006905,17908142,279000,213587891480,12520225830,222587767310,3520350000,12432.185393018734,12429.417150589938,12434.36652911645,12617.741935483871,-727905.0
5,2022-09-03,1181,7,585,1,21936028,4305483,26041511,200000,274222158630,53893448870,325619556700,2496050800,12500.994192294065,12503.86572038773,12517.399063008726,12480.254,-4105483.0
6,2022-08-31,1140,9,875,2,29282316,4569594,33775526,76384,384689936330,59953765030,443627196400,1016504960,13137.278360427501,13134.575502984024,13120.151381063613,13307.825722664433,-4493210.0
7,2022-08-30,642,5,701,2,16392017,655429,16831332,216114,211913845180,8403802230,217509431370,2808216040,12927.868802234649,12922.888774934747,12821.834599933783,12994.14216570884,-439315.0
8,2022-08-29,827,7,816,2,19099970,1631009,20340979,390000,246461642230,20915161220,262355063300,5021740150,12903.771169797648,12897.858225014637,12823.44930040239,12876.256794871795,-1241009.0
9,2022-08-28,1056,4,896,1,19993668,489249,20392917,90000,259067534540,6295973960,264175508500,1188000000,12957.479064871939,12954.277629826081,12868.649624219977,13200.0,-399249.0
10,2022-08-27,1696,7,1582,9,44565490,770979,42762425,2574044,584789073370,10053641920,561003780340,33838934950,13122.016012165466,13119.082473456545,13040.098264673876,13146.214652896377,1803065.0
11,2022-08-24,912,7,1406,5,34802323,708801,29646124,5865000,443552015370,8917686490,377079051860,75390650000,12744.89680961814,12719.337335970125,12581.368381252283,12854.330775788576,5156199.0
12,2022-08-23,921,6,1032,7,27848158,1114645,17982290,10980513,341501109550,13665339280,219910579490,135255869340,12262.969405373238,12229.286675390063,12259.813016700384,12317.809681569523,9865868.0
13,2022-08-22,677,4,666,1,12949638,1768192,14537830,180000,152151687870,20716623310,170735311180,2133000000,11749.49352792719,11744.208811081158,11716.274765410091,11850.0,-1588192.0
14,2022-08-21,767,6,586,2,12789025,1651145,14268530,171640,147997643990,18963443060,164922091050,2038996000,11572.23822691722,11558.45003304475,11485.025882039434,11879.491959916104,-1479505.0
15,2022-08-20,1098,3,864,1,18969299,6537980,25487724,19555,222277377380,76465543760,298513596540,229324600,11717.743358887432,11712.053871110656,11695.591568037835,11727.159294298133,-6518425.0
16,2022-08-17,1241,3,917,4,25360168,1276968,23252136,3385000,311119942000,15711531620,284878692820,41952780800,12268.055243167159,12251.721425506887,12303.778653811216,12393.73140324963,2108032.0
