,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,62,2,60,1,1021754,242027,1258781,5000,7325736020,1758584320,9048270340,36050000,7169.764953207915,7188.121158485868,7266.066678511075,7210.0,-237027.0
1,2022-09-07,34,1,65,0,660826,646203,1307029,0,4904763650,4784050370,9688814020,0,7422.171116148577,7412.853134857757,7403.324295925584,,-646203.0
2,2022-09-06,65,3,84,1,841709,226517,977934,90292,6201393790,1660534150,7193658380,668269560,7367.6220522769745,7355.975331668599,7330.726391396673,7401.204536393036,-136225.0
3,2022-09-05,61,3,88,1,1287416,556648,1832064,12000,9456563170,4076862760,13443665930,89760000,7345.382665742853,7337.989246008873,7323.9511504577395,7480.0,-544648.0
4,2022-09-04,69,2,66,1,1768684,367547,2121231,15000,12987028780,2694594040,15570472820,111150000,7342.763761078859,7340.300429326179,7331.291072978422,7410.0,-352547.0
5,2022-09-03,66,4,102,0,1928511,462694,2391205,0,14316297330,3419777700,17736075030,0,7423.497885155957,7417.2122549091355,7391.013715328057,,-462694.0
6,2022-08-31,72,1,105,2,1270598,235348,1485558,20388,9654323270,1774136960,11273049790,155410440,7598.251587047988,7588.427910589826,7538.355796522596,7622.642731018246,-214960.0
7,2022-08-30,68,3,121,1,1346423,523000,1799724,69699,10247366070,3976663190,13692380180,531649080,7610.807354003905,7608.044444592615,7603.562504780115,7627.786338397968,-453301.0
8,2022-08-29,94,1,123,1,1572756,425533,1948289,50000,11839541770,3200685520,14661977290,378250000,7527.894835562541,7525.565914502417,7521.59179194093,7565.0,-375533.0
9,2022-08-28,127,2,146,1,3341382,500000,3741382,100000,24772124510,3682500000,27698624510,756000000,7413.736145702586,7403.313671258375,7365.0,7560.0,-400000.0
10,2022-08-27,121,1,142,2,2026693,80000,2011698,94995,15382416860,591300000,15248355460,725361400,7589.909700186461,7579.843226965479,7391.25,7635.785041317964,14995.0
11,2022-08-24,85,0,183,4,3495825,0,3189623,306202,26009940560,0,23743306470,2266634090,7440.286787811175,7443.92251686171,,7402.414386581407,306202.0
12,2022-08-23,123,2,165,2,4759842,975437,5135279,600000,33988793740,6991959660,36692943110,4287810290,7140.739911114697,7145.26768847418,7168.027930045713,7146.350483333334,-375437.0
13,2022-08-22,107,1,86,1,2140810,119615,2220425,40000,14877394330,823782000,15419176330,282000000,6949.423036140526,6944.24550705383,6886.945617188479,7050.0,-79615.0
14,2022-08-21,79,2,64,0,792831,60000,852831,0,5479745190,412533540,5892278730,0,6911.618226330706,6909.081318573082,6875.559,,-60000.0
15,2022-08-20,93,1,83,0,1724740,60000,1784740,0,11905091590,413400000,12318491590,0,6902.542754270209,6902.12108766543,6890.0,,-60000.0
16,2022-08-17,78,2,95,2,1523172,120000,1602258,40914,10753564380,841350000,11303988960,290925420,7059.980343651275,7055.036679486076,7011.25,7110.656987828127,-79086.0
17,2022-08-16,105,2,138,1,1989853,904982,2892477,2358,13934542740,6311130630,20228751770,16921600,7002.800076186532,6993.573940259507,6973.76371021744,7176.251060220526,-902624.0
18,2022-08-15,115,1,115,1,1869955,1047,1835466,35536,13234587120,7234770,12989518050,252303840,7077.489629429585,7076.959229972116,6910.0,7099.950472760018,34489.0
19,2022-08-14,119,1,84,0,2488811,153500,2642311,0,17298860170,1076140000,18375000170,0,6950.652407916873,6954.13983062554,7010.684039087948,,-153500.0
20,2022-08-13,70,0,124,2,2118668,0,2005099,113569,15135696600,0,14326270840,809425760,7143.968096936377,7144.919447867662,,7127.171675369159,113569.0
