,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2018-12-18,2,1,0,1,2900000,2696024,0,5596024,5800000000,5392048000,0,11192048000,2000.0,,2000.0,2000.0,2900000.0
1,2018-09-08,31,0,32,0,824218,0,824218,0,706081285,0,706081285,0,856.6681205700434,856.6681205700434,,,0.0
2,2018-09-05,13,0,9,0,308301,0,308301,0,276686460,0,276686460,0,897.4556034524702,897.4556034524702,,,0.0
3,2018-09-04,3,0,3,0,22790,0,22790,0,22709420,0,22709420,0,996.4642387011847,996.4642387011847,,,0.0
4,2018-09-03,8,0,6,0,33622,0,33622,0,33127680,0,33127680,0,985.2977217298197,985.2977217298197,,,0.0
5,2018-09-02,3,0,2,0,18936,0,18936,0,17709840,0,17709840,0,935.2471482889733,935.2471482889733,,,0.0
6,2018-09-01,5,0,21,0,38390,0,38390,0,36118150,0,36118150,0,940.8218286011983,940.8218286011983,,,0.0
7,2018-08-29,12,0,7,0,82967,0,82967,0,80856130,0,80856130,0,974.5577157182977,974.5577157182977,,,0.0
8,2018-08-28,13,0,9,0,103677,0,103677,0,110907502,0,110907502,0,1069.7406560760824,1069.7406560760824,,,0.0
9,2018-08-27,6,0,5,0,33825,0,33825,0,37598309,0,37598309,0,1111.5538507021433,1111.5538507021433,,,0.0
10,2018-08-26,18,0,18,0,144774,0,144774,0,169781707,0,169781707,0,1172.736175003799,1172.736175003799,,,0.0
11,2018-08-25,6,0,13,0,100144,0,100144,0,107107762,0,107107762,0,1069.537486020131,1069.537486020131,,,0.0
12,2018-08-21,9,0,16,0,253505,0,253505,0,249920825,0,249920825,0,985.8615214690045,985.8615214690045,,,0.0
13,2018-08-20,7,0,6,0,40668,0,40668,0,38143544,0,38143544,0,937.925248352513,937.925248352513,,,0.0
14,2018-08-19,3,0,2,0,1970,0,1970,0,1985010,0,1985010,0,1007.6192893401015,1007.6192893401015,,,0.0
15,2018-08-18,7,0,7,0,25762,0,25762,0,25739830,0,25739830,0,999.1394301684652,999.1394301684652,,,0.0
16,2018-08-15,3,0,6,0,12645,0,12645,0,12522206,0,12522206,0,990.289126136813,990.289126136813,,,0.0
17,2018-08-14,6,0,10,0,85619,0,85619,0,80614860,0,80614860,0,941.5533935224659,941.5533935224659,,,0.0
18,2018-08-13,12,0,11,0,114519,0,114519,0,108087680,0,108087680,0,943.8405854050419,943.8405854050419,,,0.0
19,2018-08-12,14,0,12,0,180451,0,180451,0,177341968,0,177341968,0,982.7707687959612,982.7707687959612,,,0.0
20,2018-08-11,14,0,8,0,160772,0,160772,0,164005408,0,164005408,0,1020.1117607543603,1020.1117607543603,,,0.0
21,2018-08-08,17,0,14,0,182462,0,182462,0,199168716,0,199168716,0,1091.5627144282098,1091.5627144282098,,,0.0
22,2018-08-07,16,0,10,0,256819,0,256819,0,308895446,0,308895446,0,1202.7748959383846,1202.7748959383846,,,0.0
23,2018-08-06,14,0,4,0,153315,0,153315,0,204677765,0,204677765,0,1335.014610442553,1335.014610442553,,,0.0
24,2018-08-05,8,0,6,0,65140,0,65140,0,96121664,0,96121664,0,1475.6165796745472,1475.6165796745472,,,0.0
25,2018-08-04,19,0,9,0,205079,0,205079,0,282230242,0,282230242,0,1376.2025463358023,1376.2025463358023,,,0.0
26,2018-08-01,18,0,12,0,333222,0,333222,0,506753751,0,506753751,0,1520.7691899094298,1520.7691899094298,,,0.0
