,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,50,3,84,0,963555,75250,1038805,0,20866806820,1628074850,22494881670,0,21656.061999574493,21654.57585398607,21635.546179401994,,-75250.0
1,2022-09-07,85,0,63,1,942956,0,869956,73000,20460620530,0,18861190530,1599430000,21698.383095287583,21680.62583624919,,21910.0,73000.0
2,2022-09-06,114,1,107,1,550820,6666,543631,13855,11595581700,138786120,11442550320,291817500,21051.48996042264,21048.377152884954,20820.0,21062.25189462288,7189.0
3,2022-09-05,138,2,76,1,517502,112450,439952,190000,11120004760,2429620000,9447801290,4101823470,21487.848858555135,21474.618344728515,21606.224988883947,21588.544578947367,77550.0
4,2022-09-04,44,0,40,1,87140,0,51784,35356,1922847780,0,1142514600,780333180,22066.18980950195,22063.081260621042,,22070.742731078175,35356.0
5,2022-09-03,52,3,77,1,520875,90225,539800,71300,11725191710,2049092640,12187146350,1587138000,22510.567237820975,22577.151444979623,22710.918703241896,22260.0,-18925.0
6,2022-08-31,57,2,82,2,314658,34031,253998,94691,7031056430,762645800,5640671050,2153031180,22345.07443001608,22207.54120111182,22410.325879345302,22737.442629183344,60660.0
7,2022-08-30,67,2,72,1,597457,92690,630147,60000,13252955710,2051348500,13989359430,1314944780,22182.275393877717,22200.15239301306,22131.281691660373,21915.746333333333,-32690.0
8,2022-08-29,95,0,83,0,449595,0,449595,0,9744866560,0,9744866560,0,21674.766311902935,21674.766311902935,,,0.0
9,2022-08-28,62,1,61,0,251732,10000,261732,0,5510784890,215600000,5726384890,0,21891.475418302005,21878.810730059755,21560.0,,-10000.0
10,2022-08-27,67,1,70,1,574195,4400,578350,245,12934203550,99532000,13028252450,5483100,22525.80316791334,22526.588484481716,22620.909090909092,22380.0,-4155.0
11,2022-08-24,100,0,94,1,631538,0,616313,15225,14144263670,0,13802701170,341562500,22396.536186262743,22395.602834923164,,22434.31855500821,15225.0
12,2022-08-23,83,2,99,0,389033,11666,400699,0,8625419610,258072830,8883492440,0,22171.434325622762,22169.989044145357,22121.792388136466,,-11666.0
13,2022-08-22,176,1,158,1,1594783,36666,1472356,159093,35494640090,841757500,32793015750,3543381840,22256.72087675878,22272.47741035456,22957.44013527519,22272.393128547454,122427.0
14,2022-08-21,168,3,136,0,916869,261566,1178435,0,20078872040,5719698680,25798570720,0,21899.39025095188,21892.230560022403,21867.133648868738,,-261566.0
15,2022-08-20,138,2,105,0,615814,416666,1032480,0,14083798330,9522618100,23606416430,0,22870.214594017023,22863.800199519603,22854.32000691201,,-416666.0
16,2022-08-17,101,0,88,1,805226,0,775226,30000,19363084930,0,18643084930,720000000,24046.77063333772,24048.580581662638,,24000.0,30000.0
17,2022-08-16,126,1,169,1,1925073,35922,1840073,120922,44758432330,795672300,42754897870,2799206760,23250.25198005478,23235.435697388093,22150.0,23148.86257256744,85000.0
18,2022-08-15,125,1,132,0,887096,10000,897096,0,19994601870,226263440,20220865310,0,22539.38905146681,22540.358345149238,22626.344,,-10000.0
19,2022-08-14,108,2,114,0,843498,13861,857359,0,18572456700,300752090,18873208790,0,22018.3766885043,22013.19259493398,21697.71950075752,,-13861.0
20,2022-08-13,137,0,120,2,1126309,0,982235,144074,23844856990,0,20789047450,3055809540,21170.795039371966,21165.04446491929,,21210.0,144074.0
21,2022-08-10,93,0,143,1,1289642,0,1069642,220000,26053145950,0,21606373310,4446772640,20201.843573642916,20199.630633426885,,20212.60290909091,220000.0
22,2022-08-09,74,1,90,1,794049,92450,878308,8191,15948705930,1802775000,17587613980,163866950,20085.29187745341,20024.426488202316,19500.0,20005.731900866806,-84259.0
23,2022-08-06,48,0,46,0,537116,0,537116,0,10707503230,0,10707503230,0,19935.178304127974,19935.178304127974,,,0.0
24,2022-08-03,44,0,48,0,524899,0,524899,0,10169608450,0,10169608450,0,19374.41002935803,19374.41002935803,,,0.0
25,2022-08-02,41,0,73,0,573157,0,573157,0,10836045620,0,10836045620,0,18905.894231423503,18905.894231423503,,,0.0
26,2022-08-01,53,0,74,0,495602,0,495602,0,9132698190,0,9132698190,0,18427.48453396072,18427.48453396072,,,0.0
27,2022-07-31,50,1,85,0,403363,35000,438363,0,7055019100,625405000,7680424100,0,17490.49640150435,17520.694264798807,17868.714285714286,,-35000.0
28,2022-07-30,48,1,71,0,525689,3000,528689,0,9558824730,54674000,9613498730,0,18183.4216238118,18183.65566523987,18224.666666666668,,-3000.0
29,2022-07-27,47,0,79,0,346909,0,346909,0,6270048160,0,6270048160,0,18074.042933449407,18074.042933449407,,,0.0
30,2022-07-26,56,1,96,0,596607,300000,896607,0,10605455530,5295000000,15900455530,0,17776.284103270664,17734.030104605474,17650.0,,-300000.0
31,2022-07-25,5,0,3,0,0,0,0,0,0,0,0,0,,,,,0.0
