,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,75,4,80,1,688888,570569,1174457,85000,3554125080,2969292620,6078442700,444975000,5159.220482865139,5175.534481041026,5204.090337890772,5235.0,-485569.0
1,2022-09-07,143,3,141,1,2363248,554133,2876653,40728,12386959250,2908171700,15079679830,215451120,5241.497824180958,5242.092052812765,5248.14746640247,5290.0,-513405.0
2,2022-09-06,132,4,81,0,1825637,219587,2045224,0,9509744390,1157134330,10666878720,0,5209.000688526799,5215.50633084689,5269.59396503436,,-219587.0
3,2022-09-05,94,3,98,0,1639507,173586,1813093,0,8763785060,921875120,9685660180,0,5345.378250901033,5342.064736888841,5310.7688408051345,,-173586.0
4,2022-09-04,160,5,106,1,2425346,357705,2783050,1,12930255660,1914601420,14844851770,5310,5331.303517106425,5334.022662187169,5352.459205210998,5310.0,-357704.0
5,2022-09-03,182,3,167,1,4473475,174778,4564213,84040,24289356490,952168820,24785613110,455912200,5429.63948384645,5430.424283441636,5447.875705180286,5424.94288434079,-90738.0
6,2022-08-31,364,3,321,1,8956917,189514,9061431,85000,49528428880,1013342150,50075971030,465800000,5529.629098941075,5526.276261442591,5347.0569456610065,5480.0,-104514.0
7,2022-08-30,165,3,155,0,3388602,212669,3601271,0,18116873890,1129712530,19246586420,0,5346.415391952198,5344.387139984744,5312.0696011172295,,-212669.0
8,2022-08-29,141,2,157,1,4060602,153500,4201602,12500,21410693690,797485000,22143553690,64625000,5272.788047191032,5270.2644586517235,5195.342019543974,5170.0,-141000.0
9,2022-08-28,165,4,113,1,2861891,621912,3440383,43420,15005460430,3271380630,18041642660,235198400,5243.197742331906,5244.079702754025,5260.1985972291895,5416.821741133118,-578492.0
10,2022-08-27,179,3,167,1,3020358,906509,3812617,114250,16334342770,4982752560,20693958830,623136500,5408.081681045757,5427.757057685049,5496.638819912433,5454.1487964989055,-792259.0
