,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2017-05-01,3,0,0,1,4717064,0,0,4717064,5289623600,0,0,5289623600,1121.380502787327,,,1121.380502787327,4717064.0
1,2017-04-30,0,1,0,1,0,34900000,0,34900000,0,37692000000,0,37692000000,,,1080.0,1080.0,0.0
2,2017-04-29,0,1,0,1,0,25000000,0,25000000,0,26500000000,0,26500000000,,,1060.0,1060.0,0.0
3,2017-04-26,2,0,0,1,1000000,0,0,1000000,1060000000,0,0,1060000000,1060.0,,,1060.0,1000000.0
4,2017-04-24,0,1,0,1,0,34000000,0,34000000,0,36720000000,0,36720000000,,,1080.0,1080.0,0.0
5,2017-04-23,0,1,0,1,0,34000000,0,34000000,0,35700000000,0,35700000000,,,1050.0,1050.0,0.0
6,2017-01-11,15,0,16,1,528793,0,527437,1356,347918645,0,347039957,878688,657.9486585488083,657.9742357855062,,648.0,1356.0
7,2017-01-09,5,0,7,0,111238,0,111238,0,80142857,0,80142857,0,720.4629443175893,720.4629443175893,,,0.0
8,2017-01-07,4,0,7,0,89524,0,89524,0,71301357,0,71301357,0,796.4496336178008,796.4496336178008,,,0.0
9,2017-01-04,3,1,5,0,54439,1154643,1209082,0,43480900,922036757,965517657,0,798.7086463748416,798.5543222047802,798.5470461432668,,-1154643.0
10,2017-01-03,8,0,8,0,142004,0,142004,0,106823180,0,106823180,0,752.2547252190079,752.2547252190079,,,0.0
11,2017-01-02,4,0,8,0,40380,0,40380,0,30336268,0,30336268,0,751.2696384348687,751.2696384348687,,,0.0
12,2017-01-01,5,0,4,1,42122,0,39622,2500,30077561,0,28277561,1800000,714.0582356013484,713.6833324920499,,720.0,2500.0
13,2016-12-28,19,1,5,0,187043,2500,189543,0,144902702,1935000,146837702,0,774.702619183824,774.6933519043172,774.0,,-2500.0
14,2016-12-27,12,0,4,0,125724,0,125724,0,107838075,0,107838075,0,857.7365896726162,857.7365896726162,,,0.0
15,2016-12-26,11,0,9,0,61141,0,61141,0,58045629,0,58045629,0,949.3732356356618,949.3732356356618,,,0.0
16,2016-12-25,1,0,1,0,1000,0,1000,0,1016000,0,1016000,0,1016.0,1016.0,,,0.0
17,2016-12-24,3,0,2,0,3461,0,3461,0,3541722,0,3541722,0,1023.323316960416,1023.323316960416,,,0.0
18,2016-12-21,5,0,4,0,48557,0,48557,0,50985357,0,50985357,0,1050.0104413369854,1050.0104413369854,,,0.0
19,2016-12-20,4,1,10,0,28850,15730562,15759412,0,29124450,15950784868,15979909318,0,1009.5129982668977,1013.9914685903256,1013.9996821474019,,-15730562.0
20,2016-12-19,5,1,13,0,52218,3412596,3464814,0,52556689,3460372260,3512928949,0,1006.4860584472788,1013.8867336024387,1013.9999753853078,,-3412596.0
21,2016-12-18,11,0,7,0,51942,0,51942,0,52660950,0,52660950,0,1013.8414000231027,1013.8414000231027,,,0.0
22,2016-12-14,10,0,10,0,107773,0,107773,0,119301381,0,119301381,0,1106.9691017230662,1106.9691017230662,,,0.0
23,2016-12-13,5,0,4,0,49969,0,49969,0,60721333,0,60721333,0,1215.1800716444195,1215.1800716444195,,,0.0
24,2016-12-12,4,0,6,0,262000,0,262000,0,327768000,0,327768000,0,1251.0229007633588,1251.0229007633588,,,0.0
25,2016-12-11,6,0,9,0,48922,0,48922,0,61231360,0,61231360,0,1251.6119537222517,1251.6119537222517,,,0.0
26,2016-12-10,8,0,10,0,42347,0,42347,0,51384495,0,51384495,0,1213.4152360261648,1213.4152360261648,,,0.0
27,2016-12-07,5,0,12,0,84196,0,84196,0,109519088,0,109519088,0,1300.7635517126705,1300.7635517126705,,,0.0
28,2016-12-06,13,0,7,0,125506,0,125506,0,159702990,0,159702990,0,1272.4729495004224,1272.4729495004224,,,0.0
29,2016-12-05,12,0,15,0,80532,0,80532,0,109541563,0,109541563,0,1360.2240475835692,1360.2240475835692,,,0.0
30,2016-12-04,19,0,13,0,284125,0,284125,0,421643162,0,421643162,0,1484.0058495380554,1484.0058495380554,,,0.0
31,2016-12-03,27,0,22,1,714457,0,451200,263257,1167595657,0,733271607,434324050,1634.242028561551,1625.1587034574468,,1649.810071527063,263257.0
32,2012-11-11,1,0,0,1,27743,0,0,27743,41614500,0,0,41614500,1500.0,,,1500.0,27743.0
33,2012-08-27,4,0,2,0,15732,0,15732,0,12154670,0,12154670,0,772.6080600050851,772.6080600050851,,,0.0
34,2012-08-26,1,0,1,0,3000,0,3000,0,2184500,0,2184500,0,728.1666666666666,728.1666666666666,,,0.0
35,2012-08-25,1,0,1,0,500,0,500,0,352500,0,352500,0,705.0,705.0,,,0.0
36,2012-08-21,2,0,2,0,105,0,105,0,68590,0,68590,0,653.2380952380952,653.2380952380952,,,0.0
37,2012-08-15,2,0,2,0,4810,0,4810,0,2914860,0,2914860,0,606.0,606.0,,,0.0
38,2012-08-12,1,0,1,0,15,0,15,0,8430,0,8430,0,562.0,562.0,,,0.0
39,2012-08-11,3,0,1,0,545,0,545,0,332450,0,332450,0,610.0,610.0,,,0.0
40,2012-08-08,1,0,1,0,165,0,165,0,109395,0,109395,0,663.0,663.0,,,0.0
41,2012-08-07,1,0,1,0,10,0,10,0,7200,0,7200,0,720.0,720.0,,,0.0
42,2012-08-06,1,0,1,0,10,0,10,0,6860,0,6860,0,686.0,686.0,,,0.0
43,2012-08-05,2,0,2,0,6501,0,6501,0,4134636,0,4134636,0,636.0,636.0,,,0.0
44,2012-08-04,1,0,1,0,10,0,10,0,6910,0,6910,0,691.0,691.0,,,0.0
45,2012-08-01,2,0,3,0,6919,0,6919,0,4429160,0,4429160,0,640.1445295562943,640.1445295562943,,,0.0
46,2012-07-31,2,0,3,0,5012,0,5012,0,3478382,0,3478382,0,694.0107741420591,694.0107741420591,,,0.0
47,2012-07-29,2,0,1,0,417,0,417,0,314418,0,314418,0,754.0,754.0,,,0.0
