,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,21,3,34,2,179990,1077550,244207,1013333,1994433470,12067362500,2713392330,11348403640,11080.801544530252,11111.03420458873,11198.888682659737,11199.086223383627,-64217.0
1,2022-09-07,47,1,50,0,702960,5850,708810,0,7895791610,65875000,7961666610,0,11232.206114145898,11232.441147839336,11260.68376068376,,-5850.0
2,2022-09-06,28,2,42,0,247840,16262,264102,0,2787890520,183314880,2971205400,0,11248.751291155584,11250.219233477974,11272.591317181159,,-16262.0
3,2022-09-05,34,2,41,1,495234,31000,493713,32521,5574363400,350670000,5556886090,368147310,11256.019174773945,11255.296275366458,11311.935483870968,11320.294886381107,1521.0
4,2022-09-04,33,1,37,1,277281,17550,294321,510,3125551650,198416500,3318159250,5808900,11272.145044197043,11273.946643290828,11305.783475783475,11390.0,-17040.0
5,2022-09-03,40,4,52,0,328209,241994,570203,0,3673038760,2707264870,6380303630,0,11191.157951183544,11189.530097175919,11187.322288982372,,-241994.0
6,2022-08-31,40,2,43,1,255703,79198,302903,31998,2894156500,905816560,3438898570,361074490,11318.429975401148,11353.134732901291,11437.366600166672,11284.283080192512,-47200.0
7,2022-08-30,88,2,62,1,780168,36630,814548,2250,8899560510,419157600,9292055610,26662500,11407.236018396037,11407.62190810118,11443.013923013923,11850.0,-34380.0
8,2022-08-29,52,1,81,2,512690,4625,489715,27600,5907815050,53237500,5637022550,324030000,11523.171994772669,11510.822723420764,11510.81081081081,11740.217391304348,22975.0
9,2022-08-28,41,2,72,1,487110,446463,814572,119001,5631279050,5132526280,9396843630,1366961700,11560.590113116134,11535.927615975015,11495.972297816392,11486.976580028739,-327462.0
