,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,10,2,30,1,127755,630416,140921,617250,1439597410,7178006760,1587126670,7030477500,11268.423231967437,11262.527728301673,11386.143054744804,11390.0,-13166.0
1,2022-09-07,20,1,51,0,565555,41399,606954,0,6506180470,487859040,6994039510,0,11504.063212242841,11523.17887352254,11784.319428005507,,-41399.0
2,2022-09-06,7,0,26,0,62381,0,62381,0,734778370,0,734778370,0,11778.880909251215,11778.880909251215,,,0.0
3,2022-09-05,13,0,44,0,186734,0,186734,0,2206379480,0,2206379480,0,11815.628005612261,11815.628005612261,,,0.0
4,2022-09-04,12,0,29,0,129417,0,129417,0,1536612150,0,1536612150,0,11873.340828484666,11873.340828484666,,,0.0
5,2022-09-03,16,0,44,0,148621,0,148621,0,1776036210,0,1776036210,0,11950.102677279792,11950.102677279792,,,0.0
6,2022-08-31,19,0,52,0,240147,0,240147,0,2882560040,0,2882560040,0,12003.314803016487,12003.314803016487,,,0.0
7,2022-08-30,25,2,36,1,629560,129716,350690,408586,7453453060,1535837440,4151718120,4837572380,11839.146483258148,11838.712595169523,11840.0,11839.789860641335,278870.0
8,2022-08-29,10,0,36,1,148782,0,109282,39500,1710819180,0,1252619180,458200000,11498.831713513731,11462.264416829854,,11600.0,39500.0
9,2022-08-28,9,1,59,0,405622,7648,413270,0,4572524310,86269440,4658793750,0,11272.870579011986,11273.002516514627,11280.0,,-7648.0
10,2022-08-27,35,2,131,2,805779,128696,811624,122851,8822575330,1417959200,8916199010,1324335520,10949.125417763431,10985.627593565494,11017.896438117736,10780.014163498872,-5845.0
11,2022-08-24,42,0,108,1,645628,0,632730,12898,6949765610,0,6810448210,139317400,10764.349764880086,10763.593017558833,,10801.473096604124,12898.0
12,2022-08-23,34,0,148,0,660059,0,660059,0,7211865810,0,7211865810,0,10926.092682623826,10926.092682623826,,,0.0
13,2022-08-22,2,0,45,0,118602,0,118602,0,1288017720,0,1288017720,0,10860.0,10860.0,,,0.0
14,2022-08-21,4,0,99,0,370920,0,370920,0,3913206000,0,3913206000,0,10550.0,10550.0,,,0.0
15,2022-08-20,7,1,43,1,57897,99322,156789,430,586123590,1025003040,1606818030,4308600,10123.557179128453,10248.282915255535,10320.0,10020.0,-98892.0
16,2021-05-11,67,0,0,1,1679960,0,0,1679960,42357701000,0,0,42357701000,25213.517583751993,,,25213.517583751993,1679960.0
17,2021-05-10,51,0,0,1,317139,0,0,317139,8189924210,0,0,8189924210,25824.399427380424,,,25824.399427380424,317139.0
18,2021-05-05,35,1,0,1,308137,365000,0,673137,8149453142,9653155000,0,17802608142,26447.499462901244,,26447.0,26447.228635478365,308137.0
19,2021-05-03,19,0,0,1,98822,0,0,98822,2722301512,0,0,2722301512,27547.524964076823,,,27547.524964076823,98822.0
20,2021-05-02,15,0,0,1,96062,0,0,96062,2756278130,0,0,2756278130,28692.699818866982,,,28692.699818866982,96062.0
21,2021-05-01,13,0,0,1,160461,0,0,160461,4790083772,0,0,4790083772,29852.012464087846,,,29852.012464087846,160461.0
22,2021-04-28,10,1,0,1,18258,35000,0,53258,582387688,1073660000,0,1656047688,31897.671596012708,,30676.0,31094.815577002515,18258.0
23,2021-04-27,4,1,0,1,1408,3000,0,4408,45235604,95619000,0,140854604,32127.559659090908,,31873.0,31954.311252268602,1408.0
24,2021-04-26,3,1,0,1,775,3000,0,3775,25916990,99417000,0,125333990,33441.27741935484,,33139.0,33201.056953642386,775.0
25,2021-04-25,1,0,0,1,530,0,0,530,18295070,0,0,18295070,34519.0,,,34519.0,530.0
26,2021-04-24,2,0,0,1,706,0,0,706,24370414,0,0,24370414,34519.0,,,34519.0,706.0
27,2021-04-21,0,1,0,1,0,1000,0,1000,0,35957000,0,35957000,,,35957.0,35957.0,0.0
28,2021-04-20,2,1,0,1,500,1000,0,1500,18743000,37440000,0,56183000,37486.0,,37440.0,37455.333333333336,500.0
29,2021-04-19,1,1,0,1,0,0,0,0,0,0,0,0,,,,,0.0
30,2021-04-18,2,0,0,1,0,0,0,0,0,0,0,0,,,,,0.0
31,2021-04-17,2,0,0,1,0,0,0,0,0,0,0,0,,,,,0.0
32,2021-04-14,4,1,0,1,0,0,0,0,0,0,0,0,,,,,0.0
33,2021-04-13,1,1,0,1,241,35000,0,35241,9399000,1365000000,0,1374399000,39000.0,,39000.0,39000.0,241.0
34,2021-04-12,0,1,0,1,0,0,0,0,0,0,0,0,,,,,0.0
35,2021-04-11,1,0,0,1,0,0,0,0,0,0,0,0,,,,,0.0
36,2021-02-21,33,1,63,0,161974,261426,423400,0,5896480177,9513030714,15409510891,0,36403.86838011039,36394.687980632974,36389.0,,-261426.0
37,2021-02-20,28,1,96,2,48012,884901,707913,225000,1748570260,32891249703,26290027575,8349792388,36419.44222277764,37137.37079980167,37169.41183590029,37110.188391111114,-659901.0
38,2021-02-17,33,1,93,0,71352,115099,186451,0,2577256193,4163648962,6740905155,0,36120.307671824194,36153.76240942661,36174.50162034423,,-115099.0
39,2021-02-16,35,0,62,0,76559,0,76559,0,2737282956,0,2737282956,0,35753.90164448334,35753.90164448334,,,0.0
40,2021-02-15,70,0,60,2,1341544,0,535464,806080,47198793383,0,18812686183,28386107200,35182.44156211052,35133.4285460834,,35215.0,806080.0
41,2021-02-14,23,0,20,0,76186,0,76186,0,2604805256,0,2604805256,0,34190.07765206206,34190.07765206206,,,0.0
42,2021-02-13,50,0,35,0,183022,0,183022,0,6383906191,0,6383906191,0,34880.53999519184,34880.53999519184,,,0.0
43,2021-02-09,31,0,22,0,142050,0,142050,0,5027040061,0,5027040061,0,35389.22957409363,35389.22957409363,,,0.0
44,2021-02-08,30,0,30,0,46446,0,46446,0,1643728381,0,1643728381,0,35390.095616414765,35390.095616414765,,,0.0
45,2021-02-07,29,0,27,0,77474,0,77474,0,2808563231,0,2808563231,0,36251.68741771433,36251.68741771433,,,0.0
46,2021-02-06,18,0,29,0,64823,0,64823,0,2357113247,0,2357113247,0,36362.29805778813,36362.29805778813,,,0.0
47,2021-02-01,17,0,11,0,53953,0,53953,0,1945757590,0,1945757590,0,36063.9369451189,36063.9369451189,,,0.0
48,2021-01-31,12,0,9,0,46547,0,46547,0,1728715014,0,1728715014,0,37139.12849378048,37139.12849378048,,,0.0
49,2021-01-30,18,0,30,0,82506,0,82506,0,3158337542,0,3158337542,0,38280.09529003951,38280.09529003951,,,0.0
50,2021-01-27,34,0,29,0,169373,0,169373,0,6418194451,0,6418194451,0,37893.84642770689,37893.84642770689,,,0.0
51,2021-01-26,17,0,9,0,65720,0,65720,0,2552197732,0,2552197732,0,38834.41466828971,38834.41466828971,,,0.0
52,2021-01-25,14,0,19,0,123925,0,123925,0,4957917150,0,4957917150,0,40007.40084728666,40007.40084728666,,,0.0
53,2021-01-24,14,0,6,0,25617,0,25617,0,1056447594,0,1056447594,0,41240.09813795526,41240.09813795526,,,0.0
54,2021-01-23,25,0,27,0,50065,0,50065,0,2128503735,0,2128503735,0,42514.80545291121,42514.80545291121,,,0.0
55,2021-01-20,35,0,29,0,147830,0,147830,0,6477569169,0,6477569169,0,43817.69038084286,43817.69038084286,,,0.0
56,2021-01-19,16,0,40,0,24835,0,24835,0,1120899865,0,1120899865,0,45133.87819609422,45133.87819609422,,,0.0
57,2021-01-18,18,0,51,0,148626,0,148626,0,6546787844,0,6546787844,0,44048.738740193505,44048.738740193505,,,0.0
58,2021-01-16,20,0,73,0,74539,0,74539,0,3260771141,0,3260771141,0,43745.839640993305,43745.839640993305,,,0.0
59,2021-01-13,20,0,80,1,74416,0,66497,7919,3239380024,0,2892630771,346749253,43530.69264674264,43500.16949636826,,43787.0,7919.0
60,2021-01-12,29,0,51,0,55787,0,55787,0,2371636324,0,2371636324,0,42512.34739276175,42512.34739276175,,,0.0
61,2021-01-11,37,0,77,0,146688,0,146688,0,6413160931,0,6413160931,0,43719.73802219677,43719.73802219677,,,0.0
62,2021-01-10,68,1,115,0,212211,20928,233139,0,9513749918,935641120,10449391038,0,44831.558769338066,44820.433466730145,44707.62232415902,,-20928.0
63,2021-01-09,94,1,134,2,464320,100000,447714,116606,21350899352,4602322990,20623182952,5330039390,45983.15677119228,46063.296997636884,46023.2299,45709.82102121675,16606.0
64,2021-01-06,64,1,191,0,230757,5942,236699,0,10543091163,270361000,10813452163,0,45689.14989794459,45684.40155218231,45500.0,,-5942.0
65,2021-01-05,288,1,546,0,1015679,64860,1080539,0,47255197194,3060791980,50315989174,0,46525.720423480256,46565.639161566585,47190.7489978415,,-64860.0
66,2021-01-04,5,0,3,0,1145,0,1145,0,54544365,0,54544365,0,47637.0,47637.0,,,0.0
67,2021-01-03,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0
68,2021-01-02,2,0,2,0,302,0,302,0,14831220,0,14831220,0,49110.0,49110.0,,,0.0
69,2020-12-30,6,0,3,0,0,0,0,0,0,0,0,0,,,,,0.0
70,2020-12-29,24,0,30,0,38609,0,38609,0,1954696452,0,1954696452,0,50628.0,50628.0,,,0.0
71,2020-12-28,6,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0
72,2020-12-27,10,0,7,0,3696,0,3696,0,192905328,0,192905328,0,52193.0,52193.0,,,0.0
73,2020-12-26,51,0,88,0,76017,0,76017,0,4090213490,0,4090213490,0,53806.56287409395,53806.56287409395,,,0.0
74,2019-10-22,6,1,0,1,102523,107882,0,210405,5844546000,6149274000,0,11993820000,57007.169123026055,,57000.0,57003.4932629928,102523.0
