,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,72,1,475,0,71668,15000,86668,0,3510487700,735267850,4245755550,0,48982.637997432605,48988.73344256242,49017.85666666667,,-15000.0
1,2022-09-07,52,2,545,2,32725,14516,47229,12,1626541250,723153800,2349095050,600000,49703.323147440795,49738.4033115247,49817.70460181868,50000.0,-14504.0
2,2022-09-06,61,1,611,2,94730,29435,108337,15828,4709610250,1461044500,5387489150,783165600,49716.143249234665,49728.98594201427,49636.30032274503,49479.757391963605,-13607.0
3,2022-09-05,71,1,579,1,83716,10883,94593,6,4201879800,546135100,4747711900,303000,50192.075588895794,50190.94330447285,50182.40374896628,50500.0,-10877.0
4,2022-09-04,105,1,639,1,151010,15000,166005,5,7453008650,733497000,8186260650,245000,49354.40467518707,49313.33785126954,48899.8,49000.0,-14995.0
5,2022-09-03,51,1,650,1,37976,7300,42736,2540,1908965350,367700500,2147887850,128778000,50267.67827048662,50259.449878322725,50369.931506849316,50700.0,-4760.0
6,2022-08-31,53,2,615,2,139476,2521,135991,6006,7049854950,124580850,6868430400,306005400,50545.29058762798,50506.507048260544,49417.235224117416,50949.95004995005,3485.0
7,2022-08-30,135,1,499,0,157422,12000,169422,0,7798247400,596698800,8394946200,0,49537.214620574,49550.50819846301,49724.9,,-12000.0
8,2022-08-29,51,2,595,0,41425,14452,55877,0,2089613550,735531100,2825144650,0,50443.29631864816,50560.0631744725,50894.7619706615,,-14452.0
9,2022-08-28,40,2,547,2,44892,11299,56179,12,2270991300,570823250,2841204650,609900,50587.88425554665,50574.14069314156,50519.80263740154,50825.0,-11287.0
10,2022-08-24,68,0,632,1,94664,0,94658,6,4837288600,0,4836986800,301800,51099.55843826586,51099.60911914471,,50300.0,6.0
11,2022-08-23,55,1,570,0,59280,2898,62178,0,2995178300,144755100,3139933400,0,50525.949730094464,50499.10579304577,49950.0,,-2898.0
12,2022-08-22,61,3,508,1,51103,44000,95097,6,2559100750,2194345750,4753148900,297600,50077.30955129836,49982.11194885222,49871.494318181816,49600.0,-43994.0
13,2022-08-21,112,3,602,1,197713,28000,225708,5,9819222700,1423059000,11242029450,252250,49664.02158684558,49807.84664256473,50823.53571428572,50450.0,-27995.0
14,2022-08-20,97,2,656,0,130369,18600,148969,0,6586328500,936175250,7522503750,0,50520.66442175671,50497.10845880686,50332.00268817204,,-18600.0
15,2022-08-17,92,1,591,2,107449,51761,159198,12,5357116200,2635374650,7991890250,600600,49857.29229681058,50200.94630585812,50914.29164815208,50050.0,-51749.0
16,2022-08-16,87,2,554,0,72008,20250,92258,0,3633870500,1019655850,4653526350,0,50464.81640928786,50440.3558498992,50353.375308641975,,-20250.0
17,2022-08-15,206,3,678,1,347766,67076,414836,6,17698487100,3434549100,21132726300,309900,50891.94199547972,50942.363488221854,51203.8448923609,51650.0,-67070.0
18,2022-08-14,53,1,580,0,59680,18000,77680,0,3162616400,941700000,4104316400,0,52992.90214477212,52836.20494335736,52316.666666666664,,-18000.0
19,2022-08-13,67,1,652,2,59049,12000,71037,12,3123657300,635075100,3758100300,632100,52899.41065894427,52903.420752565566,52922.925,52675.0,-11988.0
20,2022-08-10,33,1,523,1,35789,8437,44221,5,1876644900,441011400,2317393800,262500,52436.36033418089,52404.82576151602,52271.11532535261,52500.0,-8432.0
21,2022-08-09,42,2,541,3,28349,39896,68228,17,1507054200,2129151350,3635304600,900950,53160.75346573071,53281.71132086533,53367.539352316024,52997.05882352941,-39879.0
22,2022-08-06,59,1,664,1,88714,31000,119708,6,4690949350,1648617050,6339251100,315300,52877.216110196816,52955.95198315902,53181.19516129032,52550.0,-30994.0
23,2022-08-03,44,0,549,1,24849,0,24843,6,1302451300,0,1302138700,312600,52414.636403879435,52414.71239383327,,52100.0,6.0
24,2022-08-02,53,1,611,3,29539,15364,44885,18,1557966500,804145350,2361171950,939900,52742.69609668574,52604.92257992648,52339.58279093986,52216.666666666664,-15346.0
25,2022-08-01,43,1,519,0,56126,14376,70502,0,2923435350,744314400,3667749750,0,52087.00691301714,52023.34330940966,51774.79131886477,,-14376.0
26,2022-07-31,60,2,547,6,101773,24923,82651,44045,5285679600,1276168650,4255982900,2305865350,51935.971230090494,51493.42294709078,51204.45572362878,52352.488364173005,19122.0
27,2022-07-30,55,1,671,2,94834,11762,106585,11,5038175800,621057400,5658647050,586150,53126.2606238269,53090.46347985176,52802.02346539704,53286.36363636364,-11751.0
28,2022-07-27,58,2,668,2,93472,6594,100054,12,4970196700,347295900,5316850600,642000,53173.10745463882,53139.81050232874,52668.47133757962,53500.0,-6582.0
29,2022-07-26,53,1,625,1,123535,6473,130002,6,6642912000,352050350,6994642850,319500,53773.52167401951,53804.117244350084,54387.509655492046,53250.0,-6467.0
30,2022-07-25,136,1,721,10,341328,20000,262534,98794,18537527750,1093741100,14242187800,5389081050,54310.01192401444,54248.926996122405,54687.055,54548.6674291961,78794.0
31,2022-07-24,58,2,775,2,176257,10918,175169,12006,9279495700,558943400,9199735200,638703900,52647.530027176224,52519.19688986065,51194.66935336142,53198.72563718141,1088.0
32,2022-07-23,62,1,789,4,35571,14230,49778,23,1852144200,740598750,2591552200,1190750,52068.938179978075,52062.200168749245,52044.88756148981,51771.739130434784,-14207.0
33,2022-07-20,90,1,706,3,163881,22432,186297,16,8536368850,1162932000,9698462650,838200,52088.82573330648,52059.145611577216,51842.54636233951,52387.5,-22416.0
34,2022-07-19,62,1,812,1,117361,147,105508,12000,6189659450,7673400,5556816800,640516050,52740.343470147665,52667.25556355916,52200.0,53376.3375,11853.0
35,2022-07-17,75,0,900,3,158657,0,151442,7215,8367925000,0,7987039450,380885550,52742.23639675527,52739.92320492334,,52790.790020790024,7215.0
36,2022-07-16,57,1,956,1,166101,8209,174305,5,8434939150,418360450,8853047850,251750,50781.988970566104,50790.555922090585,50963.63138019247,50350.0,-8204.0
37,2022-07-13,78,1,787,0,103560,298,103858,0,5348455950,14929800,5363385750,0,51645.96320973349,51641.52737391438,50100.0,,-298.0
38,2022-07-12,138,3,804,3,118251,289927,407645,533,6136070900,15043146600,21151477050,27740450,51890.22418415066,51887.00229366238,51885.98026399749,52045.87242026266,-289394.0
39,2022-07-11,94,3,487,2,216281,320522,536792,11,11847936450,17438836700,29286174750,598400,54780.292536098874,54557.7705144637,54407.61226998459,54400.0,-320511.0
40,2022-07-09,128,1,744,4,561423,6000,567305,118,32159221900,339300000,32491818500,6703400,57281.6252629479,57273.985774847744,56550.0,56808.47457627119,-5882.0
41,2022-07-04,171,4,1028,3,725356,382000,788776,318580,41012124100,21621200000,44603811850,18029512250,56540.68360915192,56548.13514863535,56600.0,56593.358810973696,-63420.0
42,2022-07-03,12,0,1018,7,296597,0,141574,155023,16016238000,0,7644996000,8371242000,54000.0,54000.0,,54000.0,155023.0
43,2022-07-02,67,3,1183,1,353382,77585,354967,76000,18295258900,3878106150,18202665050,3970700000,51771.90377551771,51279.87967895607,49985.25681510601,52246.05263157895,-1585.0
44,2022-06-29,48,4,887,2,65137,64627,123758,6006,3244748000,3206787050,6146138650,305396400,49814.20697913628,49662.55635999289,49619.92742971204,50848.55144855145,-58621.0
45,2022-06-28,77,4,1022,0,51661,68468,120129,0,2573398200,3416773600,5990171800,0,49813.17047676197,49864.49400228088,49903.21902202489,,-68468.0
46,2022-06-27,61,3,960,1,60413,21380,81787,6,2973876000,1050741500,4024322600,294900,49225.76266697565,49204.917651949574,49146.000935453696,49150.0,-21374.0
47,2022-06-26,63,2,604,1,34002,47121,81117,6,1678783650,2329112400,4007597550,298500,49373.08540674078,49405.14996856393,49428.33131724709,49750.0,-47115.0
48,2022-06-25,92,3,1071,4,109354,13619,116955,6018,5590317550,700262200,5983962050,306617700,51121.29003054301,51164.6534992091,51418.033629488215,50950.099700897306,-7601.0
49,2022-06-22,120,4,839,4,95069,183514,277567,1016,4718889750,9105236900,13773582400,50544250,49636.471930913336,49622.55023111537,49616.034199025686,49748.27755905512,-182498.0
50,2022-06-21,70,4,965,1,61621,58336,119951,6,3110517300,2952795650,6063006950,306000,50478.20223625063,50545.69740977566,50617.040078167855,51000.0,-58330.0
51,2022-06-20,109,3,1298,5,123023,58872,165877,16018,6348659500,3031391100,8552766900,827283700,51605.46808320395,51560.89692965269,51491.21993477375,51647.12823074042,-42854.0
52,2022-06-19,52,1,287,2,46887,18669,65544,12,2460207900,987467300,3447049400,625800,52471.00262332843,52591.37983644575,52893.42225079008,52150.0,-18657.0
53,2022-06-14,166,2,1186,4,177638,99018,269165,7491,9891826900,5523285000,15002656700,412455200,55685.308886612096,55737.76939795293,55780.61564564019,55060.09878520892,-91527.0
54,2022-06-13,141,1,1177,1,305659,3027,308680,6,16987810700,164063400,17151540500,333600,55577.65581906634,55564.14571724764,54200.0,55600.0,-3021.0
55,2022-06-12,99,1,1120,5,167539,6000,162199,11340,9338874050,329597600,9031175650,637296000,55741.493323942486,55679.60129223978,54932.933333333334,56198.9417989418,5340.0
56,2022-06-11,84,2,969,3,91103,29654,114742,6015,4957499000,1608285250,6233764250,332020000,54416.418778744934,54328.530529361524,54235.01888446753,55198.66999168745,-23639.0
