,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-08-17,143,0,223,0,7695556,0,7695556,0,13876288008,0,13876288008,0,1803.1560043224947,1803.1560043224947,,,0.0
1,2022-08-16,85,0,123,0,10111434,0,10111434,0,19423083107,0,19423083107,0,1920.9029210891354,1920.9029210891354,,,0.0
2,2022-08-15,60,0,206,0,8327438,0,8327438,0,15444407295,0,15444407295,0,1854.640922574266,1854.640922574266,,,0.0
3,2022-08-14,48,0,122,0,2167684,0,2167684,0,3827168225,0,3827168225,0,1765.5563380086764,1765.5563380086764,,,0.0
4,2022-08-13,62,0,74,5,3135752,0,2576823,558929,5650932280,0,4633504424,1017427856,1802.0979592773917,1798.146176124631,,1820.3168130478111,558929.0
5,2022-08-10,56,0,59,2,1606994,0,1464752,142242,2985484501,0,2708587843,276896658,1857.8068748234282,1849.1784568309174,,1946.658919306534,142242.0
6,2022-08-09,37,0,138,0,2908677,0,2908677,0,5635368614,0,5635368614,0,1937.4336215399646,1937.4336215399646,,,0.0
7,2022-08-06,19,0,143,0,2092604,0,2092604,0,3767329779,0,3767329779,0,1800.3070714764954,1800.3070714764954,,,0.0
8,2022-08-03,19,0,65,1,2070330,0,1861391,208939,3426971043,0,3069685353,357285690,1655.2776818188404,1649.1351645086927,,1710.0,208939.0
9,2022-08-02,13,0,38,0,157562,0,157562,0,265092704,0,265092704,0,1682.4659752986126,1682.4659752986126,,,0.0
10,2022-08-01,55,0,62,0,4756660,0,4756660,0,7939063614,0,7939063614,0,1669.0416414038423,1669.0416414038423,,,0.0
11,2022-07-31,22,0,44,0,300836,0,300836,0,541363925,0,541363925,0,1799.5317216024678,1799.5317216024678,,,0.0
12,2022-07-30,17,0,65,0,363635,0,363635,0,694446150,0,694446150,0,1909.7340740027776,1909.7340740027776,,,0.0
