,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,26,1,58,0,235852,498776,734628,0,2267670274,4791479372,7059149646,0,9614.801969031427,9609.148638494586,9606.475395768843,,-498776.0
1,2022-09-07,18,1,22,0,128112,140453,268565,0,1200138083,1314292405,2514430488,0,9367.881876795303,9362.465280285964,9357.524616775718,,-140453.0
2,2022-09-06,30,1,21,1,219674,70492,190166,100000,2072923300,663194708,1796007008,940111000,9436.36160856542,9444.417025125416,9408.084718833343,9401.11,29508.0
3,2022-09-05,26,1,26,0,100048,129734,229782,0,948085144,1226302011,2174387155,0,9476.302814648969,9462.826309284452,9452.433525521452,,-129734.0
4,2022-09-04,34,0,38,0,267499,0,267499,0,2554152763,0,2554152763,0,9548.270322505878,9548.270322505878,,,0.0
5,2022-09-03,30,1,39,0,218961,37556,256517,0,2088233083,358497450,2446730533,0,9537.00925278931,9538.278293446438,9545.677122164234,,-37556.0
6,2022-08-31,23,1,29,0,167207,25698,192905,0,1582816870,242846100,1825662970,0,9466.211761469316,9464.052098183043,9450.0,,-25698.0
7,2022-08-30,20,1,27,0,113692,33048,146740,0,1073789311,312018540,1385807851,0,9444.721801006228,9443.967909227205,9441.37436456064,,-33048.0
8,2022-08-29,21,1,26,0,96045,69578,165623,0,909653652,658699237,1568352889,0,9471.119287833828,9469.414809537322,9467.061959239989,,-69578.0
9,2022-08-28,20,1,28,0,68308,57912,126220,0,648107769,548925840,1197033609,0,9488.021446975465,9483.70788306132,9478.619975134687,,-57912.0
10,2022-08-27,36,1,43,1,180213,149131,265750,63594,1728950352,1433430975,2554303617,608077710,9593.926919811556,9611.678709313264,9611.891390790646,9561.872346447779,-85537.0
11,2022-08-24,24,1,24,0,75458,67148,142606,0,706983943,628025590,1335009533,0,9369.237761403694,9361.524290703055,9352.856228033597,,-67148.0
12,2022-08-23,43,1,34,0,122300,252581,374881,0,1156303255,2377958616,3534261871,0,9454.646402289452,9427.690042973636,9414.63774393165,,-252581.0
13,2022-08-22,47,0,42,1,204869,0,190134,14735,1944792745,0,1805694345,139098400,9492.860047152082,9496.956593770708,,9440.0,14735.0
14,2022-08-21,32,1,87,1,567581,205636,659796,113421,5271364404,1880893840,6086037404,1066220840,9287.422242816443,9224.11988554038,9146.71477756813,9400.559332046094,-92215.0
15,2022-08-20,48,1,116,0,308767,287604,596371,0,2855478752,2673232610,5528711362,0,9248.004974624879,9270.5905585617,9294.838075965563,,-287604.0
16,2022-08-17,58,1,110,0,169924,866186,1036110,0,1614378610,8325129267,9939507877,0,9500.592088227679,9593.100999893833,9611.24893152279,,-866186.0
17,2022-08-16,90,2,108,0,552845,138225,691070,0,5348194111,1339795725,6687989836,0,9673.948594994981,9677.731396240612,9692.861096039067,,-138225.0
18,2022-08-15,69,1,107,1,318082,1496910,1110868,704124,3113480820,14969640160,11039736099,7043384881,9788.296162624732,9937.936909695842,10000.360850017703,10003.046169424704,-792786.0
19,2022-08-14,44,1,122,0,149332,822861,972193,0,1494001953,8231715917,9725717870,0,10004.566690327592,10003.896211966143,10003.774534216593,,-822861.0
20,2022-08-13,69,1,155,0,541321,1447008,1988329,0,5438239201,14657737916,20095977117,0,10046.237262179004,10106.967768915507,10129.686854530175,,-1447008.0
21,2022-08-10,41,1,79,0,159475,824533,984008,0,1614515541,8378073220,9992588761,0,10123.941313685531,10154.987318192536,10160.992003958605,,-824533.0
22,2022-08-09,18,1,53,0,170361,277815,448176,0,1743110499,2848259465,4591369964,0,10231.863507492912,10244.569017528827,10252.360257725464,,-277815.0
23,2022-08-06,42,1,86,0,213526,761345,974871,0,2178367971,7774655140,9953023111,0,10201.886285510898,10209.57963771617,10211.737307002739,,-761345.0
24,2022-08-03,29,1,57,0,220159,1569580,1789739,0,2258714072,16101368377,18360082449,0,10259.467348598058,10258.525097234848,10258.39293123001,,-1569580.0
25,2022-08-02,23,1,81,0,77938,329283,407221,0,800115857,3377791342,4177907199,0,10266.05580076471,10259.557338644127,10258.019217511988,,-329283.0
26,2022-08-01,18,1,70,1,60359,1302063,362422,1000000,618708221,13400522650,3720230871,10299000000,10250.471694362068,10264.914577481499,10291.762111357131,10299.0,-302063.0
27,2022-07-31,18,1,64,1,271290,174578,258801,187067,2789524760,1793389750,2659724410,1923190100,10282.445943455343,10277.10252278778,10272.713343032914,10280.755558168998,12489.0
28,2022-07-30,29,1,79,0,121730,226439,348169,0,1249915793,2325024082,3574939875,0,10267.935537665326,10267.829344370119,10267.772256545913,,-226439.0
29,2022-07-27,26,1,48,0,98743,169419,268162,0,1011342650,1734501843,2745844493,0,10242.170584243946,10239.498858898725,10237.941688948702,,-169419.0
30,2022-07-26,27,1,64,0,74513,85939,160452,0,762180941,878842211,1641023152,0,10228.831760900783,10227.502006830704,10226.349049907492,,-85939.0
31,2022-07-25,25,1,90,0,278362,213688,492050,0,2844353071,2185135342,5029488413,0,10218.180179047427,10221.498654608271,10225.821487402194,,-213688.0
32,2022-07-24,14,1,109,0,84696,821118,905814,0,866847651,8404796847,9271644498,0,10234.812163502409,10235.70456848757,10235.796617538526,,-821118.0
33,2022-07-23,32,1,108,0,410765,181366,592131,0,4200646573,1852411940,6053058513,0,10226.398483317713,10222.498928446577,10213.667059978166,,-181366.0
34,2022-07-20,28,1,96,0,162680,661534,824214,0,1657193759,6737653911,8394847670,0,10186.831565035653,10185.276724248799,10184.894368241088,,-661534.0
35,2022-07-19,23,1,129,0,78638,1099164,1177802,0,801310651,11200597308,12001907959,0,10189.865599328568,10190.089640703616,10190.105669399652,,-1099164.0
36,2022-07-17,30,1,142,0,114097,696733,810830,0,1163093416,7105437051,8268530467,0,10193.900067486436,10197.612899128055,10198.220912458575,,-696733.0
37,2022-07-16,31,1,191,0,300613,1664623,1965236,0,3067317645,16979645502,20046963147,0,10203.542910652566,10200.791735445513,10200.294902809825,,-1664623.0
38,2022-07-13,62,1,112,0,305559,487725,793284,0,3110533736,4968719371,8079253107,0,10179.813836280391,10184.565813756486,10187.542920703265,,-487725.0
39,2022-07-12,40,1,105,0,210457,665345,875802,0,2157477516,6819786250,8977263766,0,10251.393472300755,10250.334854225042,10250.0,,-665345.0
40,2022-07-11,21,1,194,1,60317,2421085,2281402,200000,617693019,24704642517,23282335536,2040000000,10240.77820514946,10205.275324559196,10203.9550519705,10200.0,-2221085.0
41,2022-07-09,35,1,211,0,327844,1509923,1837767,0,3344260534,15401214600,18745475134,0,10200.767846902796,10200.13697819147,10200.0,,-1509923.0
42,2022-07-06,42,1,237,1,217755,1713504,1930759,500,2221327530,17477740800,19693967830,5100500,10201.040297582145,10200.117067950998,10200.0,10201.0,-1713004.0
43,2022-07-05,74,2,183,1,638141,678060,1266201,50000,6510996136,6916212000,12917208136,510000000,10203.068187124789,10201.546307418806,10200.0,10200.0,-628060.0
44,2022-07-04,61,1,422,0,304295,4461759,4766054,0,3098389137,45419660019,48518049156,0,10182.188787196636,10179.92015113551,10179.765428612347,,-4461759.0
45,2022-07-03,167,1,464,1,1596672,4844997,6391669,50000,16305825045,49622023663,65417848158,510000550,10212.382408534751,10234.861686047885,10241.910090553203,10200.011,-4794997.0
46,2022-07-02,431,1,363,1,11634839,620000,5892379,6362460,120222034208,6385885498,60971516800,65636402906,10332.934921402866,10347.521230389288,10299.815319354839,10316.198908283903,5742460.0
47,2022-06-29,293,1,668,1,2750159,6758477,9503616,5020,27544107427,67815419212,95309271419,50255220,10015.459988677017,10028.73763197082,10034.127394677824,10011.0,-6753457.0
48,2022-05-31,5966,19,1,1,41817681,26581500,0,68399181,418176810000,265815000000,0,683991810000,10000.0,,10000.0,10000.0,41817681.0
49,2022-05-30,2795,6,0,1,15345799,6255020,0,21600819,153457990000,62550200000,0,216008190000,10000.0,,10000.0,10000.0,15345799.0
