,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,345,2,477,2,3022602,193960,2999946,216616,88948365550,5774818150,88252847450,6470336250,29427.746540894237,29418.145343282846,29773.242678902865,29870.075386859695,22656.0
1,2022-09-07,209,0,334,2,1978129,0,1957857,20272,55992355800,0,55416421800,575934000,28305.715046895322,28304.631952180367,,28410.319652722967,20272.0
2,2022-09-06,269,1,442,3,3711353,46000,3453972,303381,102796770800,1259372300,95655995600,8400147500,27697.923317992118,27694.490748622167,27377.658695652175,27688.442915014453,257381.0
3,2022-09-05,424,2,377,0,2622813,53665,2676478,0,70242802950,1412305750,71655108700,0,26781.47582385782,26772.16427708354,26317.073511599738,,-53665.0
4,2022-09-04,374,3,545,1,2916864,70449,2737313,250000,78016299400,1908044850,73150996700,6773347550,26746.63590760488,26723.650784546742,27084.058680747774,27093.3902,179551.0
5,2022-09-03,513,2,449,3,3081614,128484,2772756,437342,79300713900,3304600300,71514747350,11090566850,25733.500010059663,25791.9367409177,25719.936334485228,25359.02531657147,308858.0
6,2022-08-31,355,2,309,1,1917643,46780,1924423,40000,51920376950,1234865200,52048242150,1107000000,27075.100500979588,27046.154691562093,26397.289439931596,27675.0,-6780.0
7,2022-08-30,468,2,506,1,3094924,164540,3242318,17146,85324847150,4561877300,89398063450,488661000,27569.28672561911,27572.268805835825,27725.035249787285,28500.0,-147394.0
8,2022-08-29,361,2,533,2,2387841,65592,2300092,153341,68488897100,1813951600,65882441450,4420407250,28682.352426313144,28643.394025108562,27655.073789486523,28827.301569704123,87749.0
9,2022-08-28,462,2,787,1,3380755,75995,3276750,180000,96005540000,2086353750,92939599100,5152294650,28397.662652277377,28363.34755474174,27453.829199289426,28623.859166666665,104005.0
10,2022-08-27,506,3,646,5,2788170,167946,2826494,129622,80553910850,4724496900,81588516050,3689891700,28891.319700735607,28865.62506412538,28131.047479546996,28466.554288623844,-38324.0
11,2022-08-24,714,6,761,2,5033664,165375,4893494,305545,143262655450,4722911700,139228080150,8757487000,28460.909478662063,28451.670759175347,28558.80090702948,28661.85668232175,140170.0
12,2022-08-23,205,4,314,2,2316932,234899,2331629,220202,62929657300,6407744250,63364859250,5972542300,27160.770061443323,27176.218536482433,27278.72085449491,27123.01568559777,-14697.0
13,2022-08-22,1162,3,1083,3,8107520,116707,7920227,304000,209222356200,2952205850,204348269450,7826292600,25805.962390472054,25800.80968007609,25295.876425578586,25744.383552631578,187293.0
14,2022-08-21,586,2,551,2,3239644,127074,3110189,256529,85708036600,3352899900,82324164250,6736772250,26456.004610383116,26469.183785937126,26385.412436847822,26261.250190036993,129455.0
15,2022-08-20,517,2,751,2,4066425,114929,3918748,262606,112821435600,3061143900,108471393700,7411185800,27744.62472564968,27680.114592721962,26635.086879725743,28221.692573665492,147677.0
16,2022-08-17,732,3,937,4,6408899,330000,5961660,777239,176878693400,9135384400,164598447500,21415630300,27598.92040738979,27609.499283756537,27682.98303030303,27553.46849553355,447239.0
17,2022-08-16,69,0,205,1,916930,0,816930,100000,24241541200,0,21586541200,2655000000,26437.7228359853,26423.979043492098,,26550.0,100000.0
