,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-07-05,37,0,105,0,228817,0,228817,0,6170231850,0,6170231850,0,26965.792969927934,26965.792969927934,,,0.0
1,2022-07-04,47,2,84,3,263355,50920,172601,141674,7153524320,1393582360,4761512630,3785594050,27163.04729357711,27586.81948540275,27368.074626865673,26720.457176334403,90754.0
2,2022-07-03,18,2,115,2,64145,348961,216013,197093,1797699900,9939282110,6178900660,5558081350,28025.565515628652,28604.30001898034,28482.501225065265,28200.29808263104,-151868.0
3,2022-07-02,13,2,49,1,34845,96931,131181,595,975173710,2715409720,3673798480,16784950,27986.04419572392,28005.56848933916,28013.842011327644,28210.0,-96336.0
4,2022-06-29,14,2,104,0,29986,299249,329235,0,860366730,8640075060,9500441790,0,28692.280731007802,28856.11125791608,28872.52776116211,,-299249.0
5,2022-06-28,14,2,44,0,6904,51111,58015,0,196962310,1462987400,1659949710,0,28528.72392815759,28612.422821684046,28623.728747236408,,-51111.0
6,2022-06-27,21,2,60,3,195658,475708,66051,605315,5562430400,13546406690,1857381640,17251455450,28429.353259258503,28120.416647741895,28476.306242484887,28499.963572685298,129607.0
7,2022-06-26,11,2,66,1,16154,181150,57304,140000,446596070,5064112700,1590708770,3920000000,27646.160084189676,27759.122748848247,27955.35578250069,28000.0,-41150.0
8,2022-06-25,33,3,51,1,34675,126420,100295,60800,952042010,3598936870,2780311380,1770667500,27456.15025234319,27721.335859215316,28468.097373833254,29122.82072368421,-65620.0
9,2022-06-22,21,2,49,1,81480,1427389,232282,1276587,2264460180,40651985600,6580497950,36335947830,27791.607511045655,28329.779965731308,28479.96278519731,28463.354107475636,-150802.0
10,2022-06-21,26,2,43,2,72483,699869,120294,652058,2090842810,20242413310,3477746350,18855509770,28845.97505622008,28910.38912996492,28923.146060191266,28916.921148118727,-47811.0
11,2022-06-20,37,1,78,0,143717,150000,293717,0,4356257260,4613357940,8969615200,0,30311.356763639655,30538.290939918355,30755.7196,,-150000.0
12,2022-06-19,44,1,97,0,164301,50000,214301,0,4894568160,1487561910,6382130070,0,29790.251793963518,29781.149271351976,29751.2382,,-50000.0
13,2022-06-18,28,1,73,1,285859,15108,300871,96,8071697280,426751000,8495682520,2765760,28236.638622537685,28236.96042489971,28246.69049510193,28810.0,-15012.0
14,2022-06-15,40,1,121,0,581789,50869,632658,0,17770625210,1520948340,19291573550,0,30544.79409201618,30492.894344179636,29899.316676168197,,-50869.0
15,2022-06-14,40,1,162,1,1022284,243635,1102822,163097,30223278210,7102795940,32518358270,4807715880,29564.46370088938,29486.49761248869,29153.43009009379,29477.647534902542,-80538.0
16,2022-06-13,30,1,103,1,371583,97791,383660,85714,10350895150,2775813380,10768640900,2358067630,27856.212878414783,28068.187718292236,28385.162029225594,27510.8807196024,-12077.0
17,2022-06-12,20,1,93,0,368916,24997,393913,0,9746737140,649922000,10396659140,0,26419.936083010765,26393.287705660896,26000.0,,-24997.0
18,2022-06-11,25,0,100,0,646723,0,646723,0,17378545510,0,17378545510,0,26871.69856337257,26871.69856337257,,,0.0
19,2022-06-08,35,4,151,0,371866,523235,895101,0,10011460290,13973292650,23984752940,0,26922.22545217901,26795.58277780943,26705.577130734757,,-523235.0
20,2022-06-07,24,3,101,0,88189,224487,312676,0,2257689730,5778054890,8035744620,0,25600.582045379808,25699.908595479028,25738.928713021243,,-224487.0
21,2022-06-06,21,0,62,0,159759,0,159759,0,3947476740,0,3947476740,0,24708.947477137437,24708.947477137437,,,0.0
22,2022-06-01,14,1,56,0,136657,25000,161657,0,3409609330,625000000,4034609330,0,24950.125716209197,24957.83869550963,25000.0,,-25000.0
23,2022-05-31,29,1,69,1,292912,453824,745066,1670,7334875850,11345600000,18638057850,42418000,25041.22688725624,25015.311193907655,25000.0,25400.0,-452154.0
24,2022-05-30,19,1,62,0,103353,25014,128367,0,2596898310,625350000,3222248310,0,25126.491828974486,25101.84323073687,25000.0,,-25014.0
25,2022-05-29,34,0,87,1,161191,0,158250,2941,4000003540,0,3927096150,72907390,24815.303211717775,24815.77345971564,,24790.0,2941.0
26,2022-05-28,22,5,158,1,101422,1035913,1030193,107142,2573828380,26353110920,26233318000,2693621300,25377.4169312378,25464.46927905742,25439.502081738523,25140.6665919994,-928771.0
