,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2017-04-05,1,1,0,1,200000,238054,0,438054,188200000,224961030,0,413161030,941.0,,945.0,943.1737411369375,200000.0
1,2017-04-04,0,1,0,1,0,300000,0,300000,0,313500000,0,313500000,,,1045.0,1045.0,0.0
2,2017-04-03,0,1,0,1,0,200000,0,200000,0,220000000,0,220000000,,,1100.0,1100.0,0.0
3,2017-03-27,0,1,0,1,0,10000,0,10000,0,11500000,0,11500000,,,1150.0,1150.0,0.0
4,2017-03-14,0,1,0,1,0,100000,0,100000,0,118000000,0,118000000,,,1180.0,1180.0,0.0
5,2016-01-16,3,1,0,1,117500,611782,0,729282,94625000,489425600,0,584050600,805.3191489361702,,800.0,800.8570073030735,117500.0
6,2015-01-24,2,0,0,1,536623,0,0,536623,617116450,0,0,617116450,1150.0,,,1150.0,536623.0
7,2013-10-14,3,0,0,1,117494,0,0,117494,293852494,0,0,293852494,2501.0,,,2501.0,117494.0
8,2013-01-19,1,0,0,2,82050,0,0,82050,164100000,0,0,164100000,2000.0,,,2000.0,82050.0
9,2013-01-15,0,1,0,1,0,1000,0,1000,0,2010000,0,2010000,,,2010.0,2010.0,0.0
10,2013-01-14,1,0,0,1,1000,0,0,1000,2000000,0,0,2000000,2000.0,,,2000.0,1000.0
11,2013-01-06,1,0,1,0,10032,0,10032,0,20064000,0,20064000,0,2000.0,2000.0,,,0.0
