,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,21,3,67,0,832632,329400,1162032,0,3654536605,1435887000,5090423605,0,4389.137824393009,4380.622568913765,4359.098360655737,,-329400.0
1,2022-09-07,24,1,86,1,1685680,68000,1738680,15000,7543801070,302560539,7779061609,67300000,4475.227249537279,4474.119222053512,4449.41969117647,4486.666666666667,-53000.0
2,2022-09-06,49,1,55,2,1272927,145000,966927,451000,5661929301,637647350,4299338203,2000238448,4447.960724377753,4446.393784639378,4397.567931034483,4435.118509977827,306000.0
3,2022-09-05,31,3,83,0,557543,896906,1454449,0,2440612685,3978602315,6419215000,0,4377.4429685244,4413.502982916555,4435.918942453278,,-896906.0
4,2022-09-04,22,2,69,0,763039,545450,1308489,0,3306056174,2374380650,5680436824,0,4332.748619664264,4341.218630038158,4353.067467228893,,-545450.0
5,2022-09-03,52,3,78,2,1527780,595676,1858855,264601,6644134084,2619612760,8117076766,1146670078,4348.881438426999,4366.7078744711125,4397.714126471437,4333.581800522295,-331075.0
6,2022-08-31,33,3,96,2,2867164,429653,3046758,250059,12806354342,1913898075,13597838512,1122413905,4466.558014121271,4463.0517133293815,4454.520450223785,4488.59631127054,-179594.0
7,2022-08-30,28,5,100,2,2344370,904186,2980943,267613,10551562409,4109833869,13457573908,1203822370,4500.809347074054,4514.535805615874,4545.341189755205,4498.370295912381,-636573.0
8,2022-08-29,60,4,138,1,1722508,2126449,3768957,80000,7736380609,9654350331,17021210940,369520000,4491.3466927294385,4516.1594945232855,4540.1278521140175,4619.0,-2046449.0
9,2022-08-28,39,5,190,2,2371329,3486876,5598205,260000,10549771075,15466809264,24841880339,1174700000,4448.885445672026,4437.472428930345,4435.721047722947,4518.076923076923,-3226876.0
10,2022-08-27,49,2,84,0,2040223,112251,2152474,0,8804017704,486981804,9290999508,0,4315.223239812511,4316.42821608995,4338.329315551755,,-112251.0
