,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,77,4,81,0,822850,297560,1120410,0,6035483990,2186196400,8221680390,0,7334.853241781612,7338.099793825475,7347.077564188735,,-297560.0
1,2022-09-07,55,4,105,2,1247540,1126576,1158123,1215993,9362980560,8450023310,8685746190,9127257680,7505.1545922375235,7499.847762284317,7500.624289883683,7506.011695791012,89417.0
2,2022-09-06,54,3,68,2,830357,473424,729042,574739,6243054860,3546468870,5475361760,4314161970,7518.518974368856,7510.351612115625,7491.104950319375,7506.297588992569,101315.0
3,2022-09-05,81,2,82,2,1296219,455000,1163381,587838,9712395510,3397182760,8709311570,4400266700,7492.866182334929,7486.207502099484,7466.335736263736,7485.509102848064,132838.0
4,2022-09-04,84,3,90,5,1135453,525708,1349591,311570,8430371680,3931004340,10043758020,2317618000,7424.676917494604,7442.075428778052,7477.543313017873,7438.514619507655,-214138.0
5,2022-09-03,98,2,115,2,1135909,55000,966591,224318,8540193380,411669110,7256262080,1695600410,7518.378127121098,7507.065635827356,7484.892909090909,7558.9137296159915,169318.0
6,2022-08-31,53,2,85,2,515515,515000,717129,313386,3857768640,3860262900,5371198720,2346832820,7483.329563640244,7489.864055142101,7495.656116504854,7488.633251006746,-201614.0
7,2022-08-30,86,3,91,3,775354,1084538,1715482,144410,5799276750,8133216550,12853275740,1079217560,7479.521289630285,7492.51565449244,7499.245346866592,7473.28827643515,-940128.0
8,2022-08-29,82,4,111,3,1045918,767477,1293904,519491,7896809750,5785454190,9749196320,3933067620,7550.123193214,7534.713796386749,7538.276964651709,7571.002423526105,-247986.0
9,2022-08-28,114,2,95,3,1218285,363878,1228264,353899,9155012730,2764275870,9250513760,2668774840,7514.672453489947,7531.372538802733,7596.710628287503,7541.063523773732,-9979.0
10,2022-08-27,110,1,117,2,1785309,354307,1739018,400598,13728599410,2739443420,13384266000,3083776830,7689.76093774243,7696.450525526475,7731.835442144807,7697.933664172063,46291.0
11,2022-08-24,100,2,106,2,1442682,340330,1701040,81972,10962338570,2600546670,12935689980,627195260,7598.582757669396,7604.577188073179,7641.250168953663,7651.335334016493,-258358.0
12,2022-08-23,86,2,103,2,1300492,326878,1394967,232403,9821718580,2463165890,10534421620,1750462850,7552.30987964555,7551.735360047944,7535.428783827605,7532.014862114516,-94475.0
13,2022-08-22,92,4,100,1,1118284,919624,1819646,218262,8355034170,6866680130,13591853010,1629861290,7471.299034949977,7469.503963957824,7466.834412759998,7467.453290082562,-701362.0
14,2022-08-21,55,5,99,2,1090216,1886062,2557732,418546,8156186070,14160988390,19163992530,3153181930,7481.256989440624,7492.572533009713,7508.230583087937,7533.656826250878,-1467516.0
15,2022-08-20,93,2,132,2,2381752,785467,2915308,251911,17830060860,5863721640,21812804170,1880978330,7486.1114255388475,7482.161119854231,7465.267974338833,7466.836819352867,-533556.0
16,2022-08-17,125,4,119,1,1223826,1048520,2105720,166626,9035994830,7843897830,15629266600,1250626060,7383.398318061554,7422.290997853466,7480.923425399611,7505.587723404511,-881894.0
17,2022-08-16,106,3,125,1,1236392,669124,1604166,301350,9266860470,5007569250,12015802360,2258627360,7495.082845893536,7490.3734152201205,7483.768703558682,7495.030230628837,-367774.0
18,2022-08-15,120,3,107,3,1408925,772539,1495991,685473,10693985680,5888260260,11365050710,5217195230,7590.173841758788,7597.004734654152,7621.958580731846,7611.0878619580935,-87066.0
19,2022-08-14,97,4,129,2,1134183,1112731,2003483,243431,8616927790,8479864100,15254077010,1842714880,7597.475707183056,7613.77910868223,7620.767373246544,7569.762602133665,-869300.0
20,2022-08-13,130,6,210,5,1980431,1743862,1827270,1897023,15272535810,13598374060,14193030690,14677879180,7711.723261249697,7767.341821405704,7797.849864266783,7737.322731458712,153161.0
21,2022-08-10,65,6,147,2,949345,2770693,3294747,425291,7111407690,20792051320,24702957410,3200501600,7490.857054074125,7497.679612425476,7504.278287056703,7525.439287452591,-2345402.0
22,2022-08-09,69,6,151,6,1164282,1896220,2407352,653150,8672801320,14068058480,17890036740,4850823060,7449.055572447225,7431.4170673835815,7419.001212939427,7426.813228201791,-1243070.0
23,2022-08-06,74,2,105,2,1600109,370000,1935109,35000,11702805690,2698371320,14143377010,257800000,7313.755306669733,7308.827053153078,7292.89545945946,7365.714285714285,-335000.0
24,2022-08-03,75,1,106,1,744835,507961,1222796,30000,5341985290,3629762640,8756647930,215100000,7172.038491746494,7161.1682815449185,7145.750638336408,7170.0,-477961.0
25,2022-08-02,96,2,108,0,1399344,720573,2119917,0,9859791510,5073201500,14932993010,0,7046.009780297053,7044.14041210104,7040.510121805841,,-720573.0
