,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,7,0,7,0,7490,0,7490,0,100683750,0,100683750,0,13442.423230974633,13442.423230974633,,,0.0
1,2022-09-07,5,0,5,0,6846,0,6846,0,92927720,0,92927720,0,13574.016944200994,13574.016944200994,,,0.0
2,2022-09-06,9,1,3,1,8675,122846,1521,130000,116128220,1639994100,20460560,1735661760,13386.53832853026,13452.044707429322,13350.0,13351.244307692308,7154.0
3,2022-09-05,8,0,5,0,4623,0,4623,0,62443820,0,62443820,0,13507.207441055592,13507.207441055592,,,0.0
4,2022-09-04,3,2,10,1,6191,85000,21191,70000,84955150,1163450620,292905770,955500000,13722.363107737037,13822.177811335001,13687.654352941176,13650.0,-15000.0
5,2022-09-03,4,1,5,0,7099,19263,26362,0,95586500,259087350,354673850,0,13464.783772362305,13453.981109172293,13450.0,,-19263.0
6,2022-08-31,4,0,6,0,2810,0,2810,0,38907350,0,38907350,0,13846.03202846975,13846.03202846975,,,0.0
7,2022-08-30,9,1,3,0,9666,22979,32645,0,130385620,309297340,439682960,0,13489.097868818539,13468.615714504518,13460.0,,-22979.0
8,2022-08-29,2,1,6,0,2893,1477,4370,0,39576240,20190590,59766830,0,13680.0,13676.620137299771,13670.0,,-1477.0
9,2022-08-28,3,1,16,2,2338,199444,36094,165688,32052500,2732606640,494733540,2269925600,13709.366980325065,13706.80833379509,13701.122320049739,13700.0,-33756.0
10,2022-08-27,14,1,7,1,28913,208045,40993,195965,392428760,2856515700,556385360,2692559100,13572.744440217204,13572.691923011245,13730.278064841741,13740.0,-12080.0
11,2022-08-24,10,1,7,1,18861,70000,14414,74447,261457640,962500000,200248090,1023709550,13862.342399660676,13892.61065630637,13750.0,13750.850269319113,4447.0
12,2022-08-23,10,1,12,0,16245,204528,220773,0,224620520,2818395840,3043016360,0,13827.055709449061,13783.462470501374,13780.0,,-204528.0
13,2022-08-22,5,4,19,1,4498,1337961,1242459,100000,63218620,18715054740,17414337940,1363935420,14054.828812805692,14016.026235070936,13987.74309565077,13639.3542,-1237961.0
14,2022-08-21,10,2,47,0,50528,63563,114091,0,691374470,880299260,1571673730,0,13682.996952184927,13775.61534213917,13849.240281295723,,-63563.0
15,2022-08-20,38,1,18,0,181010,404394,585404,0,2435559670,5475700040,7911259710,0,13455.387381912602,13514.18799666555,13540.507623753072,,-404394.0
16,2022-08-17,3,1,13,0,1500,35346,36846,0,20985000,495875770,516860770,0,13990.0,14027.595125658145,14029.190573190743,,-35346.0
17,2022-08-16,1,1,19,2,400,284086,123106,161380,5600000,4002608250,1731084000,2277124250,14000.0,14061.735415008205,14089.42450525545,14110.325009294833,-122706.0
18,2022-08-15,5,2,30,1,18024,63719,76117,5626,250854450,892599970,1064089000,79365420,13917.801264980026,13979.649749727394,14008.38007501687,14106.900106647707,-58093.0
19,2022-08-14,23,1,30,1,77801,85200,157443,5558,1063607630,1197966890,2182928820,78645700,13670.873510623256,13864.883291095824,14060.644248826291,14150.0,-79642.0
20,2022-08-13,24,1,38,0,58046,193211,251257,0,798211020,2704336620,3502547640,0,13751.35272025635,13940.099738514748,13996.804633276573,,-193211.0
21,2022-08-10,7,1,10,0,28861,20000,48861,0,395753690,276750000,672503690,0,13712.40393610755,13763.608808661305,13837.5,,-20000.0
22,2022-08-09,48,1,20,2,284736,125238,385474,24500,3900070670,1786557960,5333998630,352630000,13697.14637418521,13837.505590519724,14265.302543956308,14393.061224489797,-100738.0
23,2022-08-06,12,1,24,1,13860,119358,98453,34765,200318160,1745301390,1435869550,509750000,14452.969696969696,14584.314850740962,14622.408133514302,14662.735509851862,-84593.0
24,2022-08-03,8,1,11,0,11253,15670,26923,0,162017630,224807800,386825430,0,14397.72771705323,14367.842736693534,14346.381620931717,,-15670.0
25,2022-08-02,8,1,12,3,31398,88810,30500,89708,448994390,1271747350,435123760,1285617980,14300.095228995477,14266.352786885245,14319.866569080059,14331.140812413609,898.0
26,2022-08-01,3,1,5,3,5351,73605,9480,69476,76971950,1058903750,137794690,998081010,14384.591665109325,14535.304852320674,14386.301881665648,14365.838706891589,-4129.0
27,2022-07-31,7,2,12,2,2877,315268,52268,265877,41221180,4513821140,745244120,3809798200,14327.834549878346,14258.13346598301,14317.409759315884,14329.175521011595,-49391.0
28,2022-07-30,4,1,28,2,2095,364138,167381,198852,30148750,5237688110,2409500750,2858336110,14390.811455847255,14395.306217551573,14383.799850606089,14374.188391366444,-165286.0
29,2022-07-27,2,2,13,4,4100,322118,103995,222223,59109000,4625633400,1492892810,3191849590,14416.829268292682,14355.428722534738,14360.058736239514,14363.272883544907,-99895.0
30,2022-07-26,9,1,8,3,36631,194769,23828,207572,525726730,2793315700,339909480,2979132950,14351.962272392237,14265.12842034581,14341.685278458071,14352.287158190893,12803.0
31,2022-07-25,10,1,30,1,48706,208975,77721,179960,703755480,3028233920,1121629130,2610360270,14449.051040939514,14431.480938227764,14490.890872113889,14505.2248833074,-29015.0
32,2022-07-24,12,1,20,2,63600,220539,100789,183350,909773500,3169215440,1446520940,2632468000,14304.614779874213,14351.972338251198,14370.3174495214,14357.611126261249,-37189.0
33,2022-07-23,14,1,29,0,37640,30794,68434,0,548845700,452608820,1001454520,0,14581.44792773645,14633.87380541836,14697.954796388907,,-30794.0
34,2022-07-20,13,1,27,2,41956,359144,291100,110000,596605060,5196693680,4227293740,1566005000,14219.77929259224,14521.79230504981,14469.665872184973,14236.40909090909,-249144.0
35,2022-07-19,20,2,30,1,31455,486887,85942,432400,447647440,6930435930,1237662930,6140420440,14231.360356064219,14401.141816573969,14234.177396397932,14200.78732654949,-54487.0
36,2022-07-17,10,2,46,0,6569,81954,88523,0,90493650,1158750250,1249243900,0,13775.863906226214,14112.08273556025,14139.032262000634,,-81954.0
37,2022-07-16,5,1,62,0,11685,638134,649819,0,166556700,9066422970,9232979670,0,14253.889602053916,14208.540639778153,14207.710245810442,,-638134.0
38,2022-07-13,13,1,17,0,31238,5910,37148,0,427317690,80139600,507457290,0,13679.418976887124,13660.420211047702,13560.0,,-5910.0
39,2022-07-12,15,1,22,0,107577,13342,120919,0,1476690850,183656480,1660347330,0,13726.826831014065,13731.070634060818,13765.288562434418,,-13342.0
40,2022-07-11,15,0,21,0,36500,0,36500,0,498447420,0,498447420,0,13656.093698630137,13656.093698630137,,,0.0
41,2022-07-09,25,1,49,0,286342,40850,327192,0,3939291470,563626280,4502917750,0,13757.295367078528,13762.31005036798,13797.460954712362,,-40850.0
42,2022-07-06,35,0,36,0,157378,0,157378,0,2176837710,0,2176837710,0,13831.906047859295,13831.906047859295,,,0.0
43,2022-07-05,66,0,45,0,206038,0,206038,0,2872482040,0,2872482040,0,13941.515836884459,13941.515836884459,,,0.0
44,2022-07-04,50,0,27,0,92047,0,92047,0,1296094330,0,1296094330,0,14080.788401577454,14080.788401577454,,,0.0
45,2022-07-03,59,1,114,0,355984,446851,802835,0,5083771800,6561066390,11644838190,0,14280.899703357454,14504.64689506561,14682.895170873513,,-446851.0
46,2022-07-02,28,1,40,0,60347,200000,260347,0,868452230,2878000000,3746452230,0,14390.976022006065,14390.226236522794,14390.0,,-200000.0
47,2022-06-29,79,0,84,0,280471,0,280471,0,4092797100,0,4092797100,0,14592.585686220678,14592.585686220678,,,0.0
48,2022-06-28,36,1,51,1,155545,1952964,338509,1770000,2377939230,29833213490,5182805680,27028347040,15287.789578578546,15310.687987616282,15275.864526944684,15270.252564971752,-182964.0
49,2022-06-27,103,1,65,1,387202,2943565,430767,2900000,5925891650,44923196620,6584712730,44264375540,15304.393184952558,15286.019425814884,15261.49299234092,15263.577772413793,-43565.0
50,2022-06-26,8,1,23,0,60247,84498,144745,0,922249160,1289646080,2211895240,0,15307.802214218136,15281.323983557291,15262.445028284694,,-84498.0
51,2022-06-25,47,1,56,2,232044,558793,295837,495000,3573416590,8508469380,4543728270,7538157700,15399.737075727016,15358.891112335508,15226.513896917106,15228.601414141414,-63793.0
52,2022-06-22,83,0,82,3,415996,0,385441,30555,6524132280,0,6045550000,478582280,15683.161088087385,15684.761091840255,,15662.97758141057,30555.0
53,2022-06-21,51,2,101,2,466800,10569888,631857,10404831,7142580270,158700435320,9607941850,156235073740,15301.1573907455,15205.88020707217,15014.391384279568,15015.628196171567,-165057.0
54,2022-06-20,21,1,50,1,62664,460835,323499,200000,931383800,6884575570,4801959370,3014000000,14863.139920847696,14843.815189536906,14939.350461661983,15070.0,-260835.0
55,2022-06-19,18,1,46,0,27764,381000,408764,0,409770220,5604510000,6014280220,0,14759.048408010372,14713.331457760469,14710.0,,-381000.0
56,2022-06-18,15,1,34,0,64683,479469,544152,0,952577650,7056193410,8008771060,0,14726.862545027287,14717.893272467987,14716.68326836563,,-479469.0
57,2022-06-15,39,1,49,0,97072,159669,256741,0,1439847230,2355817900,3795665130,0,14832.775980715345,14784.024094320735,14754.385008987343,,-159669.0
58,2022-06-14,56,1,59,0,215879,77440,293319,0,3180567930,1143725720,4324293650,0,14733.104794815614,14742.630548992734,14769.185433884297,,-77440.0
59,2022-06-13,74,1,82,1,579542,1000,375488,205054,8732687440,15080000,5651452040,3096315400,15068.256381763531,15050.952467189365,15080.0,15100.0,204054.0
60,2022-06-12,121,1,99,3,1119153,55452,787860,386745,16203125640,801788170,11397461310,5607452500,14478.025471048195,14466.35355266164,14459.138894900094,14499.095010924511,331293.0
61,2022-06-11,28,1,75,1,73067,1172272,245339,1000000,1011601760,16232767160,3394368920,13850000000,13844.851437721543,13835.423312233277,13847.270223975323,13850.0,-172272.0
62,2022-06-08,28,0,29,0,94906,0,94906,0,1282410470,0,1282410470,0,13512.427770636208,13512.427770636208,,,0.0
63,2022-06-07,37,1,93,0,193195,144823,338018,0,2652603050,1979111320,4631714370,0,13730.184787390977,13702.567230147506,13665.725195583575,,-144823.0
64,2022-06-06,11,1,55,0,60211,734786,794997,0,794765270,9676431600,10471196870,0,13199.668997359286,13171.366520879954,13169.047314456182,,-734786.0
