,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,27,1,23,0,17947,7500,25447,0,1415922020,594450000,2010372020,0,78894.63531509445,79002.31933037293,79260.0,,-7500.0
1,2022-09-07,24,1,30,0,47866,373,48239,0,3897150560,30604650,3927755210,0,81417.92838340366,81422.81577147121,82050.0,,-373.0
2,2022-09-06,33,0,49,1,48889,0,46602,2287,4032338820,0,3842065470,190273350,82479.47022847676,82444.2184884769,,83197.79186707477,2287.0
3,2022-09-05,52,0,62,1,85807,0,57153,28654,7130302020,0,4740501260,2389800760,83096.97367347652,82944.04948121708,,83401.99483492706,28654.0
4,2022-09-04,35,0,18,0,33161,0,33161,0,2635098430,0,2635098430,0,79463.7806459395,79463.7806459395,,,0.0
5,2022-09-03,30,2,27,0,47193,14770,61963,0,3741099020,1168106140,4909205160,0,79272.32894708961,79228.00961864338,79086.40081245768,,-14770.0
6,2022-08-31,47,0,42,1,51970,0,51802,168,4178652130,0,4164850620,13801510,80405.08235520493,80399.4173970117,,82151.84523809524,168.0
7,2022-08-30,77,2,39,0,109134,130582,239716,0,8817506510,10568383000,19385889510,0,80795.22889292063,80870.23607101737,80932.92337381875,,-130582.0
8,2022-08-29,23,1,30,0,12788,6691,19479,0,1064200060,551821940,1616022000,0,83218.64716922115,82962.26705683043,82472.2672246301,,-6691.0
9,2022-08-28,33,1,43,1,45050,1628,39177,7501,3840195000,131868000,3314900390,657162610,85242.95227524973,84613.43109477499,81000.0,87610.0,5873.0
10,2022-08-27,49,1,51,0,36680,15874,52554,0,3072972580,1300823940,4373796520,0,83777.87840785169,83224.80724588042,81946.82751669397,,-15874.0
11,2022-08-24,70,1,64,1,143963,10000,129400,24563,12091766170,839346710,10861925760,2069187120,83992.17972673534,83940.69366306027,83934.671,84240.0,14563.0
12,2022-08-23,57,1,75,0,89479,7500,96979,0,7265878970,596175000,7862053970,0,81202.05824830408,81069.65394569958,79490.0,,-7500.0
13,2022-08-22,147,3,112,1,269891,202015,435350,36556,21352185240,15938105270,34414064430,2876226080,79114.10621324905,79049.18899735845,78895.65264955572,78680.0,-165459.0
14,2022-08-21,84,2,20,0,100996,150400,251396,0,8344027780,12475697840,20819725620,0,82617.40841221434,82816.45539308501,82950.11861702127,,-150400.0
15,2022-08-20,82,2,81,0,84607,200000,284607,0,7380922200,17321533040,24702455240,0,87237.7250109329,86794.96723552127,86607.6652,,-200000.0
16,2022-08-17,43,1,65,1,91591,6648,98184,55,8325994930,605300400,8926203980,5091350,90904.07278007665,90913.0202476982,91050.0,92570.0,-6593.0
17,2022-08-16,63,2,81,1,272342,38663,311004,1,24814798220,3581118630,28395823830,93020,91116.31044789273,91303.72545047652,92623.92028554431,93020.0,-38662.0
18,2022-08-15,101,2,151,2,640682,10715,469112,182285,58469667280,977246800,42748985230,16697928850,91261.60447772843,91127.46045720424,91203.6210919272,91603.41690210385,171570.0
19,2022-08-14,67,2,69,1,275158,32931,300589,7500,23965574880,2914714940,26204389820,675900000,87097.50354341869,87176.80893179723,88509.76101545656,90120.0,-25431.0
20,2022-08-13,17,1,63,3,346790,94,182198,164686,30060195640,7529400,15745511120,14322213920,86681.26428097696,86419.78023908056,80100.0,86966.79693477284,164592.0
