,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,80,2,57,1,275113,18021,155847,137287,7410790750,491779100,4232923800,3669646050,26937.26123447456,27160.76536603207,27289.223683480384,26729.74170897463,119266.0
1,2022-09-07,50,2,73,0,192905,22145,215050,0,5317033500,606988100,5924021600,0,27562.963634949847,27547.182515694025,27409.713253556107,,-22145.0
2,2022-09-06,97,3,79,0,270979,45180,316159,0,7372239950,1254597650,8626837600,0,27205.945663686114,27286.389443286447,27768.872288623286,,-45180.0
3,2022-09-05,75,0,47,0,108851,0,108851,0,3012121650,0,3012121650,0,27671.970399904458,27671.970399904458,,,0.0
4,2022-09-04,140,2,124,0,479549,68915,548464,0,13363614700,1916087000,15279701700,0,27867.047371592893,27859.07862685609,27803.62765725894,,-68915.0
5,2022-09-03,183,0,151,3,977857,0,881310,96547,27996267600,0,25225368700,2770898900,28630.226710040424,28622.583086541625,,28700.0,96547.0
6,2022-08-31,111,0,98,3,612157,0,461562,150595,17094056800,0,12884926550,4209130250,27924.30177225777,27915.91714655886,,27950.0,150595.0
7,2022-08-30,77,1,41,0,219713,26210,245923,0,5939120000,706953250,6646073250,0,27031.26351194513,27025.01697685861,26972.65356734071,,-26210.0
8,2022-08-29,67,1,69,1,248307,1500,222246,27561,6763262600,40425000,6049894250,753793350,27237.502768749975,27221.611412578855,26950.0,27350.0,26061.0
9,2022-08-28,73,0,59,0,226212,0,226212,0,6202822500,0,6202822500,0,27420.395469736355,27420.395469736355,,,0.0
10,2022-08-27,105,0,124,1,716966,0,713966,3000,19871084750,0,19788034750,83050000,27715.51893674177,27715.65417680954,,27683.333333333332,3000.0
11,2022-08-24,117,1,85,1,365060,10000,287621,87439,9907426800,269000000,7828564500,2347862300,27139.173834438174,27218.33419673807,26900.0,26851.431283523372,77439.0
12,2022-08-23,85,1,78,0,333491,52885,386376,0,8948049450,1420238750,10368288200,0,26831.45707080551,26834.71074807959,26855.228325612177,,-52885.0
13,2022-08-22,155,1,114,0,597720,2000,599720,0,16081249900,53600000,16134849900,0,26904.31958107475,26903.97168678717,26800.0,,-2000.0
14,2022-08-21,95,1,90,1,251891,200000,365871,86020,6977703250,5500000000,10111308500,2366394750,27701.28051419066,27636.266607629466,27500.0,27509.820390606834,-113980.0
15,2022-08-20,145,0,122,2,672052,0,570052,102000,18482899200,0,15667699200,2815200000,27502.186140358186,27484.684204248035,,27600.0,102000.0
16,2022-08-17,99,0,109,0,589534,0,589534,0,15797083250,0,15797083250,0,26795.881577652857,26795.881577652857,,,0.0
17,2022-08-16,81,0,115,0,284860,0,284860,0,7704866900,0,7704866900,0,27047.907393105386,27047.907393105386,,,0.0
18,2022-08-15,117,1,124,0,679382,2000,681382,0,18325153400,53800000,18378953400,0,26973.268941479168,26973.0538816699,26900.0,,-2000.0
