,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,16,1,18,0,18663,55665,74328,0,166491240,495433300,661924540,0,8920.925896158175,8905.453395759338,8900.265876223839,,-55665.0
1,2022-09-07,6,1,20,0,93235,2569,95804,0,844818740,23260850,868079590,0,9061.175953236445,9060.995261158198,9054.437524328532,,-2569.0
2,2022-09-06,3,1,17,0,5278,116754,122032,0,47897020,1059055980,1106953000,0,9074.842743463432,9071.005965648355,9070.832519656715,,-116754.0
3,2022-09-05,4,1,11,0,10996,1324923,1335919,0,100233390,12065710300,12165943690,0,9115.441069479812,9106.797410621451,9106.725673869349,,-1324923.0
4,2022-09-04,13,2,18,0,29702,295656,325358,0,269423370,2685854340,2955277710,0,9070.88310551478,9083.156738116168,9084.389763779527,,-295656.0
5,2022-09-03,14,1,20,1,96189,48455,94957,49687,877812430,444816900,869199800,453429530,9125.91283826633,9153.614794064682,9180.0,9125.717592126713,1232.0
6,2022-08-31,12,1,21,1,44732,20000,50412,14320,410727700,184362000,463558700,131531000,9181.965930430117,9195.403872093946,9218.1,9185.125698324022,-5680.0
7,2022-08-30,21,1,21,1,148204,6630,146235,8599,1365301340,60996000,1347087080,79210260,9212.311003751585,9211.796628714055,9200.0,9211.56646121642,1969.0
8,2022-08-29,20,1,59,0,158360,531902,690262,0,1475403610,4971380200,6446783810,0,9316.769449355897,9339.618594099053,9346.421333253118,,-531902.0
9,2022-08-28,11,1,26,0,118919,155027,273946,0,1092690110,1419877980,2512568090,0,9188.524205551677,9171.76410679477,9158.907674147084,,-155027.0
10,2022-08-27,16,1,35,0,101582,347449,449031,0,948068010,3234501710,4182569720,0,9333.031541021048,9314.656939053206,9309.28484468224,,-347449.0
11,2022-08-24,14,3,52,1,33269,3884800,339192,3578877,306548040,36260213460,3140050320,33426711180,9214.224653581412,9257.442156654639,9333.86878603789,9340.0,-305923.0
12,2022-08-23,16,2,56,1,5401562,1491276,378432,6514406,49693240660,13708518150,3469156250,59932602560,9199.79084938764,9167.185253889735,9192.475537727423,9200.010340159946,5023130.0
13,2022-08-22,13,1,36,1,305297,520314,625611,200000,2754353000,4692428030,5642781030,1804000000,9021.880332921712,9019.632055702345,9018.45429875037,9020.0,-320314.0
14,2022-08-21,12,1,35,0,69500,546973,616473,0,627290040,4925405200,5552695240,0,9025.755971223021,9007.199406948885,9004.841555250441,,-546973.0
15,2022-08-20,12,1,30,0,83155,834887,918042,0,753945420,7567283800,8321229220,0,9066.747880464194,9064.105149873318,9063.841933099928,,-834887.0
16,2022-08-17,18,1,51,1,243892,93094,299882,37104,2234918050,849210360,2743190990,340937420,9163.556205205583,9147.568010083967,9122.074032698132,9188.697175506684,-55990.0
17,2022-08-16,67,1,43,1,18760789,118017,490212,18388594,171678492360,1078675380,4491306640,168265861100,9150.920697418429,9161.967964880501,9140.0,9150.556105594587,18270577.0
18,2022-08-15,43,1,53,1,1549943,4479475,1057769,4971649,13920953170,40081083530,9634210300,44367826400,8981.590400421177,9108.047503755546,8947.718991622902,8924.167092246456,492174.0
19,2022-08-14,19,0,31,1,164744,0,136393,28351,1503708090,0,1245430480,258277610,9127.543886272035,9131.190603623352,,9110.0,28351.0
20,2022-08-13,23,3,47,1,526729,2324784,296289,2555224,4819583810,21381989460,2718143370,23483429900,9150.025553937603,9173.959782509644,9197.40907542378,9190.36057112801,230440.0
21,2022-08-10,9,1,32,0,61462,36642,98104,0,553175240,330352600,883527840,0,9000.28049851941,9006.03278153796,9015.681458435674,,-36642.0
22,2022-08-09,16,1,30,1,42427,89938,119040,13325,383262170,809323680,1071728100,120857750,9033.44969005586,9003.092237903225,8998.684427049746,9070.0,-76613.0
23,2022-08-06,12,1,28,0,87813,104836,192649,0,785002690,939390810,1724393500,0,8939.481511849042,8950.96003612788,8960.574707161662,,-104836.0
