,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,93,4,65,1,342002,40118,306328,75792,9759583580,1145830440,8757189400,2148224620,28536.627212706357,28587.623070695463,28561.504561543446,28343.685613257338,35674.0
1,2022-09-07,66,1,63,3,326434,20000,172895,173539,9728554330,599800000,5158522330,5169832000,29802.515454885215,29836.15680037017,29990.0,29790.606146168873,153539.0
2,2022-09-06,219,2,82,11,2066863,340000,1003280,1403583,62271204680,10237624620,30352645510,42156183790,30128.365876209504,30253.414311059725,30110.660647058823,30034.692490575904,1063583.0
3,2022-09-05,60,1,42,4,262834,4992325,126350,5128809,7739951970,145076964500,3717126220,149099790250,29448.062160907644,29419.281519588443,29060.0,29071.03583892479,136484.0
4,2022-09-04,19,3,25,2,181085,137914,180119,138880,5275640180,4004401460,5242367930,4037673710,29133.501836154293,29105.024622610606,29035.496468813897,29073.111391129034,966.0
5,2022-09-03,29,1,33,2,196734,210000,257255,149479,5722925000,6090002800,7474457140,4338470660,29089.659133652545,29054.66226118054,29000.013333333332,29023.947577920644,-60521.0
6,2022-08-31,36,0,36,3,224404,0,109732,114672,6595328350,0,3217350420,3377977930,29390.42240780022,29320.074545255713,,29457.73972722199,114672.0
7,2022-08-30,23,1,31,1,150385,7859,25528,132716,4366122900,227911000,743900560,3850133340,29032.968048675066,29140.573487934817,29000.0,29010.317821513607,124857.0
8,2022-08-29,20,0,35,1,78628,0,48567,30061,2279755950,0,1407380150,872375800,28994.19990334232,28978.11579879342,,29020.185622567446,30061.0
9,2022-08-28,33,1,33,1,182874,1044,68142,115776,5204988940,29724000,1944645300,3290067640,28462.15941030436,28538.130668310292,28471.264367816093,28417.52729408513,114732.0
10,2022-08-27,37,1,30,0,117838,31700,149538,0,3308176160,901551000,4209727160,0,28073.933366146743,28151.55452125881,28440.094637223974,,-31700.0
11,2022-08-24,39,1,20,0,64960,8937,73897,0,1844128350,253776800,2097905150,0,28388.67533866995,28389.584827530212,28396.195591361753,,-8937.0
12,2022-08-23,21,0,21,0,47150,0,47150,0,1347329590,0,1347329590,0,28575.388971367975,28575.388971367975,,,0.0
13,2022-08-22,19,1,19,1,37119,6563,40157,3525,1057596340,185893140,1141264480,102225000,28492.048277162638,28420.063251736934,28324.41566356849,29000.0,-3038.0
14,2022-08-21,29,0,41,1,99951,0,98851,1100,2886382040,0,2854733040,31649000,28877.970605596744,28879.15185481179,,28771.81818181818,1100.0
15,2022-08-20,33,1,15,1,149248,1752,90026,60974,4194823970,49510200,2537920030,1706414140,28106.399884755574,28190.967387199253,28259.246575342466,27985.930724571128,59222.0
16,2022-08-17,8,0,12,0,48022,0,48022,0,1355483710,0,1355483710,0,28226.306901003707,28226.306901003707,,,0.0
17,2022-08-16,25,1,23,0,58046,2000,60046,0,1632556180,56800000,1689356180,0,28125.21414050925,28134.366652233286,28400.0,,-2000.0
18,2022-08-15,25,3,35,0,235801,74531,310332,0,6619689510,2149044100,8768733610,0,28073.203718389657,28255.976212572343,28834.231393648282,,-74531.0
19,2022-08-14,14,1,37,0,111378,31665,143043,0,3169773270,903642850,4073416120,0,28459.599472068094,28476.864439364388,28537.591978525186,,-31665.0
20,2022-08-13,22,1,27,2,150527,870000,610527,410000,4288274690,24534000000,17261100920,11561173770,28488.408657583026,28272.4612015521,28200.0,28197.984804878048,-460000.0
21,2022-08-10,22,1,41,1,190734,800,64825,126709,5378145810,22584000,1817946260,3582783550,28197.100726666456,28043.90682607019,28230.0,28275.683258489928,125909.0
22,2022-08-09,39,1,25,1,434204,18324,48706,403822,12094925180,509535920,1353326290,11251134810,27855.397877495372,27785.617583049316,27807.02466710325,27861.61925303723,385498.0
23,2022-08-06,33,1,13,1,193827,76950,36581,234196,5387212770,2139979500,1014526770,6512665500,27793.92329242056,27733.707935813673,27810.0,27808.611163299116,157246.0
24,2022-08-03,41,1,19,1,614926,15075,224431,405570,17102885750,417390540,6276793970,11243482320,27812.91692008469,27967.58901399539,27687.59800995025,27722.66765293291,390495.0
25,2022-08-02,12,1,36,0,60490,37799,98289,0,1682384870,1045898330,2728283200,0,27812.611506034056,27757.767400217726,27670.0,,-37799.0
26,2022-08-01,17,2,34,0,28279,36783,65062,0,780776510,1021906720,1802683230,0,27609.763782311962,27707.15978605023,27782.038441671426,,-36783.0
27,2022-07-31,14,1,29,1,85132,53629,137863,898,2308062580,1443397360,3727174760,24285180,27111.574731005967,27035.352197471402,26914.493277890695,27043.630289532295,-52731.0
28,2022-07-30,23,0,33,1,63968,0,44183,19785,1785390140,0,1229381030,556009110,27910.67627563782,27824.752280288798,,28102.5579984837,19785.0
29,2022-07-27,33,1,76,1,419187,9369,408988,19568,11797536000,250072250,11490115930,557492320,28143.84988084077,28094.01725723004,26691.455865086988,28490.0,10199.0
30,2022-07-26,15,1,28,1,183255,48910,216212,15953,4849684880,1308874500,5725562920,432996460,26464.13402089984,26481.244889275342,26760.8771212431,27142.008399674043,-32957.0
31,2022-07-25,39,1,26,2,238003,33399,58475,212927,6396045470,872381880,1544804330,5723623020,26873.801884850192,26418.201453612655,26120.0,26880.682205638554,179528.0
32,2022-07-24,37,2,40,3,334785,175600,186010,324375,9234642940,4832719280,5148855570,8918506650,27583.801365055184,27680.530992957367,27521.18041002278,27494.43283236994,148775.0
33,2022-07-23,34,1,30,1,220247,83728,85364,218611,6160164230,2363934760,2466358510,6057740480,27969.34455406884,28892.25563469378,28233.50324861456,27710.135720526414,134883.0
34,2022-07-20,26,1,42,0,28002,104976,132978,0,782884670,2970162980,3753047650,0,27958.1697735876,28223.071861510925,28293.733615302546,,-104976.0
35,2022-07-19,27,0,16,0,74189,0,74189,0,2093071050,0,2093071050,0,28212.68719082344,28212.68719082344,,,0.0
36,2022-07-17,21,1,22,1,57013,60000,115448,1565,1650408760,1738392500,3343770760,45030500,28947.937487941348,28963.436005820804,28973.208333333332,28773.482428115018,-58435.0
37,2022-07-16,17,1,33,2,171994,60000,129036,102958,4998249230,1751622560,3761499620,2988372170,29060.602288451923,29150.776682476207,29193.709333333332,29025.157539967753,42958.0
38,2022-07-13,10,1,19,0,30003,30000,60003,0,876936950,873900000,1750836950,0,29228.30883578309,29179.15687548956,29130.0,,-30000.0
39,2022-07-12,23,2,40,1,246785,133856,353407,27234,7041921190,3892963120,10144553630,790330680,28534.640233401544,28705.016114564794,29083.21718862061,29020.0,-106622.0
