,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2018-03-17,0,1,0,1,0,14166404,0,14166404,0,127497636,0,127497636,,,9.0,9.0,0.0
1,2018-03-14,0,1,0,1,0,10000000,0,10000000,0,90000000,0,90000000,,,9.0,9.0,0.0
2,2018-03-13,1,1,0,1,100000,10000000,0,10100000,900000,90000000,0,90900000,9.0,,9.0,9.0,100000.0
3,2018-03-12,0,1,0,1,0,10000000,0,10000000,0,90000000,0,90000000,,,9.0,9.0,0.0
4,2018-03-11,0,1,0,1,0,10000000,0,10000000,0,90000000,0,90000000,,,9.0,9.0,0.0
5,2018-03-10,0,1,0,1,0,50000,0,50000,0,450000,0,450000,,,9.0,9.0,0.0
6,2018-03-07,0,1,0,1,0,50000,0,50000,0,500000,0,500000,,,10.0,10.0,0.0
7,2018-03-03,2,0,0,1,250000,0,0,250000,2700000,0,0,2700000,10.8,,,10.8,250000.0
8,2018-02-28,4,1,0,1,1300000,100000,0,1400000,13000000,1000000,0,14000000,10.0,,10.0,10.0,1300000.0
9,2017-12-20,27,0,47,0,4913683,0,4913683,0,359862514,0,359862514,0,73.23681930641435,73.23681930641435,,,0.0
10,2017-12-19,15,1,37,0,2605703,1100000,3705703,0,198771194,83605279,282376473,0,76.28313510787684,76.20051391058593,76.00479909090909,,-1100000.0
11,2017-12-18,5,2,14,0,174370,1750000,1924370,0,12520340,122500000,135020340,0,71.80329185066239,70.1633989305591,70.0,,-1750000.0
12,2017-12-17,11,1,21,0,882194,490667,1372861,0,63242884,34346690,97589574,0,71.6881819645112,71.08481776377944,70.0,,-490667.0
13,2017-12-16,18,1,13,1,2084995,284483,1369478,1000000,154727927,21051742,102215666,73564003,74.21021489260166,74.63841405265364,74.0,73.564003,715517.0
14,2017-12-13,19,2,22,0,1455640,316970,1772610,0,118149726,25357600,143507326,0,81.16685856393065,80.95820626082444,80.0,,-316970.0
15,2017-12-05,24,0,31,0,1508521,0,1508521,0,132160424,0,132160424,0,87.60927027200815,87.60927027200815,,,0.0
16,2017-12-04,21,0,14,0,1090764,0,1090764,0,101869006,0,101869006,0,93.39234334833199,93.39234334833199,,,0.0
17,2017-12-03,20,0,32,0,2983808,0,2983808,0,299468099,0,299468099,0,100.36439978711768,100.36439978711768,,,0.0
18,2017-12-02,13,0,42,0,4084537,0,4084537,0,379077644,0,379077644,0,92.8079838669597,92.8079838669597,,,0.0
19,2017-11-29,33,1,15,0,2604410,400000,3004410,0,227292857,35400000,262692857,0,87.2723023640671,87.43575510665988,88.5,,-400000.0
20,2017-11-28,16,0,10,1,1372033,0,372033,1000000,128830424,0,35193752,93636672,93.89746748073844,94.59846841543626,,93.636672,1000000.0
21,2017-11-26,35,0,28,0,3730463,0,3730463,0,372678037,0,372678037,0,99.90128222689783,99.90128222689783,,,0.0
22,2017-11-25,27,0,55,0,9876431,0,9876431,0,1080847840,0,1080847840,0,109.4370871421063,109.4370871421063,,,0.0
23,2017-11-22,6,0,38,1,4424546,0,1474546,2950000,442454600,0,147454600,295000000,100.0,100.0,,100.0,2950000.0
24,2017-11-21,32,0,79,3,10447915,0,4176708,6271207,954056502,0,382022640,572033862,91.31549232550226,91.46501024251636,,91.21591138675537,6271207.0
25,2017-11-20,25,2,46,1,2786801,2702991,4389792,1100000,235134099,224917509,368584608,91467000,84.37419787060504,83.96402563037155,83.21060225505745,83.15181818181819,-1602991.0
26,2017-11-18,20,1,25,0,1654331,3988,1658319,0,151503231,354932,151858163,0,91.57975701356017,91.57355309804687,89.0,,-3988.0
27,2017-11-15,47,0,44,1,4309716,0,2809716,1500000,421273143,0,280795103,140478040,97.74962967397387,99.93718333098434,,93.65202666666667,1500000.0
