,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,3,0,1,0,698,0,698,0,27745500,0,27745500,0,39750.0,39750.0,,,0.0
1,2022-09-07,5,0,1,0,1761,0,1761,0,69999750,0,69999750,0,39750.0,39750.0,,,0.0
2,2022-09-06,10,0,1,0,2092,0,2092,0,83157000,0,83157000,0,39750.0,39750.0,,,0.0
3,2022-09-05,3,0,1,0,4252,0,4252,0,169229600,0,169229600,0,39800.0,39800.0,,,0.0
4,2022-09-04,17,0,1,0,12974,0,12974,0,517662600,0,517662600,0,39900.0,39900.0,,,0.0
5,2022-09-03,6,0,1,0,2912,0,2912,0,116188800,0,116188800,0,39900.0,39900.0,,,0.0
6,2022-08-31,5,0,1,0,1652,0,1652,0,65914800,0,65914800,0,39900.0,39900.0,,,0.0
7,2022-08-30,6,0,2,0,3004,0,3004,0,119859600,0,119859600,0,39900.0,39900.0,,,0.0
8,2022-08-29,13,0,3,0,7576,0,7576,0,302661200,0,302661200,0,39950.0,39950.0,,,0.0
9,2022-08-28,48,0,9,1,112319,0,94681,17638,4532071650,0,3820378350,711693300,40350.0,40350.0,,40350.0,17638.0
10,2022-08-27,116,1,44,0,311908,1000,312908,0,12712975050,40400000,12753375050,0,40758.7335047514,40757.58705434185,40400.0,,-1000.0
11,2022-08-24,11,0,19,0,81845,0,81845,0,3322907000,0,3322907000,0,40600.0,40600.0,,,0.0
12,2022-08-23,14,0,17,0,78289,0,78289,0,3147217800,0,3147217800,0,40200.0,40200.0,,,0.0
13,2022-08-22,9,0,18,0,60767,0,60767,0,2421564950,0,2421564950,0,39850.0,39850.0,,,0.0
14,2022-08-21,38,1,18,0,104807,17643,122450,0,4139876500,696898500,4836775000,0,39500.0,39500.0,39500.0,,-17643.0
15,2022-08-20,13,0,27,0,53105,0,53105,0,2081716000,0,2081716000,0,39200.0,39200.0,,,0.0
16,2022-08-17,31,0,9,0,138317,0,138317,0,5373615450,0,5373615450,0,38850.0,38850.0,,,0.0
17,2022-08-16,16,0,16,0,30628,0,30628,0,1185303600,0,1185303600,0,38700.0,38700.0,,,0.0
18,2022-08-15,21,0,15,0,28082,0,28082,0,1082561100,0,1082561100,0,38550.0,38550.0,,,0.0
19,2022-08-14,178,0,99,0,739087,0,739087,0,28215471900,0,28215471900,0,38176.11715535519,38176.11715535519,,,0.0
20,2022-08-13,50,1,27,0,293113,11440,304553,0,11167605300,435864000,11603469300,0,38100.0,38100.0,38100.0,,-11440.0
21,2022-08-10,1,0,3,0,2134,0,2134,0,80558500,0,80558500,0,37750.0,37750.0,,,0.0
22,2022-08-09,11,1,10,0,51830,20000,71830,0,1938442000,748000000,2686442000,0,37400.0,37400.0,37400.0,,-20000.0
23,2022-08-06,12,1,5,0,50012,9000,59012,0,1855445200,333900000,2189345200,0,37100.0,37100.0,37100.0,,-9000.0
24,2022-08-03,1,0,4,0,51510,0,51510,0,1898143500,0,1898143500,0,36850.0,36850.0,,,0.0
25,2022-08-02,1,0,7,0,5926,0,5926,0,218076800,0,218076800,0,36800.0,36800.0,,,0.0
26,2022-08-01,8,0,11,0,45719,0,45719,0,1671029450,0,1671029450,0,36550.0,36550.0,,,0.0
27,2022-07-31,3,0,13,0,29651,0,29651,0,1079296400,0,1079296400,0,36400.0,36400.0,,,0.0
28,2022-07-30,8,0,16,0,109899,0,109899,0,3961858950,0,3961858950,0,36050.0,36050.0,,,0.0
29,2022-07-27,4,0,16,1,16882,0,16126,756,606907900,0,579729700,27178200,35950.0,35950.0,,35950.0,756.0
30,2022-07-26,7,0,13,0,64632,0,64632,0,2304130800,0,2304130800,0,35650.0,35650.0,,,0.0
31,2022-07-25,6,0,15,0,47479,0,47479,0,1680756600,0,1680756600,0,35400.0,35400.0,,,0.0
32,2022-07-24,11,0,16,0,57517,0,57517,0,2018846700,0,2018846700,0,35100.0,35100.0,,,0.0
33,2022-07-23,4,0,20,0,31752,0,31752,0,1109732400,0,1109732400,0,34950.0,34950.0,,,0.0
34,2022-07-20,4,0,12,1,64996,0,62996,2000,2255361200,0,2185961200,69400000,34700.0,34700.0,,34700.0,2000.0
35,2022-07-19,1,0,7,0,18635,0,18635,0,644771000,0,644771000,0,34600.0,34600.0,,,0.0
36,2022-07-17,5,0,14,0,20705,0,20705,0,714322500,0,714322500,0,34500.0,34500.0,,,0.0
37,2022-07-16,6,0,23,0,15069,0,15069,0,519127050,0,519127050,0,34450.0,34450.0,,,0.0
38,2022-07-13,7,0,10,0,62911,0,62911,0,2151556200,0,2151556200,0,34200.0,34200.0,,,0.0
39,2022-07-12,5,0,25,0,56818,0,56818,0,1928971100,0,1928971100,0,33950.0,33950.0,,,0.0
40,2022-07-11,7,1,27,0,48975,6005,54980,0,1652906250,202668750,1855575000,0,33750.0,33750.0,33750.0,,-6005.0
41,2022-07-09,7,0,22,0,57079,0,57079,0,1912146500,0,1912146500,0,33500.0,33500.0,,,0.0
42,2022-07-06,139,1,35,0,625368,14500,639868,0,20760311400,481400000,21241711400,0,33196.95187473616,33197.02094807054,33200.0,,-14500.0
43,2022-07-05,3,0,34,0,72452,0,72452,0,2383670800,0,2383670800,0,32900.0,32900.0,,,0.0
44,2022-07-04,3,0,26,0,62729,0,62729,0,2048101850,0,2048101850,0,32650.0,32650.0,,,0.0
45,2022-07-03,8,0,10,0,72523,0,72523,0,2346119050,0,2346119050,0,32350.0,32350.0,,,0.0
46,2022-07-02,2,1,17,0,5432,68000,73432,0,174095600,2179400000,2353495600,0,32050.0,32050.0,32050.0,,-68000.0
47,2022-06-29,20,1,14,0,68283,2000,70283,0,2171399400,63600000,2234999400,0,31800.0,31800.0,31800.0,,-2000.0
48,2022-06-28,13,1,29,0,37644,10000,47644,0,1189550400,316000000,1505550400,0,31600.0,31600.0,31600.0,,-10000.0
49,2022-06-27,143,1,74,0,461727,14400,476127,0,14455876300,453600000,14909476300,0,31308.27588596725,31314.074396117,31500.0,,-14400.0
50,2022-06-26,117,1,77,0,473122,32851,505973,0,14764028650,1018404300,15782432950,0,31205.542439370816,31192.243360811743,31000.709263036133,,-32851.0
51,2022-06-25,68,0,12,0,280221,0,280221,0,8745386050,0,8745386050,0,31208.888876993515,31208.888876993515,,,0.0
52,2022-06-22,3,0,2,0,10001,0,10001,0,309530950,0,309530950,0,30950.0,30950.0,,,0.0
53,2022-06-21,2,0,3,0,13470,0,13470,0,412855500,0,412855500,0,30650.0,30650.0,,,0.0
54,2022-06-20,3,0,7,0,22235,0,22235,0,674832250,0,674832250,0,30350.0,30350.0,,,0.0
55,2022-06-19,1,0,3,0,17552,0,17552,0,527437600,0,527437600,0,30050.0,30050.0,,,0.0
56,2022-06-18,5,0,6,0,19249,0,19249,0,573620200,0,573620200,0,29800.0,29800.0,,,0.0
57,2022-06-15,8,0,3,0,11008,0,11008,0,325286400,0,325286400,0,29550.0,29550.0,,,0.0
58,2022-06-14,3,0,2,0,11440,0,11440,0,335192000,0,335192000,0,29300.0,29300.0,,,0.0
59,2022-06-13,4,0,5,0,10616,0,10616,0,308394800,0,308394800,0,29050.0,29050.0,,,0.0
60,2022-06-12,4,0,3,0,14511,0,14511,0,417916800,0,417916800,0,28800.0,28800.0,,,0.0
61,2022-06-11,3,0,4,0,13110,0,13110,0,374290500,0,374290500,0,28550.0,28550.0,,,0.0
62,2022-06-08,15,0,10,0,36646,0,36646,0,1037081800,0,1037081800,0,28300.0,28300.0,,,0.0
63,2022-06-07,2,0,5,0,0,0,0,0,0,0,0,0,,,,,0.0
64,2022-06-06,2,0,6,0,0,0,0,0,0,0,0,0,,,,,0.0
65,2022-06-01,3,0,3,0,50193,0,50193,0,1407913650,0,1407913650,0,28050.0,28050.0,,,0.0
66,2022-05-31,7,0,2,0,30185,0,30185,0,839143000,0,839143000,0,27800.0,27800.0,,,0.0
67,2022-05-30,26,0,9,0,138958,0,138958,0,3828292900,0,3828292900,0,27550.0,27550.0,,,0.0
68,2022-05-29,26,0,8,0,57549,0,57549,0,1571087700,0,1571087700,0,27300.0,27300.0,,,0.0
69,2022-05-28,1,0,4,0,5458,0,5458,0,147638900,0,147638900,0,27050.0,27050.0,,,0.0
70,2022-05-25,7,0,5,0,6650,0,6650,0,178220000,0,178220000,0,26800.0,26800.0,,,0.0
71,2022-05-24,2,0,2,0,10190,0,10190,0,270544500,0,270544500,0,26550.0,26550.0,,,0.0
72,2022-05-23,1,0,5,0,7610,0,7610,0,200143000,0,200143000,0,26300.0,26300.0,,,0.0
73,2022-05-22,1,0,2,0,0,0,0,0,0,0,0,0,,,,,0.0
74,2022-05-21,21,0,14,0,131966,0,131966,0,3437714300,0,3437714300,0,26050.0,26050.0,,,0.0
75,2022-05-18,28,0,9,1,312896,0,303454,9442,8072716800,0,7829113200,243603600,25800.0,25800.0,,25800.0,9442.0
76,2022-05-17,15,0,17,0,208034,0,208034,0,5315268700,0,5315268700,0,25550.0,25550.0,,,0.0
77,2022-05-16,6,0,9,0,27132,0,27132,0,686439600,0,686439600,0,25300.0,25300.0,,,0.0
78,2022-05-15,5,0,10,0,41481,0,41481,0,1039099050,0,1039099050,0,25050.0,25050.0,,,0.0
79,2022-05-14,2,0,4,0,12521,0,12521,0,311146850,0,311146850,0,24850.0,24850.0,,,0.0
80,2022-05-11,10,0,6,0,21151,0,21151,0,521372150,0,521372150,0,24650.0,24650.0,,,0.0
81,2022-05-10,1,0,3,0,5075,0,5075,0,124083750,0,124083750,0,24450.0,24450.0,,,0.0
82,2022-05-09,8,0,8,0,31256,0,31256,0,757958000,0,757958000,0,24250.0,24250.0,,,0.0
83,2022-05-08,4,0,9,0,6251,0,6251,0,150336550,0,150336550,0,24050.0,24050.0,,,0.0
84,2022-05-07,1,0,2,0,50,0,50,0,1192500,0,1192500,0,23850.0,23850.0,,,0.0
85,2022-05-02,1,0,3,0,101,0,101,0,2388650,0,2388650,0,23650.0,23650.0,,,0.0
86,2022-05-01,2,0,5,0,5470,0,5470,0,128271500,0,128271500,0,23450.0,23450.0,,,0.0
87,2022-04-30,4,0,6,0,62774,0,62774,0,1459495500,0,1459495500,0,23250.0,23250.0,,,0.0
88,2022-04-27,1,0,2,0,529,0,529,0,12193450,0,12193450,0,23050.0,23050.0,,,0.0
89,2022-04-26,3,0,5,0,6725,0,6725,0,153666250,0,153666250,0,22850.0,22850.0,,,0.0
90,2022-04-25,1,0,1,0,225,0,225,0,5096250,0,5096250,0,22650.0,22650.0,,,0.0
91,2022-04-24,2,0,8,0,5001,0,5001,0,112272450,0,112272450,0,22450.0,22450.0,,,0.0
92,2022-04-20,10,0,16,0,52443,0,52443,0,1166856750,0,1166856750,0,22250.0,22250.0,,,0.0
93,2022-04-19,4,0,13,0,26625,0,26625,0,587081250,0,587081250,0,22050.0,22050.0,,,0.0
94,2022-04-18,2,0,1,0,500,0,500,0,10925000,0,10925000,0,21850.0,21850.0,,,0.0
95,2022-04-17,1,0,1,0,250,0,250,0,5412500,0,5412500,0,21650.0,21650.0,,,0.0
96,2022-04-16,3,0,10,0,50304,0,50304,0,1068960000,0,1068960000,0,21250.0,21250.0,,,0.0
97,2022-04-13,5,0,2,0,20240,0,20240,0,425849600,0,425849600,0,21040.0,21040.0,,,0.0
98,2022-04-12,2,0,3,0,1250,0,1250,0,26050000,0,26050000,0,20840.0,20840.0,,,0.0
99,2022-04-11,1,0,1,0,1557,0,1557,0,32136480,0,32136480,0,20640.0,20640.0,,,0.0
100,2022-04-10,6,0,12,0,25351,0,25351,0,513104240,0,513104240,0,20240.0,20240.0,,,0.0
