,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2017-10-18,1,0,0,1,22822779,0,0,22822779,22936779000,0,0,22936779000,1004.9950095910757,,,1004.9950095910757,22822779.0
1,2017-10-17,0,1,0,1,0,500000,0,500000,0,523500000,0,523500000,,,1047.0,1047.0,0.0
2,2017-10-16,3,1,0,1,1400000,1400000,0,2800000,1333500000,1331500000,0,2665000000,952.5,,951.0714285714286,951.7857142857143,1400000.0
3,2017-07-25,12,2,26,2,142915,1535005,631511,1046409,117905985,1352604768,546873619,923637134,825.007766854424,865.9763947104643,881.1728743554581,882.6731555252296,-488596.0
4,2017-07-24,21,3,56,3,947341,3479298,2874139,1552500,812914212,3093603263,2532982475,1373535000,858.1009499219394,881.3013131932728,889.1458170584986,884.7246376811594,-1926798.0
5,2017-07-19,2,1,17,1,325047,16000,241047,100000,245834565,11904526,181839091,75900000,756.3046728626937,754.3719316149962,744.032875,759.0,84000.0
6,2017-07-18,2,1,8,0,14244,20883,35127,0,10400424,15004746,25405170,0,730.1617523167649,723.2376804167734,718.5148685533687,,-20883.0
7,2017-07-17,7,1,13,0,162217,175000,337217,0,112206838,121545334,233752172,0,691.7082549917703,693.1802726434314,694.5447657142857,,-175000.0
8,2017-07-16,3,1,7,0,9170,200000,209170,0,6417910,140000000,146417910,0,699.8811341330426,699.9947889276665,700.0,,-200000.0
9,2017-07-15,1,1,7,0,5002,143006,148008,0,3351350,102773538,106124888,0,670.0019992003199,717.0212961461542,718.6659161154078,,-143006.0
10,2017-07-10,4,2,17,1,73562,312206,235768,150000,53963545,229597888,173061433,110500000,733.579089747424,734.032748294934,735.4051107281731,736.6666666666666,-162206.0
11,2017-07-09,0,1,6,0,0,15000,15000,0,0,10767578,10767578,0,,717.8385333333333,717.8385333333333,,-15000.0
12,2017-07-08,2,1,18,1,14000,308251,222251,100000,9376000,214489072,153915072,69950000,669.7142857142857,692.5281416056621,695.8260378717343,699.5,-208251.0
13,2017-07-05,2,1,3,0,27222,24138,51360,0,18093583,16003494,34097077,0,664.6676585114981,663.8838979750778,663.0,,-24138.0
14,2017-07-04,3,2,8,0,21732,92268,114000,0,13987712,60952130,74939842,0,643.645867844653,657.3670350877193,660.5987991503013,,-92268.0
15,2017-07-03,8,0,8,0,62109,0,62109,0,41187158,0,41187158,0,663.1431515561352,663.1431515561352,,,0.0
16,2017-07-02,2,0,1,0,1600,0,1600,0,1056000,0,1056000,0,660.0,660.0,,,0.0
17,2017-07-01,3,1,8,0,31415,65561,96976,0,21580171,45855539,67435710,0,686.9384370523635,695.3855593136446,699.4331843626546,,-65561.0
18,2017-06-28,5,0,5,0,12204,0,12204,0,7934750,0,7934750,0,650.1761717469682,650.1761717469682,,,0.0
19,2017-06-25,5,1,14,0,89009,335895,424904,0,59698074,224446278,284144352,0,670.6970531069892,668.7259992845443,668.2036886527039,,-335895.0
20,2017-06-24,25,2,3,1,1608993,400000,19057,1989936,999248884,247200000,13236048,1233212836,621.0399199996519,694.5504539014536,618.0,619.7248735637729,1589936.0
21,2017-06-21,8,0,3,0,110683,0,110683,0,75918461,0,75918461,0,685.9089562082704,685.9089562082704,,,0.0
22,2017-06-20,2,0,5,1,47677,0,28684,18993,33724612,0,20189512,13535100,707.3559997483063,703.8597127318366,,712.6362344021481,18993.0
23,2017-06-19,4,0,7,2,83382,0,38382,45000,59398620,0,27588620,31810000,712.3674174282219,718.7905789172007,,706.8888888888889,45000.0
24,2017-06-18,7,1,5,0,51491,130000,181491,0,36098100,91000000,127098100,0,701.05649530986,700.2997393810161,700.0,,-130000.0
25,2017-06-17,8,0,6,2,334788,0,166774,168014,244691769,0,118049606,126642163,730.8857217104555,707.8417858898869,,753.7595855107312,168014.0
26,2017-06-14,6,0,4,0,87267,0,87267,0,65659024,0,65659024,0,752.3923590818981,752.3923590818981,,,0.0
27,2017-06-13,4,0,1,1,16200,0,15000,1200,12355000,0,11323000,1032000,762.6543209876543,754.8666666666667,,860.0,1200.0
28,2017-06-12,7,0,12,1,80910,0,70910,10000,65731338,0,57181338,8550000,812.4006674082314,806.3931462417148,,855.0,10000.0
29,2017-06-11,1,0,1,0,1000,0,1000,0,867000,0,867000,0,867.0,867.0,,,0.0
30,2017-06-10,3,0,4,0,19658,0,19658,0,15589869,0,15589869,0,793.0546851154746,793.0546851154746,,,0.0
31,2017-06-07,19,0,7,0,547743,0,547743,0,437871468,0,437871468,0,799.410431534497,799.410431534497,,,0.0
