,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2018-04-23,1,1,0,1,100,20264920,0,20265020,1000,202649200,0,202650200,10.0,,10.0,10.0,100.0
1,2017-10-28,14,0,35,1,3699174,0,3619174,80000,338011977,0,330651977,7360000,91.37498722687822,91.36117163750623,,92.0,80000.0
2,2017-10-25,17,0,46,1,1852833,0,1846133,6700,186855942,0,186172542,683400,100.84877698097993,100.84459895359652,,102.0,6700.0
3,2017-10-24,6,0,1,0,117444,0,117444,0,11274624,0,11274624,0,96.0,96.0,,,0.0
4,2017-10-23,7,0,6,0,759690,0,759690,0,80527140,0,80527140,0,106.0,106.0,,,0.0
5,2017-10-22,16,0,10,0,865850,0,865850,0,101402586,0,101402586,0,117.11334064791824,117.11334064791824,,,0.0
6,2017-10-21,13,0,18,1,801485,0,571313,230172,102736550,0,71910824,30825726,128.1827482735173,125.86939908596514,,133.92474323549345,230172.0
7,2017-10-18,15,0,30,0,1218830,0,1218830,0,158311056,0,158311056,0,129.88772511342844,129.88772511342844,,,0.0
8,2017-10-17,10,0,20,0,1186818,0,1186818,0,162641045,0,162641045,0,137.0395839968723,137.0395839968723,,,0.0
9,2017-10-16,15,0,20,2,2023220,0,1997220,26000,308522814,0,304564814,3958000,152.49098664505095,152.49437418011036,,152.23076923076923,26000.0
10,2017-10-15,16,0,12,0,915752,0,915752,0,153866985,0,153866985,0,168.02254868130237,168.02254868130237,,,0.0
11,2017-10-14,36,0,66,0,4347033,0,4347033,0,698933292,0,698933292,0,160.78398576684373,160.78398576684373,,,0.0
12,2017-10-11,3,0,1,0,22580,0,22580,0,3996660,0,3996660,0,177.0,177.0,,,0.0
13,2017-10-10,3,0,2,0,60767,0,60767,0,11910332,0,11910332,0,196.0,196.0,,,0.0
14,2017-10-09,6,0,11,0,471113,0,471113,0,102231521,0,102231521,0,217.0,217.0,,,0.0
15,2017-10-08,11,0,16,0,692439,0,692439,0,167099155,0,167099155,0,241.31967581259866,241.31967581259866,,,0.0
16,2017-10-07,27,0,33,1,2212924,0,2089924,123000,585943300,0,553963300,31980000,264.7823874656337,265.0638492117417,,260.0,123000.0
17,2017-10-04,53,0,39,2,4281810,0,1835326,2446484,1095752352,0,469454448,626297904,255.90868160894576,255.7880441948733,,255.99918250027386,2446484.0
18,2017-10-03,15,0,17,1,630301,0,595048,35253,146860133,0,138646184,8213949,233.0,233.0,,233.0,35253.0
19,2017-10-02,26,0,19,2,2502826,0,2447826,55000,530558312,0,518928312,11630000,211.98369842729778,211.99558792169051,,211.45454545454547,55000.0
20,2017-09-27,16,0,52,2,1890284,0,1710284,180000,365519866,0,330166846,35353020,193.36769818715072,193.0479651332761,,196.40566666666666,180000.0
21,2017-09-26,27,0,95,2,7076930,0,6864930,212000,1290223883,0,1249403883,40820000,182.3140659862398,181.99805140037844,,192.54716981132074,212000.0
22,2017-09-25,33,0,33,1,4037308,0,686913,3350395,709897764,0,117961303,591936461,175.8344332411597,171.7267004700741,,176.67661902551788,3350395.0
23,2017-09-24,19,0,73,2,1159232,0,959232,200000,203338524,0,168438524,34900000,175.4079632032242,175.59727365225513,,174.5,200000.0
24,2017-09-23,5,0,19,3,585369,0,145369,440000,94244409,0,23404409,70840000,161.0,161.0,,161.0,440000.0
25,2017-09-20,2,0,12,0,94546,0,94546,0,13898262,0,13898262,0,147.0,147.0,,,0.0
26,2017-09-19,4,0,21,0,129694,0,129694,0,17378996,0,17378996,0,134.0,134.0,,,0.0
27,2017-09-18,9,0,14,2,1214439,0,795047,419392,148161558,0,96995734,51165824,122.0,122.0,,122.0,419392.0
28,2017-09-17,2,0,15,0,96301,0,96301,0,10689411,0,10689411,0,111.0,111.0,,,0.0
29,2017-09-16,21,0,62,1,920736,0,900736,20000,93331932,0,91231932,2100000,101.36665884683558,101.28598390649424,,105.0,20000.0
30,2017-09-13,16,0,66,0,1498043,0,1498043,0,143656894,0,143656894,0,95.89637547119808,95.89637547119808,,,0.0
31,2017-09-12,1,0,16,0,40279,0,40279,0,3544552,0,3544552,0,88.0,88.0,,,0.0
32,2017-09-11,3,0,19,0,184730,0,184730,0,14778400,0,14778400,0,80.0,80.0,,,0.0
33,2017-09-10,14,0,58,0,1620570,0,1620570,0,118595150,0,118595150,0,73.18113379860172,73.18113379860172,,,0.0
34,2017-09-06,2,0,26,0,332596,0,332596,0,23654316,0,23654316,0,71.12026602845494,71.12026602845494,,,0.0
35,2017-09-05,4,0,27,0,195607,0,195607,0,14386059,0,14386059,0,73.54572689116442,73.54572689116442,,,0.0
