,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,79,8,65,0,50834,79640,130474,0,4978292500,7808849050,12787141550,0,97932.33859228075,98005.2849609884,98051.84643395279,,-79640.0
1,2022-09-07,103,6,85,0,110097,168591,278688,0,10921791050,16720600750,27642391800,0,99201.53183102174,99187.59257664485,99178.48965840407,,-168591.0
2,2022-09-06,50,3,57,1,85454,20287,95741,10000,8589127550,2034401800,9613529350,1010000000,100511.70863856577,100411.83348826521,100281.05683442598,101000.0,-10287.0
3,2022-09-05,55,5,89,0,63177,53059,116236,0,6349694300,5324974000,11674668300,0,100506.42322364151,100439.3501152827,100359.4866092463,,-53059.0
4,2022-09-04,78,4,71,3,104330,44603,82751,66182,10452129650,4444959200,8297016550,6600072300,100183.35713601073,100264.84936737924,99656.05900948367,99726.09319754616,21579.0
5,2022-09-03,130,5,75,1,178733,39666,218393,6,17682924800,3951680650,21634002850,602600,98934.86261630477,99059.96460509265,99623.87561135482,100433.33333333333,-39660.0
6,2022-08-31,82,5,88,1,119581,38200,147631,10150,12022018900,3823900000,14819783900,1026135000,100534.52387921159,100383.95662157677,100102.0942408377,101097.04433497536,-28050.0
7,2022-08-30,146,4,103,1,144357,27060,161417,10000,14405451500,2719496400,16130287100,994660800,99790.46045567586,99929.29555127403,100498.75831485588,99466.08,-17060.0
8,2022-08-29,151,3,104,2,238438,39013,250823,26628,24168523500,3942846500,25421303100,2690066900,101361.87814022932,101351.56305442483,101064.93989183093,101023.99354063392,-12385.0
9,2022-08-28,192,1,237,3,504761,10000,442539,72222,51007094100,991500000,44661471300,7337122800,101051.97132900522,100920.98391328222,99150.0,101591.24366536512,62222.0
