,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,25,0,17,0,105062,0,105062,0,1475070480,0,1475070480,0,14040.0,14040.0,,,0.0
1,2022-09-07,53,1,65,0,720942,7076,728018,0,9927600440,99630080,10027230520,0,13770.317778683999,13773.327747390862,14080.0,,-7076.0
2,2022-09-06,18,0,8,0,145884,0,145884,0,1991603000,0,1991603000,0,13651.96320364125,13651.96320364125,,,0.0
3,2022-09-05,15,0,1,0,31996,0,31996,0,437385320,0,437385320,0,13670.0,13670.0,,,0.0
4,2022-09-04,18,0,10,0,73691,0,73691,0,1012715720,0,1012715720,0,13742.732762481171,13742.732762481171,,,0.0
5,2022-09-03,14,0,6,0,32731,0,32731,0,449749740,0,449749740,0,13740.78824356115,13740.78824356115,,,0.0
6,2022-08-31,30,0,23,0,79473,0,79473,0,1105144310,0,1105144310,0,13905.909050872624,13905.909050872624,,,0.0
7,2022-08-30,15,0,24,0,167852,0,167852,0,2361333950,0,2361333950,0,14067.95242237209,14067.95242237209,,,0.0
8,2022-08-29,16,0,10,0,95946,0,95946,0,1328004000,0,1328004000,0,13841.160652867238,13841.160652867238,,,0.0
9,2022-08-28,18,0,23,0,33257,0,33257,0,461329800,0,461329800,0,13871.660101632739,13871.660101632739,,,0.0
10,2022-08-27,53,0,33,1,407024,0,405524,1500,5752114660,0,5730964660,21150000,14132.126508510555,14132.245341829337,,14100.0,1500.0
11,2022-08-24,16,0,3,0,22162,0,22162,0,312939440,0,312939440,0,14120.54146737659,14120.54146737659,,,0.0
12,2022-08-23,59,0,22,0,222595,0,222595,0,3184163570,0,3184163570,0,14304.739863878343,14304.739863878343,,,0.0
13,2022-08-22,24,0,22,0,99701,0,99701,0,1447798050,0,1447798050,0,14521.39948445853,14521.39948445853,,,0.0
14,2022-08-21,19,0,37,0,289571,0,289571,0,4233292710,0,4233292710,0,14619.187384095783,14619.187384095783,,,0.0
15,2022-08-20,20,0,18,0,71932,0,71932,0,1025469670,0,1025469670,0,14256.09839848746,14256.09839848746,,,0.0
16,2022-08-17,18,0,20,0,138467,0,138467,0,1968460630,0,1968460630,0,14216.099359414156,14216.099359414156,,,0.0
17,2022-08-16,20,0,22,0,102994,0,102994,0,1486742060,0,1486742060,0,14435.22981921277,14435.22981921277,,,0.0
18,2022-08-15,24,0,34,0,128591,0,128591,0,1877047400,0,1877047400,0,14597.035562364395,14597.035562364395,,,0.0
19,2022-08-14,20,0,25,0,231681,0,231681,0,3367079210,0,3367079210,0,14533.255683461311,14533.255683461311,,,0.0
20,2022-08-13,27,0,29,0,179229,0,179229,0,2592240170,0,2592240170,0,14463.285350027061,14463.285350027061,,,0.0
21,2022-08-10,17,0,18,0,81997,0,81997,0,1184609560,0,1184609560,0,14446.986597070625,14446.986597070625,,,0.0
22,2022-08-09,12,0,17,0,122314,0,122314,0,1758062400,0,1758062400,0,14373.353827035335,14373.353827035335,,,0.0
23,2022-08-06,22,0,31,0,57871,0,57871,0,825138380,0,825138380,0,14258.236076791485,14258.236076791485,,,0.0
24,2022-08-03,16,0,32,0,183216,0,183216,0,2600804540,0,2600804540,0,14195.291568421972,14195.291568421972,,,0.0
25,2022-08-02,10,0,34,0,99631,0,99631,0,1409490680,0,1409490680,0,14147.109634551494,14147.109634551494,,,0.0
26,2022-08-01,39,0,43,0,156245,0,156245,0,2177095180,0,2177095180,0,13933.855035361132,13933.855035361132,,,0.0
27,2022-07-31,21,0,53,0,261850,0,261850,0,3646023440,0,3646023440,0,13924.091808287187,13924.091808287187,,,0.0
28,2022-07-30,10,0,11,0,65652,0,65652,0,906597070,0,906597070,0,13809.131024188144,13809.131024188144,,,0.0
29,2022-07-27,43,0,39,0,193811,0,193811,0,2684138570,0,2684138570,0,13849.258143242643,13849.258143242643,,,0.0
30,2022-07-26,11,0,17,0,62629,0,62629,0,878566110,0,878566110,0,14028.103753852049,14028.103753852049,,,0.0
31,2022-07-19,20,0,26,0,101134,0,101134,0,1378800610,0,1378800610,0,13633.403306504242,13633.403306504242,,,0.0
32,2022-07-17,14,0,12,0,46430,0,46430,0,633127020,0,633127020,0,13636.16239500323,13636.16239500323,,,0.0
33,2022-07-16,43,0,42,0,277116,0,277116,0,3836170280,0,3836170280,0,13843.193031077239,13843.193031077239,,,0.0
34,2022-07-13,54,0,35,0,738499,0,738499,0,10414076040,0,10414076040,0,14101.67927106198,14101.67927106198,,,0.0
35,2022-07-11,10,0,27,0,152837,0,152837,0,2239062050,0,2239062050,0,14650.0,14650.0,,,0.0
36,2022-07-09,24,0,55,0,318855,0,318855,0,4588969830,0,4588969830,0,14392.027191042951,14392.027191042951,,,0.0
37,2022-07-06,29,0,22,0,345948,0,345948,0,4906668330,0,4906668330,0,14183.253928336051,14183.253928336051,,,0.0
38,2022-07-05,64,0,65,0,240754,0,240754,0,3466080900,0,3466080900,0,14396.773885376775,14396.773885376775,,,0.0
39,2022-07-04,98,0,94,0,624446,0,624446,0,9122199020,0,9122199020,0,14608.467377483401,14608.467377483401,,,0.0
40,2022-07-03,5,0,1,0,5029,0,5029,0,72920500,0,72920500,0,14500.0,14500.0,,,0.0
41,2022-07-02,2,0,1,0,8113,0,8113,0,117719630,0,117719630,0,14510.0,14510.0,,,0.0
42,2022-06-29,2,0,1,0,1150,0,1150,0,16686500,0,16686500,0,14510.0,14510.0,,,0.0
43,2022-06-28,1,0,1,0,350,0,350,0,5078500,0,5078500,0,14510.0,14510.0,,,0.0
44,2022-06-27,6,0,2,0,18191,0,18191,0,264315230,0,264315230,0,14530.0,14530.0,,,0.0
45,2022-06-26,11,0,9,0,21692,0,21692,0,315638400,0,315638400,0,14550.912778904665,14550.912778904665,,,0.0
46,2022-06-25,88,0,103,0,668540,0,668540,0,9919701280,0,9919701280,0,14837.857540311725,14837.857540311725,,,0.0
47,2022-06-22,135,0,99,1,1337912,0,1337801,111,19899744720,0,19898113020,1631700,14873.732143818128,14873.746558718374,,14700.0,111.0
48,2022-06-19,3,0,1,0,917,0,917,0,15900780,0,15900780,0,17340.0,17340.0,,,0.0
49,2022-06-18,2,0,1,0,1140,0,1140,0,19767600,0,19767600,0,17340.0,17340.0,,,0.0
50,2022-06-15,6,0,2,0,9558,0,9558,0,165831300,0,165831300,0,17350.0,17350.0,,,0.0
51,2022-06-14,5,0,1,0,5615,0,5615,0,97476400,0,97476400,0,17360.0,17360.0,,,0.0
52,2022-06-13,20,0,3,0,37228,0,37228,0,636226520,0,636226520,0,17090.0,17090.0,,,0.0
53,2022-06-12,3,0,1,0,1413,0,1413,0,24656850,0,24656850,0,17450.0,17450.0,,,0.0
54,2022-06-11,5,0,1,0,7180,0,7180,0,125362800,0,125362800,0,17460.0,17460.0,,,0.0
55,2022-06-08,7,0,2,0,16103,0,16103,0,281480440,0,281480440,0,17480.0,17480.0,,,0.0
56,2022-06-07,5,0,1,0,2710,0,2710,0,47370800,0,47370800,0,17480.0,17480.0,,,0.0
57,2022-06-06,4,0,1,0,10742,0,10742,0,187877580,0,187877580,0,17490.0,17490.0,,,0.0
58,2022-06-01,13,0,2,0,64003,0,64003,0,1124532710,0,1124532710,0,17570.0,17570.0,,,0.0
59,2022-05-31,13,0,4,0,55222,0,55222,0,974116080,0,974116080,0,17640.0,17640.0,,,0.0
60,2022-05-30,52,0,33,0,263453,0,263453,0,4732517700,0,4732517700,0,17963.423077361047,17963.423077361047,,,0.0
61,2022-05-29,41,0,23,0,481282,0,481282,0,8819308320,0,8819308320,0,18324.61700209025,18324.61700209025,,,0.0
62,2022-05-28,10,0,11,0,143341,0,143341,0,2578704590,0,2578704590,0,17990.0,17990.0,,,0.0
63,2022-05-25,2,0,6,0,3304,0,3304,0,58282560,0,58282560,0,17640.0,17640.0,,,0.0
64,2022-05-24,1,0,7,0,6867,0,6867,0,118799100,0,118799100,0,17300.0,17300.0,,,0.0
65,2022-05-23,4,0,10,0,30426,0,30426,0,516329220,0,516329220,0,16970.0,16970.0,,,0.0
66,2022-05-22,1,0,5,0,3667,0,3667,0,61018880,0,61018880,0,16640.0,16640.0,,,0.0
67,2022-05-21,2,0,6,0,19563,0,19563,0,319268160,0,319268160,0,16320.0,16320.0,,,0.0
68,2022-05-18,1,0,9,0,5231,0,5231,0,83696000,0,83696000,0,16000.0,16000.0,,,0.0
