,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,194,2,137,0,10811584,1890605,12702189,0,11800971793,2061559450,13862531243,0,1091.5118259267097,1091.3497856944184,1090.4231449721121,,-1890605.0
1,2022-09-07,178,0,133,1,9511354,0,9034867,476487,10704831270,0,10165397000,539434270,1125.4792188367712,1125.1296781679243,,1132.1070039686288,476487.0
2,2022-09-06,279,1,177,0,18184997,1008354,19193351,0,20393000660,1118408715,21511409375,0,1121.418973013853,1120.774031329912,1109.1429349216644,,-1008354.0
3,2022-09-05,220,3,203,0,15936296,624370,16560666,0,18337587197,715313100,19052900297,0,1150.680634759796,1150.4911877940174,1145.6557810272755,,-624370.0
4,2022-09-04,255,1,293,2,18987425,136849,18474177,650097,21999561159,152612937,21393387369,758786727,1158.6384756753482,1158.0157194011945,1115.192197239293,1167.19001472088,513248.0
5,2022-09-03,519,1,354,1,39146003,1575795,38802358,1919440,44235210311,1798922615,43888554888,2145578038,1130.0057967859452,1131.079582534649,1141.5968542862493,1117.8145907139583,343645.0
6,2022-08-31,681,1,788,1,136149817,41651,134791468,1400000,162603882605,49814596,160982497201,1671200000,1194.3011469857502,1194.3077673209998,1196.0,1193.7142857142858,1358349.0
7,2022-08-30,96,0,283,2,28104374,0,26504374,1600000,31418439563,0,29627639563,1790800000,1117.919921041472,1117.8396276403284,,1119.25,1600000.0
8,2022-08-29,202,0,152,1,12436393,0,12236393,200000,13083253538,0,12871253538,212000000,1052.0135169417692,1051.8829803848241,,1060.0,200000.0
9,2022-08-28,197,1,128,0,12064012,746953,12810965,0,12491983882,766331120,13258315002,0,1035.4750875579368,1034.9193056104673,1025.9428906504158,,-746953.0
10,2022-08-27,213,1,175,0,14898131,200000,15098131,0,15895248885,209200000,16104448885,0,1066.9290587524033,1066.6518183608289,1046.0,,-200000.0
11,2022-08-24,261,0,261,2,25123864,0,23427606,1696258,26767603329,0,24956036107,1811567222,1065.4254189960589,1065.2405588091246,,1067.9785869838197,1696258.0
12,2022-08-23,107,1,206,2,21660910,90000,18407153,3343757,22168585869,89550000,18808291131,3449844738,1023.4374210963435,1021.7925135407958,995.0,1031.727107561943,3253757.0
13,2022-08-22,107,1,108,0,6795080,20400,6815480,0,6656137275,20155200,6676292475,0,979.5524519210959,979.5777370045837,988.0,,-20400.0
14,2022-08-21,115,0,114,0,7816369,0,7816369,0,7685344514,0,7685344514,0,983.237167283172,983.237167283172,,,0.0
15,2022-08-20,160,0,86,0,11484275,0,11484275,0,11035303383,0,11035303383,0,960.9055323910303,960.9055323910303,,,0.0
16,2022-08-17,212,1,103,0,11671995,419470,12091465,0,11371044216,406591200,11777635416,0,974.2159944379688,974.0453630722167,969.2974467780771,,-419470.0
17,2022-08-16,163,0,99,0,9240122,0,9240122,0,9180680355,0,9180680355,0,993.5670064745898,993.5670064745898,,,0.0
