,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,456,2,341,2,6165751,4221500,10037475,349776,37732694130,26089718970,61684488880,2137924220,6119.723960633506,6145.418930557735,6180.201106241857,6112.266765015324,-3871724.0
1,2022-09-07,542,2,282,0,5724510,53386,5777896,0,35433715250,329256680,35762971930,0,6189.825024325226,6189.61849261392,6167.472371033605,,-53386.0
2,2022-09-06,503,4,240,1,5522247,545000,5967247,100000,34682710520,3429834860,37485973720,626571660,6280.54314122494,6281.954428901636,6293.274972477064,6265.7166,-445000.0
3,2022-09-05,281,2,267,2,3534141,2712354,6008357,238138,22664090960,17365680540,38504142200,1525629300,6412.899474016458,6408.431156803766,6402.438818826746,6406.492453955269,-2474216.0
4,2022-09-04,385,3,323,1,3327390,2258000,5585390,0,21219995680,14538077950,35758073630,0,6377.36955391463,6402.072841824833,6438.475620017714,,-2258000.0
5,2022-09-03,461,2,403,1,5169477,3735296,8824213,80560,32790591940,24001308650,56275328460,516572130,6343.115936099532,6377.376482186003,6425.543959568398,6412.265764647468,-3654736.0
6,2022-08-31,758,3,342,1,8401940,1122464,8524404,1000000,54558272520,7321739050,55374884160,6505127410,6493.53274600866,6496.041736172992,6522.916592425236,6505.12741,-122464.0
7,2022-08-30,563,2,346,0,6036431,273509,6309940,0,39903785190,1815544900,41719330090,0,6610.493052931442,6611.684119024903,6637.9713281829845,,-273509.0
8,2022-08-29,669,4,430,0,8443220,967998,9411218,0,56495064430,6492671560,62987735990,0,6691.175218696185,6692.8357190323295,6707.31918867601,,-967998.0
9,2022-08-28,949,1,649,1,17118699,300000,16918699,500000,115869005580,2055000000,114529591030,3394414550,6768.563754757298,6769.4088670766,6850.0,6788.8291,200000.0
10,2022-08-27,1368,3,1076,3,29307383,239600,29004611,542372,198227357620,1609626000,196176140420,3660843200,6763.734504032653,6763.619081807372,6717.9716193656095,6749.690618247255,302772.0
11,2022-08-24,961,1,541,1,12802905,113524,12416429,500000,82950679570,734375280,80448163320,3236891530,6479.051400443884,6479.170727751111,6468.898911243437,6473.78306,386476.0
12,2022-08-23,1189,2,458,3,18094036,859620,15996714,2956942,117042268060,5543392960,103616575750,18969085270,6468.555056483805,6477.366273473414,6448.655173216072,6415.102247524638,2097322.0
13,2022-08-22,864,2,682,3,24704258,1076000,24785258,995000,159529829830,6791553200,159883089930,6438293100,6457.584349629121,6450.733332289702,6311.852416356877,6470.646331658291,-81000.0
14,2022-08-21,662,3,557,1,9465475,2022904,11486049,2330,60185398460,12896321810,73067087870,14632400,6358.41291218877,6361.376994822153,6375.152656774617,6280.0,-2020574.0
15,2022-08-20,1047,3,894,3,22824970,97769,22199370,723369,148326131180,613779260,144218976810,4720933630,6498.415164620151,6496.53466787571,6277.851466211171,6526.314550388529,625600.0
16,2022-08-17,1363,1,1014,6,32177964,500000,29773921,2904043,203278693310,3179000000,188139090170,18318603140,6317.326146240949,6318.922192679963,6358.0,6307.965529436031,2404043.0
17,2022-08-16,1743,3,648,2,38802498,239416,37098763,1943151,235885395590,1449537600,225658614190,11676319000,6079.129121790045,6082.645240489554,6054.472549871353,6008.961218145168,1703735.0
18,2022-08-15,1166,3,491,2,19562452,670210,19588134,644528,123571906220,4237703110,123705170010,4104439320,6316.790258194627,6315.311607016779,6322.948195341759,6368.131904277238,-25682.0
