,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,2,0,41,0,674327,0,674327,0,3255650756,0,3255650756,0,4828.0,4828.0,,,0.0
1,2022-09-07,4,0,36,0,932599,0,932599,0,4442901636,0,4442901636,0,4764.0,4764.0,,,0.0
2,2022-09-06,3,0,34,0,742501,0,742501,0,3500149714,0,3500149714,0,4714.0,4714.0,,,0.0
3,2022-09-05,2,0,27,0,338691,0,338691,0,1588799481,0,1588799481,0,4691.0,4691.0,,,0.0
4,2022-09-04,2,0,37,0,472312,0,472312,0,2200501608,0,2200501608,0,4659.0,4659.0,,,0.0
5,2022-09-03,6,0,44,0,1637545,0,1637545,0,7454104840,0,7454104840,0,4552.0,4552.0,,,0.0
6,2022-08-31,2,0,27,0,590244,0,590244,0,2665541904,0,2665541904,0,4516.0,4516.0,,,0.0
7,2022-08-30,2,0,32,0,562647,0,562647,0,2521221207,0,2521221207,0,4481.0,4481.0,,,0.0
8,2022-08-29,1,0,30,0,395750,0,395750,0,1763857750,0,1763857750,0,4457.0,4457.0,,,0.0
9,2022-08-28,2,0,37,1,645432,0,615432,30000,2850873144,0,2718363144,132510000,4417.0,4417.0,,4417.0,30000.0
10,2022-08-27,4,0,41,1,617413,0,577413,40000,2703651527,0,2528491527,175160000,4379.0,4379.0,,4379.0,40000.0
11,2022-08-24,2,1,47,0,750000,391272,1141272,0,3234750000,1687556136,4922306136,0,4313.0,4313.0,4313.0,,-391272.0
12,2022-08-23,56,0,103,0,2782707,0,2782707,0,11521070822,0,11521070822,0,4140.23855979088,4140.23855979088,,,0.0
13,2022-08-22,59,1,67,0,1541478,40000,1581478,0,6214483809,157360000,6371843809,0,4031.5098944000497,4029.043596559674,3934.0,,-40000.0
14,2022-08-21,101,0,45,0,1525965,0,1525965,0,5975931190,0,5975931190,0,3916.165305233082,3916.165305233082,,,0.0
15,2022-08-20,47,1,41,0,829780,298085,1127865,0,3340710455,1206098371,4546808826,0,4026.019493118658,4031.3413626630845,4046.1558649378535,,-298085.0
16,2022-08-17,84,1,39,0,1837196,356004,2193200,0,7394292282,1428145987,8822438269,0,4024.7705100598955,4022.6328054896953,4011.6009567308233,,-356004.0
17,2022-08-16,55,2,34,0,522099,152416,674515,0,2127506445,620307280,2747813725,0,4074.910017065729,4073.7622217445128,4069.8304639932817,,-152416.0
18,2022-08-15,48,0,45,0,575317,0,575317,0,2343943020,0,2343943020,0,4074.1765322422248,4074.1765322422248,,,0.0
19,2022-08-14,56,0,42,0,770238,0,770238,0,3143538547,0,3143538547,0,4081.256114343878,4081.256114343878,,,0.0
20,2022-08-13,53,0,67,0,1162908,0,1162908,0,4892162805,0,4892162805,0,4206.835626721976,4206.835626721976,,,0.0
21,2022-08-10,47,0,25,0,726555,0,726555,0,2990615930,0,2990615930,0,4116.159038200824,4116.159038200824,,,0.0
22,2022-08-09,29,0,50,0,755709,0,755709,0,3157608454,0,3157608454,0,4178.339088194,4178.339088194,,,0.0
23,2022-08-06,34,1,49,0,573170,25086,598256,0,2408884186,104608620,2513492806,0,4202.739476944013,4201.366649059934,4170.0,,-25086.0
