,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,70,1,85,0,1871042,537628,2408670,0,3288890604,948469458,4237360062,0,1757.7855569249648,1759.2115408088282,1764.1742208367123,,-537628.0
1,2022-09-07,90,1,84,1,3783270,173214,3903123,53361,6711746920,310478472,6928244374,93981018,1774.0597208235204,1775.0515097781956,1792.4559908552426,1761.2304492044752,-119853.0
2,2022-09-06,195,1,91,0,7175832,4000000,11175832,0,12925305341,7180000000,20105305341,0,1801.2274173921573,1798.9985301318059,1795.0,,-4000000.0
3,2022-09-05,185,1,151,0,8931673,2394477,11326150,0,16534123131,4414403247,20948526378,0,1851.1787356075397,1849.5716883495274,1843.5772183236672,,-2394477.0
4,2022-09-04,106,1,131,1,5802543,33594,5271498,564639,10994813741,63055938,9983714302,1074155377,1894.8267580266102,1893.9045982754808,1877.0,1902.3754593643018,531045.0
5,2022-09-03,117,2,165,1,10319120,64278,9027198,1356200,19140418429,119769201,16725958182,2534229448,1854.8498737295429,1852.8405139667923,1863.3000560067208,1868.625164430025,1291922.0
6,2022-08-31,164,1,112,0,8181132,492114,8673246,0,14888760800,897629034,15786389834,0,1819.890059224078,1820.1247645921724,1824.0266157841477,,-492114.0
7,2022-08-30,186,1,155,1,13321620,3120838,16363296,79162,24761620964,5792289457,30401681895,152228526,1858.7544881178114,1857.9192049694634,1856.004527309652,1923.0,-3041676.0
8,2022-08-29,130,1,179,1,7429629,46955,7316584,160000,14145108430,88401763,13927910193,305600000,1903.8781653834935,1903.608322271705,1882.691151102119,1910.0,113045.0
9,2022-08-28,133,1,161,1,9099083,417366,9044837,471612,16921908604,768326798,16806778244,883457158,1859.737800391534,1858.1626450537472,1840.8945577742318,1873.2711593428496,54246.0
10,2022-08-27,235,1,296,1,28755224,181660,25918544,3018340,53190604331,329158000,47937875277,5581887054,1849.7718651400526,1849.5589596776733,1811.9453924914676,1849.3234870823035,2836680.0
11,2022-08-24,219,1,220,1,23178065,160000,20298065,3040000,41794503250,284160000,36589223250,5489440000,1803.192080529587,1802.59661450488,1776.0,1805.7368421052631,2880000.0
12,2022-08-23,47,1,106,1,9502921,47338,6397597,3152662,16673347211,81705388,11222130789,5532921810,1754.5497022441837,1754.1165517302825,1726.0,1755.0,3105324.0
13,2022-08-22,74,1,140,2,16374136,364896,13303928,3435104,27908603286,607557320,22669729534,5846431072,1704.4321169678815,1703.9876895004243,1665.0150179777252,1701.966249639021,3070208.0
14,2022-08-21,210,1,89,1,11952847,3200000,14511368,641479,19838924725,5310145800,24087964371,1061106154,1659.765637843436,1659.937531113538,1659.4205625,1654.155715152016,-2558521.0
15,2022-08-20,100,1,105,2,5983126,352599,5307135,1028590,10210058049,594065363,9035644734,1768478678,1706.4755194859677,1702.5466158294446,1684.818626825374,1719.3232269417358,675991.0
16,2022-08-17,95,1,97,0,6039110,149732,6188842,0,10240740725,250202172,10490942897,0,1695.7367434936605,1695.138266092429,1671.0,,-149732.0
17,2022-08-16,155,1,101,1,8515137,1714701,10222280,7558,14344196607,2853254863,17184255202,13196268,1684.5526510025616,1681.0589420364145,1663.9955671571895,1746.0,-1707143.0
18,2022-08-15,77,2,87,0,5281841,498009,5779850,0,8999781840,843262805,9843044645,0,1703.9100268258737,1702.9930958415875,1693.2682039882814,,-498009.0
19,2022-08-14,112,1,138,2,7044850,98969,6453057,690762,12077342503,169335959,11056901842,1189776620,1714.3505543766014,1713.4362585050776,1711.0,1722.4118003016958,591793.0
20,2022-08-13,238,1,205,1,12274055,1993422,13759265,508212,20789507767,3326032337,23237773344,877766760,1693.77665058532,1688.8818802457836,1668.5038777539328,1727.1665367996034,-1485210.0
21,2022-08-10,122,1,111,1,8816547,3200000,11616547,400000,15009165993,5435138000,19765103993,679200000,1702.385978660353,1701.461199528569,1698.480625,1698.0,-2800000.0
22,2022-08-09,199,0,193,1,21741121,0,18541121,3200000,38055515082,0,32449435082,5606080000,1750.3934172483562,1750.133397112289,,1751.9,3200000.0
23,2022-08-06,162,0,146,1,15677233,0,12477233,3200000,26670575849,0,21224175849,5446400000,1701.229792846735,1701.0322600371412,,1702.0,3200000.0
24,2022-08-03,23,0,95,1,5788323,0,2588323,3200000,9582553086,0,4283353086,5299200000,1655.4972979220406,1654.8757964133533,,1656.0,3200000.0
25,2022-08-02,105,0,134,1,15703723,0,12503723,3200000,25252023755,0,20103223755,5148800000,1608.027838685132,1607.779039490878,,1609.0,3200000.0
26,2022-08-01,106,1,107,0,6114506,300000,6414506,0,9553581321,469860590,10023441911,0,1562.4453260819434,1562.6210203872286,1566.2019666666667,,-300000.0
27,2022-07-31,132,1,81,0,5953043,3200000,9153043,0,9377544325,5029734783,14407279108,0,1575.2522407447755,1574.0425460691051,1571.7921196875,,-3200000.0
28,2022-07-30,117,1,100,1,8343269,329541,8520841,151969,13511358667,533419295,13802053196,242724766,1619.432223388698,1619.7994066548126,1618.673533793974,1597.1992051010404,-177572.0
29,2022-07-27,111,1,100,1,4157092,419674,4363558,213208,6840179201,684509370,7167191587,357496984,1645.4240610984793,1642.5109021124504,1631.0502199326143,1676.7522044200969,-206466.0
30,2022-07-26,161,1,116,2,8810015,2830000,9270015,2370000,14492946251,4661427652,15261386726,3892987177,1645.053527264142,1646.3173712232397,1647.1475802120142,1642.6106232067511,-460000.0
31,2022-07-25,108,1,110,0,5081632,3200000,8281632,0,8559290115,5393760000,13953050115,0,1684.358512186636,1684.8188998255416,1685.55,,-3200000.0
32,2022-07-24,152,1,142,1,10098459,3084959,13068377,115041,17523709775,5343104029,22663191234,203622570,1735.2855297030962,1734.200906049772,1731.985426386542,1770.0,-2969918.0
33,2022-07-23,243,1,291,2,24551659,887267,23276240,2162686,43823753690,1567902653,41523636408,3868019935,1784.9609955074727,1783.9494870305514,1767.1148064787712,1788.5259048239088,1275419.0
34,2022-07-20,41,0,71,1,6314967,0,3114967,3200000,11171176623,0,5510376623,5660800000,1769.0,1769.0,,1769.0,3200000.0
35,2022-07-19,67,1,133,1,12239752,160000,9359752,3040000,21041332403,266400000,16103698157,5204034246,1719.0979362163548,1720.5261589195952,1665.0,1711.8533703947369,2880000.0
