,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,1,1,4,0,83,418,501,0,10001500,50256140,60257640,0,120500.0,120274.73053892216,120230.0,,-418.0
1,2022-09-07,1,1,2,0,70,88,158,0,8441300,10611040,19052340,0,120590.0,120584.43037974683,120580.0,,-88.0
2,2022-09-06,4,1,6,0,637,151,788,0,77000980,18251370,95252350,0,120880.65934065935,120878.61675126903,120870.0,,-151.0
3,2022-09-05,1,1,5,0,45,246,291,0,5443650,29758620,35202270,0,120970.0,120970.0,120970.0,,-246.0
4,2022-09-04,3,1,5,0,156,186,342,0,18957510,22478100,41435610,0,121522.5,121156.75438596492,120850.0,,-186.0
5,2022-09-03,2,1,8,0,447,979,1426,0,54185340,118674380,172859720,0,121220.0,121220.0,121220.0,,-979.0
6,2022-08-31,4,1,4,0,199,153,352,0,24094590,18519120,42613710,0,121078.3417085427,121061.67613636363,121040.0,,-153.0
7,2022-08-30,4,1,5,0,184,1901,2085,0,22324400,230274050,252598450,0,121328.26086956522,121150.33573141487,121133.11415044713,,-1901.0
8,2022-08-28,3,1,7,0,472,130,602,0,57517600,15793700,73311300,0,121859.32203389831,121779.56810631229,121490.0,,-130.0
9,2022-08-27,7,1,9,0,1785,1047,2832,0,217241150,127302850,344544000,0,121703.72549019608,121661.01694915254,121588.20439350525,,-1047.0
10,2022-08-24,2,0,3,0,754,0,754,0,91781170,0,91781170,0,121725.68965517242,121725.68965517242,,,0.0
11,2022-08-23,6,0,5,0,1269,0,1269,0,155550470,0,155550470,0,122577.20252167061,122577.20252167061,,,0.0
12,2022-08-22,2,0,3,0,546,0,546,0,66068260,0,66068260,0,121004.13919413919,121004.13919413919,,,0.0
13,2022-08-21,2,1,1,0,234,5,239,0,28351440,605750,28957190,0,121160.0,121159.79079497908,121150.0,,-5.0
14,2022-08-20,0,1,6,0,0,1099,1099,0,0,133542500,133542500,0,,121512.73885350318,121512.73885350318,,-1099.0
15,2022-08-17,2,0,1,0,200,0,200,0,24337000,0,24337000,0,121685.0,121685.0,,,0.0
16,2022-08-16,3,0,3,0,215,0,215,0,26304100,0,26304100,0,122344.6511627907,122344.6511627907,,,0.0
17,2022-08-15,4,1,5,0,694,61,755,0,85266160,7446880,92713040,0,122861.90201729107,122798.7284768212,122080.0,,-61.0
18,2022-08-14,5,1,8,0,586,700,1286,0,71718370,85659000,157377370,0,122386.29692832765,122377.42612752721,122370.0,,-700.0
19,2022-08-13,8,0,8,1,1283,0,783,500,158402300,0,96517300,61885000,123462.43180046766,123266.02809706258,,123770.0,500.0
20,2022-08-10,87,0,86,2,0,0,0,0,0,0,0,0,,,,,0.0
21,2022-08-09,6,0,7,0,1407,0,1407,0,174576790,0,174576790,0,124077.32054015636,124077.32054015636,,,0.0
22,2022-08-06,5,1,6,0,903,110,1013,0,109427140,13312200,122739340,0,121181.77187153931,121164.20533070089,121020.0,,-110.0
23,2022-08-03,5,1,4,0,601,220,821,0,72707310,26591750,99299060,0,120977.22129783694,120948.91595615103,120871.59090909091,,-220.0
24,2022-08-01,2,1,8,0,821,350,1171,0,100451230,42099650,142550880,0,122352.2898903776,121734.31255337318,120284.71428571429,,-350.0
25,2022-07-31,2,1,9,0,408,577,985,0,49739860,69360170,119100030,0,121911.42156862745,120913.73604060913,120208.26689774697,,-577.0
26,2022-07-30,2,1,5,0,570,205,775,0,68556000,24667000,93223000,0,120273.68421052632,120287.74193548386,120326.82926829268,,-205.0
27,2022-07-27,2,1,5,0,225,365,590,0,27006250,43803500,70809750,0,120027.77777777778,120016.52542372882,120009.5890410959,,-365.0
28,2022-07-26,2,1,3,0,92,80,172,0,11036100,9588000,20624100,0,119957.60869565218,119907.55813953489,119850.0,,-80.0
29,2022-07-25,3,1,3,0,283,110,393,0,34377210,13277000,47654210,0,121474.24028268551,121257.53180661578,120700.0,,-110.0
30,2022-07-24,8,1,7,0,1916,5871,7787,0,234460020,715573850,950033870,0,122369.53027139875,122002.55168871196,121882.78828138307,,-5871.0
31,2022-07-23,7,0,7,1,1600,0,1599,1,197034380,0,196909840,124540,123146.4875,123145.61601000626,,124540.0,1.0
32,2022-07-20,4,1,3,0,291,30,321,0,35509800,3659700,39169500,0,122026.80412371134,122023.3644859813,121990.0,,-30.0
33,2022-07-19,5,1,7,0,672,110,782,0,82308150,13383700,95691850,0,122482.36607142857,122368.09462915601,121670.0,,-110.0
34,2022-07-17,2,1,10,0,300,4610,4910,0,36566000,561405050,597971050,0,121886.66666666667,121786.36456211812,121779.83731019523,,-4610.0
35,2022-07-16,2,1,6,0,211,6033,6244,0,25831840,737456340,763288180,0,122425.78199052133,122243.46252402307,122237.08602685231,,-6033.0
36,2022-07-13,3,1,12,0,407,13137,13544,0,49835950,1607334030,1657169980,0,122447.0515970516,122354.54666272888,122351.68074902946,,-13137.0
37,2022-07-12,7,1,10,0,870,649,1519,0,106284530,78998300,185282830,0,122166.1264367816,121976.84660961159,121723.1124807396,,-649.0
38,2022-07-11,5,1,16,0,3569,37808,41377,0,427322570,4644489950,5071812520,0,119731.73718128327,122575.64637358919,122844.10574481591,,-37808.0
39,2022-07-09,5,1,11,0,723,2237,2960,0,89255500,276112870,365368370,0,123451.59059474412,123435.26013513513,123429.98211890925,,-2237.0
40,2022-07-06,3,1,11,0,218,1441,1659,0,26692950,176844780,203537730,0,122444.7247706422,122686.99819168173,122723.65024288688,,-1441.0
41,2022-07-05,3,1,9,0,280,2380,2660,0,34173200,290664750,324837950,0,122047.14285714286,122119.53007518797,122128.04621848739,,-2380.0
42,2022-07-04,5,1,7,0,494,480,974,0,60679950,58773450,119453400,0,122833.9068825911,122642.09445585216,122444.6875,,-480.0
43,2022-07-03,6,1,8,0,2702,275,2977,0,330408590,33603300,364011890,0,122282.9718726869,122274.73631172322,122193.81818181818,,-275.0
44,2022-07-02,2,1,7,0,117,4991,5108,0,14472500,611707090,626179590,0,123696.5811965812,122588.01683633515,122562.02965337607,,-4991.0
45,2022-06-29,4,1,8,0,1752,126,1878,0,216625220,15453100,232078320,0,123644.53196347032,123577.38019169329,122643.6507936508,,-126.0
46,2022-06-28,5,1,6,0,944,110,1054,0,116719000,13486000,130205000,0,123643.00847457627,123534.15559772296,122600.0,,-110.0
47,2022-06-27,9,1,6,0,1684,1840,3524,0,205695770,224389250,430085020,0,122147.13182897863,122044.55732122588,121950.67934782608,,-1840.0
48,2022-06-26,10,0,8,0,709,0,709,0,87639620,0,87639620,0,123610.18335684061,123610.18335684061,,,0.0
49,2022-06-25,9,1,14,0,2161,200,2361,0,270904580,24713500,295618080,0,125360.74965293845,125208.84371029225,123567.5,,-200.0
50,2022-06-22,16,0,14,1,3716,0,3156,560,462722600,0,392233300,70489300,124521.68998923573,124281.78073510774,,125873.75,560.0
51,2022-06-21,23,0,34,2,33163,0,19872,13291,4292160500,0,2571004350,1721156150,129426.18279407774,129378.23822463768,,129497.86697765405,13291.0
52,2022-06-20,6,1,23,1,10808,735,11445,98,1359470840,91055300,1438118360,12407780,125783.75647668394,125654.72782874618,123884.76190476191,126610.0,-637.0
53,2022-06-19,4,1,7,0,725,403,1128,0,90273520,50002800,140276320,0,124515.2,124358.43971631206,124076.42679900744,,-403.0
54,2022-06-18,4,1,17,0,3246,865,4111,0,407371790,107592200,514963990,0,125499.62723351817,125264.89661882754,124384.04624277457,,-865.0
55,2022-06-15,3,1,9,0,140,1515,1655,0,17450000,189134050,206584050,0,124642.85714285714,124824.1993957704,124840.95709570957,,-1515.0
56,2022-06-14,5,1,11,0,735,2565,3300,0,91102740,319415450,410518190,0,123949.30612244898,124399.45151515151,124528.44054580896,,-2565.0
57,2022-06-13,5,1,10,0,1250,575,1825,0,155072940,71241600,226314540,0,124058.352,124007.96712328767,123898.43478260869,,-575.0
58,2022-06-12,7,1,8,0,593,390,983,0,72887280,47948950,120836230,0,122912.78246205734,122925.97151576806,122946.02564102564,,-390.0
59,2022-06-11,1,1,3,0,42,123,165,0,5157600,15103500,20261100,0,122800.0,122794.54545454546,122792.68292682926,,-123.0
60,2022-06-08,5,1,8,1,1149,1833,2939,43,140915940,224079700,359612040,5383600,122642.2454308094,122358.63899285471,122247.51773049646,125200.0,-1790.0
61,2022-06-07,5,0,6,1,2329,0,1426,903,290577350,0,177837800,112739550,124764.85616144267,124710.9396914446,,124850.0,903.0
62,2022-06-06,4,1,7,0,1211,2102,3313,0,149930380,259254170,409184550,0,123807.08505367464,123508.76848777544,123336.90294957184,,-2102.0
63,2022-06-01,1,1,5,0,80,675,755,0,9909600,83733650,93643250,0,123870.0,124030.79470198676,124049.85185185185,,-675.0
64,2022-05-31,9,1,9,0,2320,4160,6480,0,286753770,514288400,801042170,0,123600.76293103448,123617.61882716049,123627.01923076923,,-4160.0
65,2022-05-30,2,0,6,0,1101,0,1101,0,137843590,0,137843590,0,125198.53769300636,125198.53769300636,,,0.0
66,2022-05-29,6,0,9,0,2744,0,2744,0,343753300,0,343753300,0,125274.52623906705,125274.52623906705,,,0.0
67,2022-05-28,0,1,11,0,0,11467,11467,0,0,1432540850,1432540850,0,,124927.25647510246,124927.25647510246,,-11467.0
68,2022-05-25,5,2,11,0,633,5414,6047,0,78686480,673550010,752236490,0,124307.23538704582,124398.29502232512,124408.94163280384,,-5414.0
69,2022-05-24,3,1,8,0,482,1819,2301,0,59879320,226243400,286122720,0,124230.95435684647,124347.1186440678,124377.89994502474,,-1819.0
70,2022-05-23,7,1,13,0,1012,1032,2044,0,126939440,129131890,256071330,0,125434.22924901186,125279.5156555773,125127.8003875969,,-1032.0
71,2022-05-22,8,0,16,0,2632,0,2632,0,331540610,0,331540610,0,125965.2773556231,125965.2773556231,,,0.0
72,2022-05-21,3,1,9,0,243,1306,1549,0,30539040,163156470,193695510,0,125675.06172839506,125045.51969012266,124928.38437978561,,-1306.0
73,2022-05-18,2,1,11,0,499,2560,3059,0,62403900,320261100,382665000,0,125057.91583166333,125094.80222294868,125101.9921875,,-2560.0
74,2022-05-17,9,1,11,0,1878,215,2093,0,235649140,26955500,262604640,0,125478.77529286475,125468.05542283804,125374.41860465116,,-215.0
75,2022-05-16,11,0,20,0,3507,0,3507,0,439408120,0,439408120,0,125294.5879669233,125294.5879669233,,,0.0
76,2022-05-15,9,1,12,0,3501,4240,7741,0,426631740,525887210,952518950,0,121859.96572407884,123048.56607673428,124030.00235849057,,-4240.0
77,2022-05-14,11,0,12,0,1696,0,1696,0,213106910,0,213106910,0,125652.65919811321,125652.65919811321,,,0.0
78,2022-05-11,12,1,18,0,11578,61,11639,0,1451145480,7527400,1458672880,0,125336.45534634651,125326.30638370995,123400.0,,-61.0
79,2022-05-10,4,0,4,0,685,0,685,0,84373400,0,84373400,0,123172.84671532847,123172.84671532847,,,0.0
80,2022-05-09,2,1,12,0,1475,305,1780,0,183220000,37900000,221120000,0,124216.94915254238,124224.7191011236,124262.29508196721,,-305.0
81,2022-05-08,7,0,11,0,1897,0,1897,0,235849780,0,235849780,0,124327.77016341592,124327.77016341592,,,0.0
82,2022-05-07,7,0,8,0,452,0,452,0,55925130,0,55925130,0,123728.16371681416,123728.16371681416,,,0.0
83,2022-05-02,11,0,18,2,4521,0,3091,1430,561891240,0,383639740,178251500,124284.72461844725,124115.08896797153,,124651.3986013986,1430.0
84,2022-05-01,4,1,11,0,571,2944,3515,0,70030620,359306430,429337050,0,122645.56917688267,122144.25320056899,122047.02105978261,,-2944.0
85,2022-04-30,11,1,14,0,1634,1298,2932,0,200771190,158652930,359424120,0,122870.9853121175,122586.67121418827,122228.75963020031,,-1298.0
86,2022-04-27,6,1,20,0,3310,2146,5456,0,406015940,262930720,668946660,0,122663.42598187311,122607.52565982405,122521.30475302889,,-2146.0
87,2022-04-26,11,1,14,0,5542,524,6066,0,680996060,64353320,745349380,0,122879.11584265609,122873.29047148039,122811.67938931298,,-524.0
88,2022-04-25,21,1,27,1,9114,194,6009,3299,1123612440,23588460,739382760,407818140,123284.22646477947,123045.89116325512,121590.0,123618.7147620491,3105.0
89,2022-04-24,22,1,56,0,8732,9697,18429,0,1040616070,1171561360,2212177430,0,119172.70613834173,120037.84415866298,120816.88769722595,,-9697.0
90,2022-04-20,6,1,9,0,1050,555,1605,0,121284950,64056400,185341350,0,115509.47619047618,115477.47663551402,115416.93693693694,,-555.0
91,2022-04-19,3,1,4,0,295,218,513,0,34131550,25177340,59308890,0,115700.16949152542,115611.87134502924,115492.38532110091,,-218.0
92,2022-04-18,11,0,10,0,2606,0,2606,0,301114600,0,301114600,0,115546.66155026862,115546.66155026862,,,0.0
93,2022-04-17,10,0,15,0,4324,0,4324,0,498102680,0,498102680,0,115194.88436632747,115194.88436632747,,,0.0
94,2022-04-16,9,1,9,0,2497,615,3112,0,285886690,70125100,356011790,0,114492.06647977573,114399.67544987146,114024.55284552845,,-615.0
95,2022-04-13,4,2,15,0,435,6150,6585,0,49598730,701928940,751527670,0,114020.06896551725,114127.20880789674,114134.78699186991,,-6150.0
96,2022-04-12,1,1,9,0,80,1115,1195,0,9318400,127614750,136933150,0,116480.0,114588.41004184101,114452.69058295964,,-1115.0
97,2022-04-11,10,1,17,0,4338,12525,16863,0,498894490,1444618070,1943512560,0,115005.64545873675,115253.07240704501,115338.76806387225,,-12525.0
98,2022-04-10,0,1,6,0,0,1330,1330,0,0,152929480,152929480,0,,114984.57142857143,114984.57142857143,,-1330.0
99,2022-04-09,4,1,10,0,1008,2387,3395,0,115630170,273559780,389189950,0,114712.47023809524,114636.21502209132,114604.01340594889,,-2387.0
