,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2015-03-17,2,1,0,1,10732,746617,0,757349,48294000,3359776500,0,3408070500,4500.0,,4500.0,4500.0,10732.0
1,2014-09-09,15,0,12,0,104056,0,104056,0,316347547,0,316347547,0,3040.1663239025143,3040.1663239025143,,,0.0
2,2014-09-08,8,0,1,0,13521,0,13521,0,43658250,0,43658250,0,3228.9216773907256,3228.9216773907256,,,0.0
3,2014-09-07,6,0,4,0,19704,0,19704,0,64090704,0,64090704,0,3252.674786845311,3252.674786845311,,,0.0
4,2014-09-06,11,0,7,0,42402,0,42402,0,146221546,0,146221546,0,3448.4587047780765,3448.4587047780765,,,0.0
5,2014-09-03,9,0,7,0,29701,0,29701,0,110517590,0,110517590,0,3721.0056900441064,3721.0056900441064,,,0.0
6,2014-09-02,1,0,1,0,500,0,500,0,1999000,0,1999000,0,3998.0,3998.0,,,0.0
7,2014-09-01,5,0,5,1,14402,0,11980,2422,56303740,0,46615740,9688000,3909.4389668101653,3891.1302170283807,,4000.0,2422.0
8,2014-08-31,2,0,6,0,8768,0,8768,0,36151921,0,36151921,0,4123.166172445255,4123.166172445255,,,0.0
9,2014-08-30,3,0,3,0,27208,0,27208,0,104363244,0,104363244,0,3835.755807115554,3835.755807115554,,,0.0
10,2014-08-27,2,0,6,0,13740,0,13740,0,57220740,0,57220740,0,4164.53711790393,4164.53711790393,,,0.0
11,2014-08-26,4,0,6,0,10941,0,10941,0,44796253,0,44796253,0,4094.3472260305275,4094.3472260305275,,,0.0
12,2014-08-25,6,0,5,0,22510,0,22510,0,92268230,0,92268230,0,4098.988449577965,4098.988449577965,,,0.0
13,2014-08-24,7,0,7,0,74501,0,74501,0,304223790,0,304223790,0,4083.4859934765977,4083.4859934765977,,,0.0
14,2014-08-23,3,0,10,0,31393,0,31393,0,126644555,0,126644555,0,4034.1654190424615,4034.1654190424615,,,0.0
15,2014-08-20,10,0,8,0,72530,0,72530,0,271385180,0,271385180,0,3741.69557424514,3741.69557424514,,,0.0
16,2014-08-19,18,0,13,0,64398,0,64398,0,255322567,0,255322567,0,3964.759262710022,3964.759262710022,,,0.0
17,2014-08-18,16,0,18,0,84659,0,84659,0,358849170,0,358849170,0,4238.759848332723,4238.759848332723,,,0.0
18,2014-08-17,5,0,3,0,10735,0,10735,0,49123360,0,49123360,0,4576.0,4576.0,,,0.0
19,2014-08-16,21,0,29,0,88068,0,88068,0,438001335,0,438001335,0,4973.444781305355,4973.444781305355,,,0.0
20,2014-08-13,13,0,7,0,38795,0,38795,0,186722225,0,186722225,0,4813.04871761825,4813.04871761825,,,0.0
21,2014-08-12,20,0,11,0,60769,0,60769,0,290039020,0,290039020,0,4772.812124603005,4772.812124603005,,,0.0
22,2014-08-11,20,0,11,0,50831,0,50831,0,252938302,0,252938302,0,4976.063858668923,4976.063858668923,,,0.0
23,2014-08-10,10,0,15,0,63184,0,63184,0,297127710,0,297127710,0,4702.578342618384,4702.578342618384,,,0.0
24,2014-08-09,16,0,26,0,106467,0,106467,0,504024973,0,504024973,0,4734.095757370828,4734.095757370828,,,0.0
25,2014-08-06,35,0,41,0,264206,0,264206,0,1217836656,0,1217836656,0,4609.420891274233,4609.420891274233,,,0.0
26,2014-08-05,1,0,4,0,1002,0,1002,0,4297578,0,4297578,0,4289.0,4289.0,,,0.0
27,2014-08-04,8,0,3,1,99660,0,470,99190,395849520,0,1866840,393982680,3972.0,3972.0,,3972.0,99190.0
28,2014-08-03,10,0,10,0,79480,0,79480,0,292314002,0,292314002,0,3677.8309260191245,3677.8309260191245,,,0.0
